# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.092786551 1.092 1.0778359 6401.769013 4.409 4.186 3.618 3.246 3.017 2.988
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.124807358 1.124 1.129932876 6498.303635 4.38 4.014 3.47 3.112 2.895 2.869
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.136504412 1.135 1.149350912 6532.809588 4.37 3.952 3.416 3.063 2.851 2.825
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.159000397 1.158 1.186185593 6599.332343 4.35 3.835 3.314 2.972 2.769 2.744
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.184817553 1.184 1.230701259 6675.74901 4.328 3.702 3.199 2.868 2.675 2.651
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.233130455 1.232 1.313568257 6817.105263 4.289 3.463 2.993 2.683 2.51 2.486
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.281443477 1.281 1.393967489 6961.454677 4.255 3.236 2.801 2.511 2.357 2.334
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.329756737 1.329 1.470458069 7113.772955 4.224 3.02 2.62 2.351 2.216 2.194
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.377070785 1.377 1.545085955 7262.731688 4.196 2.816 2.451 2.201 2.084 2.063
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.378069639 1.378 1.547934732 7264.404186 4.196 2.812 2.447 2.198 2.082 2.06
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.387682438 1.387 1.561897914 7294.575103 4.19 2.771 2.414 2.169 2.055 2.034
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.42638278 1.426 1.629868795 7404.572675 4.165 2.609 2.278 2.046 1.946 1.925
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.44582808 1.446 1.67090841 7449.034745 4.15 2.529 2.209 1.983 1.888 1.867
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.472917318 1.473 1.730026059 7504.123969 4.127 2.418 2.111 1.892 1.803 1.782
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.474695921 1.474 1.734413498 7507.580541 4.125 2.411 2.105 1.886 1.797 1.776
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.498737574 1.498 1.802406085 7531.821172 4.1 2.313 2.014 1.797 1.712 1.691
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.520127177 1.52 1.870908917 7538.761431 4.073 2.226 1.929 1.714 1.63 1.609
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.523008823 1.523 1.87954464 7538.761431 4.069 2.214 1.918 1.703 1.619 1.598
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.527338743 1.527 1.893880816 7540.497495 4.064 2.197 1.901 1.685 1.602 1.581
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.550428867 1.55 1.98176724 7530.087105 4.032 2.104 1.807 1.591 1.507 1.485
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.571321964 1.571 2.071822975 7505.852056 3.999 2.02 1.72 1.501 1.415 1.393
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.586522102 1.586 2.1451252 7474.807282 3.972 1.96 1.654 1.432 1.343 1.321
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.605866075 1.605 2.258149261 7416.517059 3.934 1.884 1.567 1.337 1.243 1.22
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.619634867 1.619 2.347754301 7362.070975 3.904 1.831 1.503 1.267 1.167 1.144
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.636194467 1.635 2.462366221 7292.895658 3.866 1.769 1.426 1.181 1.074 1.051
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.65501368 1.654 2.621516798 7182.902973 3.817 1.7 1.334 1.075 0.956 0.931
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 1.667948127 1.667 2.750759648 7089.245236 3.778 1.655 1.268 0.996 0.867 0.842
