# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.077709794 1.077 1.000812325 5786.287388 4.466 3.592 3.287 3.237 3.981 3.562 3.239
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.100000024 1.099 1.031460604 5855.985598 4.45 3.5 3.206 3.159 3.878 3.473 3.161
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.110789061 1.11 1.046291374 5888.436554 4.441 3.455 3.166 3.121 3.829 3.43 3.123
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.149999976 1.149 1.104212464 6002.055404 4.41 3.297 3.027 2.985 3.652 3.276 2.987
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.197643876 1.197 1.180191941 6131.969697 4.37 3.108 2.858 2.82 3.443 3.092 2.822
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.200000048 1.199 1.183457442 6137.620052 4.368 3.098 2.849 2.812 3.433 3.083 2.814
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.225695252 1.225 1.225893225 6202.97456 4.347 3.001 2.762 2.726 3.326 2.988 2.728
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.25 1.25 1.266930072 6261.811646 4.327 2.91 2.68 2.645 3.227 2.899 2.647
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.296056151 1.296 1.346333477 6367.955209 4.29 2.743 2.527 2.495 3.045 2.736 2.497
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.299999952 1.3 1.35254787 6375.29081 4.287 2.729 2.514 2.483 3.03 2.722 2.484
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.32651341 1.326 1.401369448 6431.318236 4.265 2.636 2.43 2.399 2.93 2.631 2.401
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.350000024 1.35 1.444284149 6478.880953 4.246 2.555 2.355 2.325 2.843 2.551 2.327
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.39845407 1.399 1.536924893 6569.011165 4.208 2.391 2.204 2.175 2.667 2.391 2.177
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.399999976 1.4 1.539049701 6572.037003 4.207 2.386 2.199 2.171 2.661 2.385 2.172
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.450000048 1.45 1.643057056 6652.731562 4.166 2.22 2.044 2.016 2.484 2.221 2.017
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.476853132 1.477 1.700014575 6692.679069 4.143 2.131 1.961 1.933 2.391 2.134 1.935
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.5 1.5 1.755305222 6720.475466 4.123 2.055 1.888 1.86 2.311 2.058 1.862
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.522419572 1.522 1.810308726 6740.622411 4.102 1.981 1.817 1.79 2.234 1.985 1.791
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.549999952 1.55 1.88301008 6759.273195 4.076 1.889 1.728 1.701 2.14 1.894 1.702
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.552044272 1.552 1.888655053 6760.829754 4.074 1.883 1.722 1.695 2.133 1.887 1.696
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.577477217 1.577 1.960435891 6774.854928 4.049 1.798 1.64 1.613 2.048 1.803 1.614
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.600000024 1.6 2.028862639 6779.536449 4.025 1.722 1.564 1.536 1.97 1.727 1.538
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.629437923 1.629 2.124969226 6782.65926 3.993 1.621 1.464 1.437 1.869 1.626 1.438
thin3 2 thin_disk 9.176091259 0.25 0.025095 1.649999976 1.649 2.199645248 6774.854928 3.968 1.548 1.391 1.363 1.797 1.553 1.364
