# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.0955969095 0.095 0.1330309354 2301.971805 5.168 10.99 10.401 10.105 12.852 11.017 10.184
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.1054352745 0.105 0.1438972999 2397.72847 5.141 10.643 10.056 9.758 12.505 10.67 9.837
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.1055120975 0.105 0.1439304373 2398.832919 5.141 10.641 10.053 9.755 12.503 10.668 9.834
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.121750325 0.121 0.1609357932 2523.480772 5.106 10.177 9.592 9.291 12.04 10.205 9.37
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.1253425032 0.125 0.1646844694 2549.764088 5.099 10.083 9.498 9.197 11.946 10.11 9.275
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.145172894 0.145 0.1838453479 2661.337785 5.068 9.677 9.095 8.794 11.461 9.693 8.868
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.1650032997 0.165 0.2015824155 2745.364414 5.043 9.371 8.791 8.495 11.025 9.37 8.563
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.2046640813 0.204 0.2348294954 2872.10293 5.004 8.887 8.308 8.024 10.373 8.864 8.083
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.2542400956 0.254 0.2736230281 2978.516429 4.966 8.432 7.85 7.578 9.8 8.392 7.632
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.3149630427 0.315 0.3214790267 3079.640342 4.919 7.972 7.386 7.125 9.244 7.918 7.174
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.3372092843 0.337 0.3424148924 3110.283669 4.894 7.802 7.213 6.956 9.049 7.743 7.004
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.3451257646 0.345 0.3499875897 3121.044781 4.885 7.743 7.154 6.898 8.983 7.683 6.945
thin4 3 thin_disk 9.397940009 0.25 0.025095 0.3533920944 0.353 0.3567406874 3132.564342 4.879 7.688 7.098 6.843 8.919 7.626 6.89
