# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
NSD 9 NSD 9.8451 0.25 0.025095 1.049999952 1.049 1.206014821 5766.336733 4.294 4.423 3.674 3.197 2.889 2.838
NSD 9 NSD 9.8451 0.25 0.025095 1.065972924 1.065 1.264598449 5795.621302 4.259 4.293 3.554 3.083 2.78 2.73
NSD 9 NSD 9.8451 0.25 0.025095 1.070688486 1.069 1.282486035 5804.970272 4.249 4.254 3.518 3.048 2.746 2.697
NSD 9 NSD 9.8451 0.25 0.025095 1.082546234 1.081 1.334604684 5819.69199 4.219 4.154 3.424 2.957 2.657 2.609
NSD 9 NSD 9.8451 0.25 0.025095 1.094848275 1.093 1.394609582 5829.079789 4.186 4.049 3.322 2.857 2.559 2.511
NSD 9 NSD 9.8451 0.25 0.025095 1.100000024 1.099 1.423156448 5830.422138 4.17 4.004 3.278 2.813 2.515 2.467
NSD 9 NSD 9.8451 0.25 0.025095 1.103122592 1.102 1.44129422 5830.422138 4.16 3.976 3.25 2.785 2.488 2.439
NSD 9 NSD 9.8451 0.25 0.025095 1.11326766 1.112 1.505749213 5823.713479 4.126 3.886 3.159 2.692 2.394 2.345
NSD 9 NSD 9.8451 0.25 0.025095 1.11636591 1.115 1.527047846 5819.69199 4.115 3.859 3.13 2.663 2.364 2.315
NSD 9 NSD 9.8451 0.25 0.025095 1.119255185 1.118 1.550074761 5812.995677 4.103 3.833 3.102 2.634 2.334 2.284
NSD 9 NSD 9.8451 0.25 0.025095 1.12697196 1.125 1.61455426 5791.619211 4.071 3.765 3.028 2.555 2.251 2.201
NSD 9 NSD 9.8451 0.25 0.025095 1.135058999 1.133 1.693373054 5750.425748 4.032 3.698 2.949 2.467 2.156 2.104
NSD 9 NSD 9.8451 0.25 0.025095 1.14350605 1.142 1.799503289 5662.39289 3.982 3.65 2.872 2.371 2.045 1.99
NSD 9 NSD 9.8451 0.25 0.025095 1.149999976 1.148 1.900870999 5547.53435 3.937 3.646 2.831 2.304 1.954 1.895
NSD 9 NSD 9.8451 0.25 0.025095 1.150892138 1.149 1.917134775 5527.134079 3.93 3.648 2.827 2.294 1.941 1.881
NSD 9 NSD 9.8451 0.25 0.025095 1.154245853 1.153 1.993667113 5388.898454 3.898 3.71 2.842 2.276 1.894 1.828
NSD 9 NSD 9.8451 0.25 0.025095 1.156392336 1.155 2.056613323 5266.232149 3.872 3.78 2.869 2.27 1.862 1.792
NSD 9 NSD 9.8451 0.25 0.025095 1.157749176 1.156 2.107912818 5180.837851 3.851 3.826 2.884 2.262 1.834 1.76
NSD 9 NSD 9.8451 0.25 0.025095 1.158735156 1.157 2.15254701 5117.996682 3.833 3.856 2.89 2.25 1.807 1.73
NSD 9 NSD 9.8451 0.25 0.025095 1.159698129 1.158 2.211325351 5064.073495 3.81 3.866 2.878 2.222 1.766 1.687
NSD 9 NSD 9.8451 0.25 0.025095 1.160876274 1.159 2.291145367 5003.800659 3.779 3.865 2.852 2.178 1.707 1.625
NSD 9 NSD 9.8451 0.25 0.025095 1.162401915 1.161 2.424111796 4946.522627 3.731 3.819 2.781 2.09 1.604 1.519
NSD 9 NSD 9.8451 0.25 0.025095 1.162566781 1.161 2.440914936 4940.831009 3.725 3.813 2.773 2.08 1.592 1.507
NSD 9 NSD 9.8451 0.25 0.025095 1.16305697 1.161 2.490305598 4928.332492 3.708 3.785 2.74 2.043 1.552 1.467
NSD 9 NSD 9.8451 0.25 0.025095 1.164533496 1.163 2.654927371 4895.533198 3.653 3.69 2.632 1.924 1.425 1.338
NSD 9 NSD 9.8451 0.25 0.025095 1.166008711 1.164 2.837609601 4870.796665 3.595 3.577 2.509 1.793 1.287 1.199
NSD 9 NSD 9.8451 0.25 0.025095 1.167430639 1.166 3.043355211 4851.767712 3.535 3.452 2.377 1.655 1.143 1.054
NSD 9 NSD 9.8451 0.25 0.025095 1.16848743 1.167 3.215530585 4838.380287 3.488 3.351 2.271 1.544 1.028 0.938
NSD 9 NSD 9.8451 0.25 0.025095 1.169714928 1.168 3.445503099 4821.697939 3.428 3.223 2.136 1.403 0.883 0.792
NSD 9 NSD 9.8451 0.25 0.025095 1.17058754 1.169 3.636240879 4808.393484 3.382 3.125 2.033 1.295 0.771 0.68
NSD 9 NSD 9.8451 0.25 0.025095 1.171394706 1.17 3.834887648 4794.021749 3.336 3.029 1.93 1.188 0.661 0.568
NSD 9 NSD 9.8451 0.25 0.025095 1.172345161 1.171 4.106318624 4776.392415 3.277 2.905 1.798 1.049 0.518 0.424
NSD 9 NSD 9.8451 0.25 0.025095 1.173019052 1.171 4.334636113 4759.923797 3.23 2.811 1.697 0.942 0.406 0.311
NSD 9 NSD 9.8451 0.25 0.025095 1.173811197 1.172 4.647855792 4739.145036 3.17 2.69 1.567 0.804 0.263 0.166
NSD 9 NSD 9.8451 0.25 0.025095 1.174519062 1.173 4.980267209 4717.370643 3.11 2.572 1.438 0.668 0.12 0.023
NSD 9 NSD 9.8451 0.25 0.025095 1.17513907 1.173 5.32417896 4695.696293 3.052 2.459 1.315 0.536 -0.018 -0.117
NSD 9 NSD 9.8451 0.25 0.025095 1.175722003 1.174 5.710217423 4671.969512 2.991 2.342 1.186 0.399 -0.162 -0.263
NSD 9 NSD 9.8451 0.25 0.025095 1.176210642 1.174 6.096107893 4648.362619 2.935 2.235 1.068 0.272 -0.295 -0.398
NSD 9 NSD 9.8451 0.25 0.025095 1.176574826 1.175 6.429136474 4629.136638 2.889 2.15 0.973 0.17 -0.402 -0.507
NSD 9 NSD 9.8451 0.25 0.025095 1.176992536 1.175 6.874682489 4604.685784 2.831 2.044 0.854 0.042 -0.537 -0.644
NSD 9 NSD 9.8451 0.25 0.025095 1.177387238 1.175 7.366355004 4578.255228 2.771 1.936 0.732 -0.09 -0.677 -0.785
NSD 9 NSD 9.8451 0.25 0.025095 1.177734494 1.176 7.865976504 4551.976381 2.714 1.834 0.617 -0.215 -0.809 -0.92
NSD 9 NSD 9.8451 0.25 0.025095 1.178067923 1.176 8.409160562 4525.848374 2.656 1.732 0.499 -0.343 -0.945 -1.058
NSD 9 NSD 9.8451 0.25 0.025095 1.178388596 1.176 8.979510132 4499.870339 2.6 1.634 0.387 -0.464 -1.075 -1.19
NSD 9 NSD 9.8451 0.25 0.025095 1.178822041 1.176 9.535701437 4476.102262 2.547 1.541 0.281 -0.58 -1.198 -1.315
NSD 9 NSD 9.8451 0.25 0.025095 1.179087758 1.176 9.048001103 4500.906591 2.593 1.614 0.368 -0.483 -1.093 -1.209
NSD 9 NSD 9.8451 0.25 0.025095 1.179255962 1.177 8.599092979 4524.806379 2.637 1.685 0.453 -0.389 -0.992 -1.106
NSD 9 NSD 9.8451 0.25 0.025095 1.179294229 1.177 8.684656483 4520.640796 2.628 1.67 0.435 -0.408 -1.012 -1.126
NSD 9 NSD 9.8451 0.25 0.025095 1.179547429 1.177 9.297210089 4491.588901 2.569 1.569 0.319 -0.536 -1.148 -1.265
NSD 9 NSD 9.8451 0.25 0.025095 1.179803371 1.177 9.948386393 4463.751406 2.51 1.469 0.203 -0.663 -1.284 -1.402
NSD 9 NSD 9.8451 0.25 0.025095 1.180038571 1.177 10.63292241 4436.086439 2.453 1.375 0.089 -0.787 -1.416 -1.538
NSD 9 NSD 9.8451 0.25 0.025095 1.180260897 1.177 11.388136 4406.563167 2.393 1.279 -0.027 -0.915 -1.551 -1.676
NSD 9 NSD 9.8451 0.25 0.025095 1.180457115 1.177 12.16333435 4378.244391 2.336 1.188 -0.138 -1.037 -1.681 -1.81
NSD 9 NSD 9.8451 0.25 0.025095 1.18064332 1.177 13.01225738 4349.106072 2.278 1.095 -0.252 -1.163 -1.815 -1.947
NSD 9 NSD 9.8451 0.25 0.025095 1.180808783 1.177 13.88841371 4320.161676 2.221 1.007 -0.362 -1.285 -1.945 -2.08
NSD 9 NSD 9.8451 0.25 0.025095 1.180962563 1.177 14.8406405 4291.409912 2.163 0.92 -0.471 -1.407 -2.075 -2.214
NSD 9 NSD 9.8451 0.25 0.025095 1.18110311 1.177 15.84720386 4261.868054 2.106 0.833 -0.58 -1.528 -2.204 -2.347
NSD 9 NSD 9.8451 0.25 0.025095 1.181229591 1.177 16.92203718 4232.529561 2.049 0.752 -0.687 -1.647 -2.331 -2.478
NSD 9 NSD 9.8451 0.25 0.025095 1.181347251 1.177 18.06977084 4203.393032 1.992 0.669 -0.794 -1.767 -2.459 -2.609
NSD 9 NSD 9.8451 0.25 0.025095 1.181453228 1.177 19.28202514 4173.495985 1.936 0.585 -0.897 -1.883 -2.577 -2.735
NSD 9 NSD 9.8451 0.25 0.025095 1.181550741 1.177 20.57560646 4143.811583 1.879 0.504 -0.999 -2 -2.696 -2.862
NSD 9 NSD 9.8451 0.25 0.025095 1.181639075 1.177 21.95597082 4114.338314 1.823 0.426 -1.098 -2.115 -2.814 -2.987
NSD 9 NSD 9.8451 0.25 0.025095 1.181720614 1.177 23.40198221 4085.074677 1.767 0.348 -1.197 -2.229 -2.931 -3.112
NSD 9 NSD 9.8451 0.25 0.025095 1.181796551 1.176 24.95471676 4055.085354 1.711 0.273 -1.296 -2.344 -3.049 -3.238
NSD 9 NSD 9.8451 0.25 0.025095 1.181864381 1.176 26.57985729 4025.31619 1.656 0.204 -1.39 -2.455 -3.164 -3.36
NSD 9 NSD 9.8451 0.25 0.025095 1.181927443 1.176 28.34344562 3995.765566 1.601 0.134 -1.484 -2.567 -3.279 -3.483
NSD 9 NSD 9.8451 0.25 0.025095 1.181985855 1.176 30.18927231 3966.431879 1.546 0.067 -1.577 -2.679 -3.394 -3.606
NSD 9 NSD 9.8451 0.25 0.025095 1.182038307 1.175 32.14790267 3935.500755 1.492 0.01 -1.666 -2.788 -3.508 -3.728
