# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.8833576441 0.882 1.030985708 6126.324544 4.355 3.451 3.18 3.143 3.796 3.428 3.145
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.8951427937 0.894 1.0778359 6163.111147 4.322 3.341 3.076 3.04 3.681 3.32 3.042
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.89745754 0.896 1.087057821 6168.790197 4.315 3.32 3.055 3.02 3.658 3.299 3.022
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9103488922 0.909 1.145651808 6198.691176 4.276 3.195 2.935 2.901 3.531 3.176 2.902
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9208764434 0.919 1.202133348 6217.273893 4.239 3.086 2.829 2.795 3.419 3.067 2.796
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9297656417 0.928 1.255603868 6228.737089 4.205 2.986 2.73 2.697 3.318 2.968 2.698
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9314087629 0.93 1.266638384 6230.171474 4.199 2.967 2.712 2.678 3.298 2.949 2.68
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9330967069 0.932 1.277769875 6231.606189 4.191 2.946 2.691 2.657 3.277 2.928 2.659
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9431424737 0.941 1.361923284 6223.002852 4.141 2.813 2.557 2.523 3.145 2.795 2.525
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9439284801 0.942 1.368839865 6221.570117 4.137 2.802 2.546 2.512 3.134 2.784 2.513
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9479514956 0.946 1.405570536 6214.411392 4.115 2.746 2.489 2.454 3.079 2.727 2.456
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.955653131 0.954 1.491600928 6187.283276 4.067 2.626 2.366 2.331 2.963 2.607 2.332
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9573242664 0.956 1.513047788 6178.74113 4.056 2.599 2.338 2.302 2.937 2.579 2.304
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9629593492 0.961 1.606396114 6122.094091 4.007 2.491 2.221 2.184 2.836 2.469 2.186
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9695697427 0.968 1.746033793 6008.969505 3.937 2.349 2.061 2.021 2.712 2.322 2.023
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.973659873 0.972 1.869616985 5877.599637 3.88 2.252 1.943 1.899 2.635 2.219 1.901
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9760906696 0.974 1.964502767 5750.425748 3.838 2.196 1.867 1.818 2.599 2.157 1.82
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9777371287 0.976 2.046221506 5631.187654 3.803 2.158 1.808 1.755 2.581 2.113 1.757
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9792487025 0.977 2.143150376 5505.540985 3.763 2.114 1.741 1.683 2.559 2.063 1.686
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9807473421 0.979 2.273278502 5388.898454 3.713 2.041 1.644 1.582 2.51 1.982 1.585
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9823312163 0.981 2.450488365 5292.976917 3.648 1.924 1.505 1.441 2.412 1.858 1.444
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9831827879 0.981 2.56361406 5252.910485 3.609 1.847 1.419 1.353 2.344 1.778 1.356
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9835521579 0.982 2.618500402 5239.622519 3.591 1.807 1.376 1.309 2.307 1.737 1.313
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9848313332 0.983 2.827174694 5198.762768 3.525 1.663 1.221 1.154 2.171 1.589 1.157
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9858593941 0.984 3.023100916 5171.303179 3.468 1.533 1.085 1.016 2.048 1.458 1.019
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9867042899 0.985 3.200019648 5152.286446 3.418 1.418 0.965 0.896 1.938 1.341 0.899
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.9875942469 0.986 3.4162736 5132.157785 3.362 1.286 0.828 0.758 1.81 1.207 0.762
