# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0005000000  0.0005    0.102  39.275  34.533  55.846  99.000  39.295  99.000
0.0010000000  0.0010    0.106  34.782  31.619  49.146  99.000  34.802  99.000
0.0020000000  0.0020    0.109  28.625  27.479  40.286  99.000  28.645  99.000
0.0030000000  0.0030    0.111  24.737  24.746  34.486  99.000  24.757  99.000
0.0040000000  0.0040    0.111  22.018  22.723  30.226  99.000  22.038  99.000
0.0050000000  0.0050    0.110  21.305  21.820  28.256  99.000  21.325  99.000
0.0060000000  0.0060    0.110  20.619  20.936  26.366  99.000  20.639  99.000
0.0070000000  0.0070    0.109  20.114  20.314  25.016  99.000  20.134  99.000
0.0080000000  0.0080    0.108  19.678  19.793  23.746  99.000  19.698  99.000
0.0090000000  0.0090    0.107  19.370  19.407  22.826  99.000  19.390  99.000
0.0100000000  0.0100    0.107  19.043  19.000  21.876  99.000  19.063  99.000
0.0120000000  0.0120    0.106  18.017  17.986  19.836  99.000  18.037  99.000
0.0150000000  0.0150    0.103  17.587  17.587  19.026  99.000  17.607  99.000
0.0200000000  0.0200    0.100  16.488  16.537  17.166  99.000  16.508  99.000
0.0300000000  0.0300    0.096  15.061  15.165  15.116  99.000  15.081  99.000
0.0400000000  0.0400    0.093  14.011  14.048  13.876  99.000  14.031  99.000
0.0500000000  0.0500    0.092  13.183  13.126  13.016  99.000  13.203  99.000
0.0600000000  0.0600    0.092  12.539  12.366  12.246  99.000  12.559  99.000
0.0700000000  0.0700    0.094  11.921  11.629  11.406  99.000  11.941  99.000
0.0720000000  0.0720    0.095  11.793  11.489  11.246  99.000  11.813  99.000
0.0750000000  0.0750    0.098  11.595  11.260  10.996  99.000  11.615  99.000
# 0.0800000000  0.0800    0.102  11.258  10.901  10.606  99.000  11.278  99.000
# logAge=  9.176091259055681  is picked from isochrones/CMD-3.6-thin3_2MASS.dat and isochrones/CMD-3.6-thin3_Roman.dat
0.0900000036  0.0900    0.122  11.151  10.546  10.287  12.946  11.171  10.364
0.1000000015  0.1000    0.133  10.705  10.101   9.839  12.501  10.726   9.916
0.1016407907  0.1020    0.135  10.649  10.045   9.783  12.445  10.670   9.860
0.1139644906  0.1140    0.148  10.233   9.630   9.364  12.021  10.252   9.441
0.1184920222  0.1180    0.152  10.105   9.502   9.234  11.833  10.115   9.308
0.1200000048  0.1200    0.154  10.065   9.462   9.193  11.768  10.071   9.266
0.1400000006  0.1400    0.173   9.658   9.055   8.784  11.187   9.638   8.849
0.1407150626  0.1410    0.174   9.646   9.043   8.772  11.170   9.625   8.837
0.1599999964  0.1600    0.192   9.340   8.736   8.467  10.756   9.303   8.526
0.2000000030  0.2000    0.225   8.847   8.243   7.981  10.129   8.791   8.034
0.2500000000  0.2500    0.264   8.383   7.778   7.524   9.564   8.313   7.571
0.3273439705  0.3270    0.326   7.803   7.195   6.951   8.905   7.720   6.993
0.3360218704  0.3360    0.333   7.743   7.134   6.891   8.838   7.659   6.933
0.3500000238  0.3500    0.345   7.651   7.040   6.799   8.734   7.564   6.840
0.4000000358  0.4000    0.388   7.315   6.698   6.463   8.350   7.218   6.501
0.4500000179  0.4500    0.435   6.971   6.347   6.118   7.958   6.863   6.152
0.5000000000  0.5000    0.487   6.618   5.984   5.762   7.551   6.497   5.791
0.5194211006  0.5190    0.507   6.476   5.837   5.619   7.383   6.349   5.646
0.5500000119  0.5500    0.538   6.264   5.617   5.407   7.134   6.128   5.430
0.6000000238  0.6000    0.584   5.918   5.253   5.070   6.725   5.767   5.087
0.6499999762  0.6500    0.621   5.574   4.905   4.762   6.324   5.418   4.773
0.7000000477  0.7000    0.652   5.258   4.625   4.517   5.945   5.115   4.524
0.7273808718  0.7270    0.667   5.098   4.509   4.414   5.742   4.973   4.420
0.7500000596  0.7500    0.679   4.973   4.428   4.340   5.581   4.865   4.345
0.8000000119  0.8000    0.720   4.706   4.225   4.147   5.258   4.621   4.151
0.8500000238  0.8500    0.763   4.457   4.032   3.962   4.957   4.390   3.966
0.8758430481  0.8750    0.787   4.332   3.932   3.867   4.808   4.273   3.870
0.8999999762  0.8990    0.810   4.220   3.843   3.781   4.675   4.168   3.784
0.9499999881  0.9490    0.861   3.998   3.658   3.605   4.415   3.957   3.607
0.9571329355  0.9570    0.870   3.966   3.631   3.578   4.378   3.927   3.581
1.0000000000  1.0000    0.919   3.780   3.472   3.425   4.166   3.749   3.428
1.0379476547  1.0370    0.969   3.619   3.332   3.290   3.985   3.593   3.292
1.0499999523  1.0490    0.985   3.569   3.289   3.248   3.928   3.545   3.250
1.0624369383  1.0620    1.002   3.517   3.242   3.203   3.870   3.494   3.205
1.1000000238  1.0990    1.057   3.360   3.102   3.066   3.697   3.342   3.068
1.1207497120  1.1200    1.089   3.274   3.025   2.991   3.603   3.258   2.993
1.1499999762  1.1490    1.136   3.155   2.918   2.886   3.473   3.142   2.888
1.2000000477  1.1990    1.221   2.956   2.738   2.709   3.255   2.948   2.710
1.2500000000  1.2500    1.308   2.766   2.565   2.538   3.049   2.761   2.539
