# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.8447734118  0.8420    2.380   1.991   1.585   1.519   2.468   1.929   1.522
0.8455643058  0.8430    2.546   1.861   1.446   1.379   2.345   1.796   1.382
0.8462118506  0.8440    2.704   1.745   1.324   1.256   2.235   1.678   1.260
0.8469215631  0.8440    2.894   1.607   1.181   1.112   2.102   1.539   1.116
0.8474414945  0.8450    3.057   1.499   1.069   1.000   1.998   1.429   1.003
0.8480650187  0.8450    3.275   1.359   0.924   0.855   1.862   1.288   0.858
0.8485280275  0.8460    3.461   1.246   0.807   0.737   1.752   1.173   0.740
0.8489332795  0.8460    3.648   1.139   0.697   0.627   1.649   1.066   0.630
0.8493154645  0.8460    3.846   1.032   0.587   0.516   1.546   0.957   0.519
0.8496800065  0.8470    4.060   0.922   0.473   0.401   1.439   0.846   0.405
0.8500007987  0.8470    4.277   0.817   0.363   0.292   1.337   0.739   0.295
0.8503059149  0.8470    4.513   0.709   0.251   0.180   1.233   0.630   0.183
0.8506501913  0.8470    4.818   0.577   0.114   0.041   1.106   0.496   0.045
0.8509075046  0.8480    5.086   0.468   0.001  -0.072   1.002   0.386  -0.069
0.8512050509  0.8480    5.447   0.332  -0.142  -0.216   0.870   0.247  -0.213
0.8514671922  0.8480    5.823   0.199  -0.281  -0.356   0.744   0.112  -0.352
0.8516983986  0.8480    6.211   0.070  -0.416  -0.492   0.621  -0.018  -0.488
0.8519111276  0.8480    6.632  -0.059  -0.553  -0.629   0.498  -0.150  -0.625
0.8520915508  0.8480    7.053  -0.179  -0.680  -0.757   0.384  -0.273  -0.753
0.8522591591  0.8480    7.496  -0.300  -0.808  -0.886   0.269  -0.396  -0.882
0.8524119854  0.8480    7.972  -0.420  -0.936  -1.014   0.155  -0.519  -1.010
0.8525481224  0.8480    8.467  -0.536  -1.059  -1.137   0.046  -0.637  -1.134
0.8526723385  0.8480    8.973  -0.650  -1.180  -1.260  -0.062  -0.754  -1.257
0.8527824879  0.8480    9.499  -0.759  -1.296  -1.377  -0.164  -0.865  -1.373
0.8528835773  0.8480   10.027  -0.864  -1.408  -1.490  -0.263  -0.973  -1.486
0.8529806137  0.8480   10.577  -0.968  -1.519  -1.602  -0.361  -1.080  -1.599
0.8530786037  0.8480   11.091  -1.059  -1.616  -1.700  -0.447  -1.173  -1.696
0.8531879783  0.8470   11.496  -1.129  -1.690  -1.774  -0.513  -1.244  -1.771
0.8532330394  0.8470   11.323  -1.102  -1.660  -1.744  -0.488  -1.216  -1.741
0.8533096910  0.8470   10.906  -1.031  -1.584  -1.666  -0.423  -1.143  -1.663
0.8533228040  0.8470   11.014  -1.050  -1.603  -1.686  -0.440  -1.162  -1.683
0.8534026146  0.8470   11.688  -1.165  -1.726  -1.810  -0.548  -1.280  -1.807
0.8534829021  0.8470   12.452  -1.285  -1.854  -1.939  -0.661  -1.403  -1.936
0.8535579443  0.8470   13.257  -1.405  -1.982  -2.069  -0.773  -1.526  -2.066
0.8536260724  0.8460   14.114  -1.522  -2.107  -2.195  -0.883  -1.646  -2.192
0.8536899090  0.8460   15.016  -1.639  -2.233  -2.322  -0.993  -1.767  -2.319
0.8537462354  0.8460   15.950  -1.752  -2.351  -2.442  -1.098  -1.881  -2.439
0.8537996411  0.8450   16.942  -1.867  -2.471  -2.564  -1.206  -1.998  -2.561
0.8538485765  0.8450   18.003  -1.981  -2.591  -2.686  -1.311  -2.114  -2.682
0.8538942933  0.8440   19.141  -2.096  -2.712  -2.809  -1.416  -2.231  -2.806
0.8539350033  0.8440   20.293  -2.205  -2.828  -2.928  -1.516  -2.343  -2.925
0.8539731503  0.8430   21.540  -2.316  -2.945  -3.048  -1.617  -2.456  -3.044
0.8540079594  0.8430   22.848  -2.425  -3.060  -3.165  -1.716  -2.567  -3.162
0.8540403843  0.8420   24.236  -2.534  -3.175  -3.284  -1.814  -2.678  -3.280
0.8540695906  0.8420   25.666  -2.639  -3.286  -3.398  -1.908  -2.786  -3.395
0.8540972471  0.8410   27.224  -2.746  -3.399  -3.515  -2.004  -2.895  -3.512
