# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
1.0365300179  1.0350    1.785   2.461   2.103   2.046   2.899   2.415   2.048
1.0396757126  1.0380    1.874   2.421   2.035   1.973   2.886   2.367   1.975
1.0418318510  1.0400    1.959   2.388   1.974   1.907   2.881   2.325   1.910
1.0438550711  1.0420    2.072   2.330   1.886   1.815   2.852   2.258   1.818
1.0458474159  1.0440    2.230   2.227   1.758   1.683   2.772   2.147   1.686
1.0469304323  1.0450    2.331   2.155   1.675   1.597   2.711   2.071   1.600
1.0484731197  1.0470    2.512   2.015   1.525   1.445   2.581   1.927   1.449
1.0498138666  1.0480    2.692   1.880   1.382   1.302   2.454   1.790   1.305
1.0499999523  1.0480    2.721   1.859   1.360   1.280   2.434   1.769   1.283
1.0510058403  1.0490    2.882   1.746   1.242   1.161   2.325   1.654   1.164
1.0519090891  1.0500    3.045   1.635   1.127   1.045   2.218   1.541   1.048
1.0529209375  1.0510    3.254   1.499   0.988   0.905   2.087   1.405   0.908
1.0536925793  1.0520    3.438   1.387   0.872   0.789   1.978   1.291   0.792
1.0544130802  1.0520    3.635   1.273   0.755   0.671   1.867   1.176   0.674
1.0550392866  1.0530    3.836   1.165   0.644   0.559   1.763   1.067   0.562
1.0557913780  1.0540    4.112   1.025   0.499   0.413   1.628   0.925   0.416
1.0563148260  1.0540    4.337   0.918   0.389   0.302   1.525   0.817   0.305
1.0569205284  1.0550    4.637   0.783   0.249   0.161   1.396   0.680   0.164
1.0573716164  1.0550    4.901   0.673   0.134   0.044   1.290   0.568   0.047
1.0578775406  1.0560    5.251   0.537  -0.008  -0.099   1.161   0.431  -0.096
1.0583435297  1.0560    5.636   0.399  -0.153  -0.245   1.029   0.290  -0.242
1.0587474108  1.0560    6.031   0.266  -0.293  -0.386   0.903   0.154  -0.383
1.0591168404  1.0570    6.463   0.132  -0.433  -0.529   0.777   0.018  -0.526
1.0594588518  1.0570    6.938  -0.004  -0.577  -0.674   0.648  -0.121  -0.671
1.0597566366  1.0570    7.423  -0.133  -0.714  -0.813   0.526  -0.253  -0.810
1.0600421429  1.0570    7.963  -0.268  -0.856  -0.957   0.400  -0.391  -0.954
1.0603014231  1.0570    8.526  -0.397  -0.993  -1.096   0.279  -0.523  -1.093
1.0605558157  1.0580    9.090  -0.520  -1.124  -1.230   0.163  -0.649  -1.226
1.0608870983  1.0580    9.680  -0.638  -1.249  -1.356   0.053  -0.770  -1.353
1.0610882044  1.0580    9.261  -0.559  -1.163  -1.269   0.126  -0.688  -1.266
1.0612225533  1.0580    8.715  -0.446  -1.042  -1.145   0.230  -0.572  -1.142
1.0612339973  1.0580    8.677  -0.438  -1.034  -1.137   0.237  -0.564  -1.134
1.0614233017  1.0580    9.255  -0.560  -1.164  -1.269   0.123  -0.689  -1.266
1.0616178513  1.0580    9.903  -0.687  -1.299  -1.406   0.005  -0.819  -1.403
1.0618038177  1.0580   10.601  -0.815  -1.435  -1.545  -0.114  -0.951  -1.542
1.0619708300  1.0580   11.318  -0.940  -1.567  -1.680  -0.229  -1.078  -1.677
