# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0030000000  0.0030    0.104  37.358  34.544  54.256  99.000  37.391  99.000
0.0040000000  0.0040    0.104  35.127  33.108  51.086  99.000  35.160  99.000
0.0050000000  0.0050    0.103  33.228  31.766  48.236  99.000  33.261  99.000
0.0060000000  0.0060    0.102  31.448  30.472  45.506  99.000  31.481  99.000
0.0070000000  0.0070    0.102  29.815  29.276  42.986  99.000  29.848  99.000
0.0080000000  0.0080    0.101  28.310  28.147  40.636  99.000  28.343  99.000
0.0090000000  0.0090    0.100  26.971  27.124  38.526  99.000  27.004  99.000
0.0100000000  0.0100    0.099  25.729  26.180  36.566  99.000  25.762  99.000
0.0120000000  0.0120    0.098  23.498  24.425  33.036  99.000  23.531  99.000
0.0150000000  0.0150    0.096  22.228  23.149  30.436  99.000  22.261  99.000
0.0200000000  0.0200    0.093  20.922  21.596  26.996  99.000  20.955  99.000
0.0300000000  0.0300    0.088  19.522  19.608  22.566  99.000  19.555  99.000
0.0400000000  0.0400    0.083  18.200  18.291  19.966  99.000  18.233  99.000
0.0500000000  0.0500    0.079  17.009  17.161  18.046  99.000  17.042  99.000
0.0600000000  0.0600    0.076  15.974  16.174  16.526  99.000  16.007  99.000
0.0700000000  0.0700    0.078  14.334  14.436  14.336  99.000  14.367  99.000
0.0720000000  0.0720    0.081  13.407  13.415  13.336  99.000  13.440  99.000
0.0750000000  0.0750    0.089  12.217  11.958  11.786  99.000  12.250  99.000
0.0800000000  0.0800    0.099  11.427  11.070  10.796  99.000  11.460  99.000
# logAge=  9.937016107464814  is picked from isochrones/CMD-3.6-thin7_2MASS.dat and isochrones/CMD-3.6-thin7_Roman.dat
0.0900000036  0.0900    0.119  11.111  10.529  10.282  12.866  11.144  10.359
0.1000000089  0.1000    0.131  10.634  10.053   9.802  12.390  10.667   9.879
0.1200000048  0.1200    0.152  10.014   9.428   9.167  11.598  10.016   9.236
0.1270686835  0.1270    0.159   9.863   9.276   9.014  11.388   9.856   9.080
0.1400000006  0.1400    0.171   9.610   9.020   8.757  11.037   9.586   8.819
0.1599999964  0.1600    0.190   9.289   8.697   8.436  10.616   9.249   8.493
0.2000000179  0.2000    0.224   8.789   8.195   7.941   9.993   8.730   7.991
0.2500000000  0.2500    0.266   8.305   7.709   7.462   9.427   8.233   7.507
0.3000000119  0.3000    0.306   7.918   7.319   7.078   8.991   7.838   7.120
0.3409036100  0.3410    0.341   7.629   7.027   6.790   8.670   7.543   6.830
0.3500000238  0.3500    0.349   7.569   6.966   6.730   8.604   7.481   6.769
0.4000000358  0.4000    0.393   7.230   6.620   6.390   8.222   7.132   6.426
0.4500000179  0.4500    0.443   6.875   6.257   6.033   7.821   6.766   6.065
0.5000000000  0.5000    0.496   6.508   5.879   5.662   7.398   6.384   5.688
0.5188140273  0.5190    0.517   6.356   5.721   5.510   7.220   6.226   5.533
0.5500000119  0.5500    0.553   6.114   5.467   5.269   6.941   5.973   5.288
0.6000000238  0.6000    0.601   5.734   5.066   4.907   6.502   5.579   4.920
0.6178877950  0.6180    0.615   5.594   4.927   4.785   6.340   5.439   4.796
0.6499999762  0.6500    0.640   5.358   4.709   4.595   6.062   5.209   4.602
0.7000000477  0.7000    0.679   5.013   4.448   4.358   5.636   4.897   4.363
0.7126541138  0.7130    0.690   4.929   4.389   4.302   5.530   4.822   4.307
0.7291511893  0.7290    0.705   4.818   4.307   4.225   5.395   4.722   4.229
0.7450229526  0.7450    0.720   4.716   4.230   4.153   5.268   4.628   4.157
0.7500000000  0.7500    0.725   4.683   4.206   4.130   5.229   4.599   4.134
0.7555435300  0.7550    0.731   4.647   4.178   4.103   5.186   4.566   4.107
0.7757649422  0.7750    0.756   4.516   4.074   4.003   5.029   4.443   4.007
0.7947038412  0.7940    0.780   4.393   3.976   3.909   4.884   4.329   3.912
0.7986197472  0.7980    0.785   4.368   3.955   3.889   4.854   4.305   3.892
0.8110433221  0.8110    0.803   4.285   3.887   3.823   4.758   4.227   3.826
0.8265756369  0.8260    0.827   4.184   3.802   3.740   4.640   4.130   3.743
0.8410431147  0.8400    0.851   4.088   3.721   3.662   4.531   4.039   3.665
0.8472393751  0.8460    0.862   4.048   3.686   3.629   4.485   4.000   3.632
0.8556292057  0.8550    0.878   3.991   3.637   3.581   4.421   3.946   3.584
