# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0005000000  0.0005    0.114  27.866  26.306  37.636  99.000  27.887  99.000
0.0010000000  0.0010    0.117  22.019  22.209  29.086  99.000  22.040  99.000
0.0020000000  0.0020    0.120  19.841  19.676  23.106  99.000  19.862  99.000
0.0030000000  0.0030    0.121  18.731  18.514  20.856  99.000  18.752  99.000
0.0040000000  0.0040    0.122  17.835  17.671  19.326  99.000  17.856  99.000
0.0050000000  0.0050    0.122  17.141  16.995  18.126  99.000  17.162  99.000
0.0060000000  0.0060    0.121  16.642  16.494  17.236  99.000  16.663  99.000
0.0070000000  0.0070    0.121  16.111  16.004  16.356  99.000  16.132  99.000
0.0080000000  0.0080    0.120  15.721  15.650  15.766  99.000  15.742  99.000
0.0090000000  0.0090    0.120  15.292  15.236  15.136  99.000  15.313  99.000
0.0100000000  0.0100    0.120  14.917  14.868  14.666  99.000  14.938  99.000
0.0120000000  0.0120    0.129  13.188  12.979  12.736  99.000  13.209  99.000
0.0150000000  0.0150    0.124  13.035  12.828  12.626  99.000  13.056  99.000
0.0200000000  0.0200    0.122  12.587  12.348  12.146  99.000  12.608  99.000
0.0300000000  0.0300    0.126  11.518  11.212  10.876  99.000  11.539  99.000
0.0400000000  0.0400    0.132  10.892  10.533  10.166  99.000  10.913  99.000
0.0500000000  0.0500    0.141  10.433  10.032   9.686  99.000  10.454  99.000
0.0600000000  0.0600    0.150  10.104   9.692   9.346  99.000  10.125  99.000
0.0700000000  0.0700    0.160   9.823   9.402   9.076  99.000   9.844  99.000
0.0720000000  0.0720    0.162   9.773   9.352   9.026  99.000   9.794  99.000
0.0750000000  0.0750    0.166   9.693   9.272   8.946  99.000   9.714  99.000
# 0.0800000000  0.0800    0.170   9.604   9.172   8.846  99.000   9.625  99.000
# logAge=  8  is picked from isochrones/CMD-3.6-thin1_2MASS.dat and isochrones/CMD-3.6-thin1_Roman.dat
0.0900000036  0.0900    0.220   9.520   8.935   8.629  11.334   9.541   8.703
0.0930651799  0.0930    0.223   9.459   8.874   8.567  11.272   9.480   8.642
0.1000000015  0.1000    0.229   9.320   8.734   8.428  11.133   9.340   8.503
0.1008088589  0.1010    0.230   9.305   8.720   8.414  11.118   9.326   8.489
0.1114393026  0.1110    0.240   9.133   8.547   8.243  10.884   9.145   8.315
0.1199999973  0.1200    0.247   9.011   8.423   8.122  10.683   9.011   8.191
0.1399999857  0.1400    0.263   8.772   8.182   7.888  10.334   8.757   7.952
0.1415578574  0.1410    0.264   8.754   8.165   7.871  10.310   8.738   7.935
0.1599999964  0.1600    0.279   8.562   7.971   7.684  10.033   8.534   7.744
0.2000000030  0.2000    0.308   8.219   7.624   7.349   9.563   8.173   7.403
0.2206547558  0.2210    0.322   8.070   7.473   7.204   9.367   8.017   7.256
0.2500000000  0.2500    0.341   7.881   7.282   7.019   9.120   7.819   7.068
0.2894600928  0.2890    0.366   7.654   7.050   6.795   8.839   7.583   6.841
0.3000000119  0.3000    0.372   7.597   6.993   6.740   8.770   7.524   6.785
0.3500000238  0.3500    0.406   7.335   6.725   6.480   8.455   7.253   6.522
0.4000000358  0.4000    0.441   7.074   6.457   6.219   8.143   6.981   6.258
0.4500000179  0.4500    0.480   6.797   6.171   5.939   7.815   6.692   5.975
0.5000000000  0.5000    0.523   6.493   5.856   5.632   7.449   6.373   5.662
0.5236139297  0.5230    0.545   6.316   5.671   5.453   7.229   6.186   5.480
0.5500000119  0.5500    0.569   6.126   5.472   5.265   6.997   5.987   5.287
0.5557504892  0.5550    0.574   6.081   5.424   5.221   6.939   5.939   5.242
0.6000000238  0.6000    0.601   5.771   5.097   4.931   6.557   5.614   4.945
0.6219377518  0.6220    0.605   5.633   4.964   4.820   6.386   5.477   4.831
0.6441588998  0.6440    0.609   5.552   4.891   4.758   6.285   5.399   4.768
0.6499999762  0.6500    0.612   5.535   4.875   4.744   6.265   5.382   4.754
0.6601551175  0.6600    0.614   5.507   4.850   4.723   6.232   5.355   4.732
0.7000000477  0.7000    0.635   5.316   4.684   4.576   6.004   5.174   4.583
0.7118418813  0.7120    0.642   5.251   4.635   4.532   5.922   5.115   4.539
0.7500000000  0.7500    0.663   5.038   4.487   4.397   5.651   4.927   4.402
0.8000000119  0.8000    0.703   4.780   4.290   4.210   5.341   4.691   4.214
0.8473516703  0.8470    0.742   4.552   4.113   4.041   5.067   4.481   4.044
0.8500000238  0.8500    0.744   4.540   4.104   4.032   5.052   4.470   4.035
0.8999999762  0.8990    0.784   4.318   3.928   3.863   4.786   4.263   3.867
0.9499999285  0.9500    0.830   4.111   3.758   3.701   4.541   4.066   3.704
1.0000000000  1.0000    0.882   3.902   3.581   3.531   4.301   3.866   3.533
1.0274553299  1.0270    0.913   3.792   3.487   3.440   4.176   3.761   3.443
1.0499999523  1.0500    0.935   3.712   3.419   3.374   4.085   3.685   3.377
1.1000000238  1.0990    0.993   3.525   3.255   3.216   3.873   3.503   3.218
1.1127263308  1.1120    1.009   3.472   3.209   3.172   3.814   3.453   3.174
1.1499999762  1.1490    1.055   3.341   3.093   3.059   3.668   3.325   3.061
