# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0020000000  0.0020    0.105  37.257  34.027  53.596  99.000  37.278  99.000
0.0030000000  0.0030    0.105  34.125  32.029  49.186  99.000  34.146  99.000
0.0040000000  0.0040    0.105  31.374  30.144  45.126  99.000  31.395  99.000
0.0050000000  0.0050    0.105  29.128  28.509  41.686  99.000  29.149  99.000
0.0060000000  0.0060    0.104  27.154  27.049  38.646  99.000  27.175  99.000
0.0070000000  0.0070    0.103  25.426  25.745  35.936  99.000  25.447  99.000
0.0080000000  0.0080    0.103  23.951  24.625  33.626  99.000  23.972  99.000
0.0090000000  0.0090    0.102  22.701  23.651  31.616  99.000  22.722  99.000
0.0100000000  0.0100    0.101  22.269  23.117  30.466  99.000  22.290  99.000
0.0120000000  0.0120    0.100  21.375  22.018  28.136  99.000  21.396  99.000
0.0150000000  0.0150    0.098  20.524  21.017  25.986  99.000  20.545  99.000
0.0200000000  0.0200    0.095  19.661  19.836  23.286  99.000  19.682  99.000
0.0300000000  0.0300    0.090  18.208  18.269  20.016  99.000  18.229  99.000
0.0400000000  0.0400    0.085  16.950  17.091  17.966  99.000  16.971  99.000
0.0500000000  0.0500    0.082  15.878  16.045  16.356  99.000  15.899  99.000
0.0600000000  0.0600    0.079  14.965  15.133  15.126  99.000  14.986  99.000
0.0700000000  0.0700    0.081  13.487  13.506  13.416  99.000  13.508  99.000
0.0720000000  0.0720    0.083  12.943  12.855  12.776  99.000  12.964  99.000
0.0750000000  0.0750    0.089  12.187  11.928  11.756  99.000  12.208  99.000
0.0800000000  0.0800    0.099  11.438  11.081  10.796  99.000  11.459  99.000
# logAge=  9.60745502321467  is picked from isochrones/CMD-3.6-thin5_2MASS.dat and isochrones/CMD-3.6-thin5_Roman.dat
0.0900000036  0.0900    0.121  11.157  10.553  10.298  12.944  11.178  10.376
0.1000000015  0.1000    0.133  10.690  10.087   9.829  12.477  10.712   9.906
0.1155960262  0.1160    0.149  10.170   9.568   9.304  11.910  10.183   9.379
0.1200000048  0.1200    0.153  10.051   9.448   9.182  11.719  10.053   9.253
0.1400000006  0.1400    0.173   9.645   9.041   8.773  11.144   9.621   8.837
0.1416598707  0.1420    0.174   9.617   9.013   8.745  11.106   9.591   8.808
0.1599999964  0.1600    0.191   9.327   8.722   8.455  10.716   9.286   8.514
0.2000000030  0.2000    0.225   8.832   8.227   7.967  10.090   8.773   8.019
0.2500000000  0.2500    0.264   8.362   7.756   7.504   9.524   8.289   7.551
0.3000000119  0.3000    0.302   7.988   7.380   7.135   9.096   7.907   7.179
0.3500000238  0.3500    0.348   7.616   7.005   6.765   8.685   7.528   6.806
0.4000000358  0.4000    0.391   7.285   6.669   6.435   8.307   7.187   6.472
0.4500000477  0.4500    0.439   6.938   6.314   6.085   7.912   6.829   6.119
0.4671995938  0.4670    0.457   6.811   6.184   5.958   7.766   6.697   5.989
0.5000000000  0.5000    0.491   6.582   5.948   5.727   7.503   6.460   5.755
0.5149133801  0.5150    0.507   6.469   5.831   5.614   7.369   6.342   5.640
0.5500000119  0.5500    0.544   6.215   5.568   5.360   7.073   6.077   5.382
0.6000000238  0.6000    0.591   5.858   5.191   5.015   6.654   5.706   5.030
0.6499999762  0.6500    0.628   5.503   4.838   4.703   6.240   5.348   4.713
0.6935443282  0.6940    0.657   5.218   4.593   4.489   5.897   5.079   4.496
0.7000000477  0.7000    0.662   5.179   4.564   4.463   5.847   5.044   4.469
0.7181571722  0.7180    0.673   5.067   4.484   4.390   5.707   4.944   4.395
0.7500000000  0.7500    0.694   4.880   4.356   4.271   5.469   4.779   4.275
