# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
1.7000000477  1.6990    1.656   1.850   1.816   1.797   1.969   1.872   1.798
1.7185693979  1.7180    1.675   1.814   1.784   1.766   1.928   1.837   1.766
1.7500000000  1.7490    1.708   1.753   1.730   1.711   1.860   1.776   1.712
1.7853997946  1.7840    1.749   1.684   1.667   1.649   1.782   1.707   1.650
1.7999998331  1.7990    1.766   1.656   1.641   1.623   1.751   1.679   1.624
1.8433248997  1.8420    1.819   1.571   1.563   1.546   1.657   1.594   1.546
1.8499999046  1.8490    1.826   1.558   1.551   1.534   1.643   1.581   1.534
1.8840939999  1.8830    1.872   1.490   1.488   1.471   1.569   1.513   1.471
1.8999999762  1.8990    1.896   1.458   1.457   1.440   1.534   1.481   1.441
1.9101647139  1.9090    1.910   1.438   1.438   1.421   1.512   1.460   1.422
1.9500000477  1.9500    1.971   1.355   1.359   1.343   1.423   1.377   1.343
1.9706997871  1.9710    2.004   1.311   1.318   1.302   1.377   1.334   1.302
2.0000000000  2.0000    2.055   1.248   1.256   1.240   1.309   1.270   1.241
2.0256433487  2.0260    2.102   1.192   1.202   1.187   1.251   1.214   1.187
2.0499999523  2.0500    2.151   1.138   1.150   1.135   1.194   1.160   1.135
2.0922157764  2.0910    2.238   1.043   1.056   1.042   1.094   1.064   1.042
2.0999999046  2.0990    2.253   1.025   1.039   1.024   1.076   1.046   1.024
2.1225295067  2.1210    2.305   0.972   0.987   0.973   1.022   0.994   0.973
2.1500000954  2.1490    2.377   0.904   0.920   0.906   0.953   0.926   0.906
2.1617739201  2.1600    2.407   0.875   0.891   0.876   0.923   0.896   0.877
2.2000000477  2.1990    2.525   0.774   0.789   0.775   0.821   0.795   0.775
2.2214567661  2.2200    2.594   0.715   0.731   0.717   0.762   0.736   0.717
2.2500000000  2.2490    2.695   0.634   0.649   0.635   0.682   0.655   0.635
2.2587459087  2.2570    2.726   0.609   0.624   0.610   0.657   0.630   0.610
2.2953100204  2.2940    2.878   0.499   0.513   0.498   0.548   0.520   0.498
2.2999999523  2.2990    2.900   0.483   0.497   0.482   0.533   0.504   0.482
2.3319940567  2.3310    3.068   0.375   0.386   0.371   0.429   0.396   0.371
2.3700511456  2.3690    3.301   0.238   0.244   0.227   0.299   0.258   0.228
2.4000000954  2.3990    3.523   0.120   0.121   0.103   0.189   0.140   0.103
2.4231834412  2.4220    3.721   0.022   0.018  -0.001   0.100   0.042  -0.000
2.4456844330  2.4450    3.948  -0.079  -0.090  -0.110   0.009  -0.059  -0.110
2.4695148468  2.4690    4.219  -0.191  -0.213  -0.234  -0.090  -0.172  -0.233
2.4875855446  2.4870    4.468  -0.284  -0.315  -0.337  -0.171  -0.265  -0.337
2.5047957897  2.5040    4.719  -0.377  -0.416  -0.439  -0.252  -0.358  -0.439
2.5180652142  2.5180    4.894  -0.443  -0.487  -0.510  -0.313  -0.425  -0.510
2.5258114338  2.5250    4.870  -0.458  -0.492  -0.515  -0.339  -0.439  -0.514
2.5295522213  2.5290    4.777  -0.449  -0.472  -0.494  -0.346  -0.430  -0.493
2.5310213566  2.5310    4.666  -0.432  -0.445  -0.465  -0.344  -0.413  -0.465
2.5318737030  2.5320    4.542  -0.413  -0.416  -0.434  -0.340  -0.394  -0.434
2.5323383808  2.5320    4.443  -0.398  -0.393  -0.409  -0.338  -0.379  -0.409
2.5326337814  2.5320    4.358  -0.387  -0.376  -0.390  -0.340  -0.369  -0.390
2.5328459740  2.5320    4.287  -0.381  -0.364  -0.376  -0.345  -0.362  -0.376
2.5330057144  2.5330    4.227  -0.372  -0.351  -0.362  -0.343  -0.353  -0.362
2.5330595970  2.5330    4.216  -0.354  -0.335  -0.346  -0.321  -0.335  -0.346
2.5331280231  2.5330    4.224  -0.337  -0.322  -0.335  -0.295  -0.318  -0.335
2.5331954956  2.5330    4.297  -0.343  -0.334  -0.350  -0.291  -0.324  -0.349
2.5332810879  2.5330    4.479  -0.392  -0.392  -0.410  -0.324  -0.373  -0.410
2.5333788395  2.5330    4.739  -0.474  -0.485  -0.505  -0.389  -0.455  -0.504
2.5334932804  2.5330    5.053  -0.570  -0.593  -0.615  -0.466  -0.551  -0.615
2.5336215496  2.5330    5.387  -0.661  -0.699  -0.723  -0.538  -0.643  -0.722
2.5337615013  2.5330    5.714  -0.742  -0.797  -0.822  -0.599  -0.725  -0.821
2.5339109898  2.5340    6.033  -0.815  -0.888  -0.914  -0.650  -0.800  -0.914
2.5340683460  2.5340    6.369  -0.881  -0.974  -1.001  -0.694  -0.867  -1.001
2.5342307091  2.5340    6.704  -0.940  -1.055  -1.084  -0.730  -0.929  -1.083
2.5343956947  2.5340    7.045  -0.993  -1.131  -1.162  -0.760  -0.986  -1.161
2.5345602036  2.5340    7.387  -1.041  -1.203  -1.236  -0.784  -1.039  -1.235
2.5347225666  2.5340    7.726  -1.083  -1.269  -1.304  -0.802  -1.085  -1.302
2.5348842144  2.5350    8.064  -1.121  -1.330  -1.368  -0.817  -1.128  -1.367
2.5350539684  2.5350    8.380  -1.153  -1.386  -1.427  -0.825  -1.165  -1.425
2.5352406502  2.5350    8.683  -1.174  -1.432  -1.477  -0.822  -1.192  -1.475
2.5354728699  2.5350    8.955  -1.182  -1.469  -1.517  -0.803  -1.207  -1.515
2.5356767178  2.5350    9.107  -1.169  -1.479  -1.530  -0.770  -1.201  -1.528
2.5358948708  2.5360    9.170  -1.137  -1.468  -1.524  -0.716  -1.174  -1.522
2.5361046791  2.5360    9.168  -1.093  -1.446  -1.505  -0.653  -1.137  -1.502
2.5362930298  2.5360    9.140  -1.047  -1.419  -1.479  -0.590  -1.096  -1.477
2.5365388393  2.5360    9.107  -0.989  -1.383  -1.447  -0.510  -1.045  -1.445
2.5368492603  2.5360    9.187  -0.948  -1.369  -1.437  -0.442  -1.012  -1.435
2.5369431973  2.5370    9.257  -0.946  -1.376  -1.445  -0.432  -1.013  -1.443
2.5372457504  2.5370    9.807  -1.019  -1.471  -1.545  -0.481  -1.093  -1.543
2.5375478268  2.5370   10.570  -1.138  -1.611  -1.689  -0.581  -1.219  -1.686
2.5377893448  2.5370   11.266  -1.246  -1.731  -1.812  -0.674  -1.331  -1.809
2.5380911827  2.5380   12.110  -1.372  -1.871  -1.955  -0.787  -1.462  -1.952
2.5383927822  2.5380   12.961  -1.492  -2.003  -2.090  -0.895  -1.586  -2.087
2.5386941433  2.5380   13.844  -1.610  -2.132  -2.221  -1.001  -1.707  -2.218
2.5389349461  2.5390   14.583  -1.704  -2.235  -2.326  -1.087  -1.805  -2.323
2.5391755104  2.5390   15.387  -1.800  -2.339  -2.432  -1.174  -1.904  -2.429
2.5392358303  2.5390   15.598  -1.824  -2.365  -2.459  -1.195  -1.929  -2.456
2.5392982960  2.5390   15.811  -1.849  -2.392  -2.486  -1.219  -1.955  -2.484
2.5396103859  2.5390   16.949  -1.976  -2.529  -2.626  -1.334  -2.085  -2.623
2.5396735668  2.5390   17.173  -2.001  -2.556  -2.654  -1.357  -2.111  -2.651
2.5399260521  2.5400   18.145  -2.103  -2.665  -2.765  -1.450  -2.215  -2.762
