# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0020000000  0.0020    0.105  37.257  34.027  53.596  99.000  37.285  99.000
0.0030000000  0.0030    0.105  34.125  32.029  49.186  99.000  34.153  99.000
0.0040000000  0.0040    0.105  31.374  30.144  45.126  99.000  31.402  99.000
0.0050000000  0.0050    0.105  29.128  28.509  41.686  99.000  29.156  99.000
0.0060000000  0.0060    0.104  27.154  27.049  38.646  99.000  27.182  99.000
0.0070000000  0.0070    0.103  25.426  25.745  35.936  99.000  25.454  99.000
0.0080000000  0.0080    0.103  23.951  24.625  33.626  99.000  23.979  99.000
0.0090000000  0.0090    0.102  22.701  23.651  31.616  99.000  22.729  99.000
0.0100000000  0.0100    0.101  22.269  23.117  30.466  99.000  22.297  99.000
0.0120000000  0.0120    0.100  21.375  22.018  28.136  99.000  21.403  99.000
0.0150000000  0.0150    0.098  20.524  21.017  25.986  99.000  20.552  99.000
0.0200000000  0.0200    0.095  19.661  19.836  23.286  99.000  19.689  99.000
0.0300000000  0.0300    0.090  18.208  18.269  20.016  99.000  18.236  99.000
0.0400000000  0.0400    0.085  16.950  17.091  17.966  99.000  16.978  99.000
0.0500000000  0.0500    0.082  15.878  16.045  16.356  99.000  15.906  99.000
0.0600000000  0.0600    0.079  14.965  15.133  15.126  99.000  14.993  99.000
0.0700000000  0.0700    0.081  13.487  13.506  13.416  99.000  13.515  99.000
0.0720000000  0.0720    0.083  12.943  12.855  12.776  99.000  12.971  99.000
0.0750000000  0.0750    0.089  12.187  11.928  11.756  99.000  12.215  99.000
0.0800000000  0.0800    0.099  11.438  11.081  10.796  99.000  11.466  99.000
