# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:15:37 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
  100 0.0900000036 18.019 13.617
  100 0.1000000015 17.614 13.221
  100 0.1200000048 16.623 12.451
  100 0.1209750026 16.566 12.416
  100 0.1400000006 15.551 11.763
  100 0.1464374363 15.293 11.594
  100 0.1599999964 14.780 11.265
  100 0.2000000030 13.732 10.564
  100 0.2500000000 12.827  9.947
  100 0.3144076169 12.059  9.369
  100 0.3204546869 11.989  9.315
  100 0.3489531279 11.685  9.087
  100 0.3500000238 11.675  9.079
  100 0.4000000358 11.130  8.667
  100 0.4500000179 10.585  8.252
  100 0.5000000000 10.004  7.822
  100 0.5089269280  9.884  7.738
  100 0.5500000119  9.375  7.379
  100 0.5613246560  9.218  7.275
  100 0.6000000238  8.730  6.943
  100 0.6144760251  8.543  6.816
  100 0.6343220472  8.297  6.648
  100 0.6499999762  8.105  6.518
  100 0.7000000477  7.475  6.116
  100 0.7017180324  7.453  6.102
  100 0.7500000596  6.886  5.733
  100 0.8000000119  6.429  5.399
  100 0.8500000238  6.019  5.090
  100 0.8999999762  5.653  4.802
  100 0.9038389325  5.626  4.781
  100 0.9499999881  5.318  4.539
  100 0.9953590035  5.039  4.312
  100 1.0000000000  5.011  4.290
  100 1.0159828663  4.917  4.213
  100 1.0499999523  4.723  4.054
  100 1.1000000238  4.451  3.826
  100 1.1203415394  4.345  3.736
  100 1.1499999762  4.193  3.607
  100 1.2000000477  3.946  3.397
  100 1.2500000000  3.714  3.198
  100 1.2568267584  3.683  3.172
  100 1.2999999523  3.492  3.007
  100 1.3126246929  3.438  2.961
  100 1.3500000238  3.280  2.828
  100 1.3999999762  3.077  2.660
  100 1.4393695593  2.923  2.535
  100 1.4500000477  2.882  2.502
  100 1.4837881327  2.754  2.402
  100 1.5000001192  2.695  2.354
  100 1.5453882217  2.533  2.225
  100 1.5500000715  2.517  2.212
  100 1.5856118202  2.395  2.112
  100 1.6000000238  2.346  2.072
  100 1.6212381124  2.275  2.012
  100 1.6499999762  2.179  1.930
  100 1.6578127146  2.153  1.908
  100 1.6992378235  2.017  1.788
  100 1.7000000477  2.015  1.786
  100 1.7233271599  1.939  1.718
  100 1.7500000000  1.852  1.640
  100 1.7597874403  1.821  1.611
  100 1.7895218134  1.724  1.521
  100 1.7999999523  1.690  1.488
  100 1.8175288439  1.633  1.433
  100 1.8487175703  1.531  1.332
  100 1.8500000238  1.527  1.328
  100 1.8757104874  1.444  1.243
  100 1.8996168375  1.367  1.160
  100 1.8999999762  1.366  1.158
  100 1.9080997705  1.340  1.130
  100 1.9385133982  1.242  1.018
  100 1.9500000477  1.206  0.975
  100 1.9639890194  1.162  0.922
  100 1.9903584719  1.082  0.817
  100 2.0000000000  1.054  0.777
  100 2.0096390247  1.026  0.736
  100 2.0302422047  0.967  0.647
  100 2.0480465889  0.919  0.569
  100 2.0499999523  0.914  0.560
  100 2.0512747765  0.911  0.554
  100 2.0652110577  0.875  0.490
  100 2.0814874172  0.824  0.411
  100 2.0889401436  0.796  0.374
  100 2.0968616009  0.703  0.325
  100 2.0990552902  0.650  0.308
  100 2.0999999046  0.604  0.296
  100 2.1004137993  0.574  0.289
  100 2.1008129120  0.521  0.276
  100 2.1010580063  0.466  0.258
  100 2.1012229919  0.413  0.239
  100 2.1013290882  0.393  0.235
  100 2.1013908386  0.450  0.275
  100 2.1014490128  0.513  0.309
  100 2.1015043259  0.553  0.314
  100 2.1015794277  0.566  0.282
  100 2.1016683578  0.551  0.223
  100 2.1017727852  0.536  0.164
  100 2.1018908024  0.532  0.115
  100 2.1020221710  0.539  0.078
  100 2.1021661758  0.554  0.051
  100 2.1023287773  0.574  0.031
  100 2.1025221348  0.604  0.022
  100 2.1027717590  0.648  0.027
  100 2.1030902863  0.716  0.052
  100 2.1033666134  0.789  0.090
  100 2.1036639214  0.883  0.150
  100 2.1039302349  0.982  0.219
  100 2.1041607857  1.074  0.286
  100 2.1044530869  1.187  0.368
  100 2.1046719551  1.260  0.418
  100 2.1050436497  1.299  0.422
  100 2.1054890156  1.276  0.362
  100 2.1058595181  1.206  0.267
  100 2.1061558723  1.131  0.176
  100 2.1064517498  1.051  0.080
  100 2.1067445278  0.968 -0.017
  100 2.1070296764  0.883 -0.115
  100 2.1073055267  0.800 -0.211
  100 2.1075763702  0.717 -0.306
  100 2.1078455448  0.636 -0.400
  100 2.1080474854  0.575 -0.470
  100 2.1081171036  0.554 -0.494
  100 2.1083958149  0.469 -0.591
  100 2.1084654331  0.448 -0.615
  100 2.1085336208  0.427 -0.639
  100 2.1088044643  0.344 -0.736
  100 2.1090705395  0.261 -0.832
  100 2.1093316078  0.178 -0.929
  100 2.1095874310  0.099 -1.024
  100 2.1098380089  0.019 -1.119
  100 2.1100792885 -0.058 -1.212
  100 2.1103928089 -0.159 -1.334
  100 2.1106581688 -0.244 -1.439
  100 2.1108868122 -0.318 -1.530
  100 2.1111481190 -0.403 -1.637
  100 2.1114037037 -0.487 -1.740
  100 2.1116864681 -0.580 -1.852
  100 2.1119654179 -0.667 -1.957
  100 2.1122560501 -0.745 -2.052
  100 2.1124510765 -0.787 -2.102
  100 2.1125073433 -0.744 -2.050
  100 2.1125380993 -0.651 -1.936
  100 2.1125633717 -0.555 -1.820
  100 2.1125936508 -0.457 -1.702
  100 2.1126313210 -0.368 -1.591
  100 2.1126809120 -0.278 -1.479
  100 2.1127455235 -0.186 -1.363
  100 2.1128253937 -0.090 -1.246
  100 2.1129209995  0.006 -1.131
  100 2.1130332947  0.097 -1.020
  100 2.1131680012  0.183 -0.918
  100 2.1133437157  0.264 -0.821
  100 2.1136033535  0.345 -0.725
  100 2.1139819622  0.440 -0.614
  100 2.1142833233  0.524 -0.516
  100 2.1145677567  0.599 -0.429
  100 2.1150624752  0.704 -0.307
  100 2.1156377792  0.794 -0.203
  100 2.1164371967  0.882 -0.101
  100 2.1178169250  0.966 -0.001
  100 2.1185936928  0.996  0.035
  100 2.1211814880  0.981  0.018
  100 2.1486649513  0.891 -0.068
  100 2.1500000954  0.886 -0.073
  100 2.1628684998  0.837 -0.120
  100 2.1913714409  0.722 -0.235
  100 2.2000000477  0.684 -0.272
  100 2.2030696869  0.671 -0.286
  100 2.2230806351  0.579 -0.379
  100 2.2435050011  0.483 -0.480
  100 2.2469019890  0.467 -0.497
  100 2.2500000000  0.452 -0.514
  100 2.2528309822  0.438 -0.530
  100 2.2722656727  0.323 -0.664
  100 2.2828998566  0.279 -0.710
  100 2.2878034115  0.194 -0.817
  100 2.2893738747  0.106 -0.927
  100 2.2899940014  0.017 -1.036
  100 2.2902565002 -0.070 -1.145
  100 2.2903802395 -0.164 -1.260
  100 2.2904393673 -0.239 -1.352
  100 2.2904450893 -0.247 -1.362
  100 2.2904958725 -0.263 -1.382
  100 2.2905802727 -0.231 -1.341
  100 2.2909295559 -0.177 -1.275
  100 2.2924604416 -0.244 -1.358
  100 2.2934854031 -0.300 -1.426
  100 2.2943768501 -0.382 -1.528
  100 2.2951459885 -0.469 -1.636
  100 2.2957148552 -0.552 -1.740
  100 2.2961709499 -0.635 -1.844
  100 2.2965486050 -0.734 -1.965
  100 2.2968509197 -0.843 -2.099
  100 2.2970552444 -0.920 -2.192
  100 2.2972638607 -0.987 -2.273
  100 2.2974905968 -1.040 -2.355
  100 2.2977211475 -1.098 -2.441
  100 2.2979481220 -1.172 -2.530
  100 2.2981762886 -1.245 -2.620
  100 2.2984056473 -1.315 -2.713
  100 2.2986299992 -1.381 -2.807
  100 2.2988376617 -1.443 -2.895
  100 2.2989940643 -1.496 -2.974
  100 2.2990834713 -1.538 -3.038
  100 2.2991492748 -1.573 -3.093
  100 2.2992122173 -1.610 -3.150
  100 2.2992699146 -1.658 -3.229
  100 2.2993283272 -1.705 -3.312
  100 2.2993848324 -1.753 -3.397
  100 2.2994506359 -1.802 -3.495
  100 2.2995212078 -1.845 -3.596
  100 2.2995977402 -1.883 -3.692
  100 2.2996768951 -1.898 -3.778
  100 2.2997369766 -1.907 -3.825
  100 2.2997448444 -1.908 -3.827
  100 2.2997529507 -1.908 -3.829
  100 2.2997577190 -1.909 -3.831
  100 2.2997632027 -1.910 -3.837
  100 2.2997698784 -1.912 -3.849
  100 2.2997784615 -1.915 -3.871
  100 2.2997913361 -1.908 -3.967
  100 2.2998068333 -1.908 -3.922
  100 2.2998070717 -1.908 -3.915
  100 2.2998073101 -1.908 -3.909
  100 2.2998077869 -1.910 -3.895
  100 2.2998080254 -1.910 -3.888
  100 2.2998082638 -1.911 -3.880
  100 2.2998085022 -1.909 -3.869
  100 2.2998087406 -1.908 -3.863
  100 2.2998089790 -1.906 -3.854
  100 2.2998092175 -1.905 -3.848
  100 2.2998094559 -1.903 -3.838
  100 2.2998099327 -1.901 -3.828
  100 2.2998101711 -1.899 -3.818
  100 2.2998104095 -1.898 -3.809
  100 2.2998106480 -1.896 -3.802
  100 2.2998108864 -1.895 -3.794
  100 2.2998111248 -1.893 -3.783
  100 2.2998118401 -1.888 -3.759
  100 2.2998130322 -1.883 -3.727
  100 2.2998135090 -1.879 -3.707
  100 2.2998144627 -1.873 -3.673
  100 2.2998223305 -1.862 -3.635
  100 2.2998270988 -1.880 -3.680
  100 2.2998309135 -1.892 -3.744
  100 2.2998349667 -1.906 -3.824
  100 2.2998392582 -1.917 -3.899
  100 2.2998456955 -1.906 -3.979
  100 2.2998530865 -1.895 -4.052
  100 2.2998626232 -1.865 -4.114
  100 2.2998700142 -1.848 -4.144
  100 2.2998707294 -1.848 -4.144
  100 2.2998716831 -1.843 -3.644
  100 2.2998719215 -1.819 -3.581
  100 2.2998738289 -1.590 -3.104
  100 2.2998769283 -1.537 -3.015
  100 2.2998812199 -1.626 -3.169
  100 2.2998867035 -1.785 -3.504
  100 2.2998936176 -1.866 -3.833
  100 2.2999019623 -1.839 -4.051
  100 2.2999117374 -1.784 -4.159
  100 2.2999231815 -1.750 -4.206
  100 2.2999360561 -1.775 -4.241
  100 2.2999362946 -1.831 -3.935
  100 2.2999372482 -1.821 -3.708
  100 2.2999391556 -1.646 -3.238
  100 2.2999422550 -1.598 -3.146
  100 2.2999463081 -1.674 -3.295
  100 2.2999515533 -1.803 -3.619
  100 2.2999584675 -1.826 -3.928
  100 2.2999665737 -1.763 -4.128
  100 2.2999761105 -1.695 -4.221
  100 2.2999873161 -1.653 -4.256
  100 2.2999999523 -1.699 -4.287
  100 2.2999999523 -1.806 -4.009
  100 2.3000001907 -1.827 -3.788
  100 2.3000004292 -1.685 -3.324
  100 2.3000011444 -1.637 -3.227
  100 2.3000018597 -1.709 -3.370
  100 2.3000028133 -1.808 -3.681
  100 2.3000040054 -1.812 -3.978
  100 2.3000056744 -1.735 -4.164
  100 2.3000073433 -1.656 -4.244
  100 2.3000094891 -1.624 -4.272
  100 2.3000118732 -1.684 -4.296
  100 2.3000121117 -1.796 -4.022
  100 2.3000133038 -1.826 -3.805
  100 2.3000156879 -1.696 -3.346
  100 2.3000192642 -1.650 -3.254
  100 2.3000242710 -1.721 -3.401
  100 2.3000309467 -1.811 -3.716
  100 2.3000392914 -1.793 -4.014
  100 2.3000490665 -1.687 -4.197
  100 2.3000609875 -1.589 -4.282
  100 2.3000745773 -1.540 -4.316
