# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:59 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
 1400 0.7751512527  0.499  0.084
 1400 0.7751998305  0.496  0.066
 1400 0.7752487063  0.494  0.045
 1400 0.7752878666  0.493  0.026
 1400 0.7753289342  0.491  0.005
 1400 0.7753798962  0.489 -0.022
 1400 0.7754295468  0.487 -0.050
 1400 0.7754769325  0.486 -0.078
 1400 0.7755238414  0.483 -0.106
 1400 0.7755720615  0.478 -0.135
 1400 0.7756198645  0.472 -0.160
 1400 0.7756669521  0.463 -0.185
 1400 0.7757136226  0.453 -0.209
 1400 0.7757642865  0.437 -0.242
 1400 0.7758117914  0.418 -0.275
 1400 0.7758279443  0.436 -0.234
 1400 0.7758355737  0.443 -0.229
 1400 0.7758824825  0.417 -0.278
 1400 0.7759294510  0.373 -0.345
 1400 0.7759637237  0.314 -0.430
 1400 0.7759825587  0.246 -0.523
 1400 0.7759922147  0.173 -0.618
 1400 0.7759970427  0.098 -0.714
 1400 0.7759996653  0.019 -0.812
 1400 0.7760011554 -0.061 -0.909
 1400 0.7760016918 -0.102 -0.958
 1400 0.7760019302 -0.125 -0.985
 1400 0.7760028243 -0.207 -1.081
 1400 0.7760035992 -0.280 -1.165
 1400 0.7760043740 -0.331 -1.224
 1400 0.7760052085 -0.346 -1.242
 1400 0.7760071158 -0.345 -1.241
 1400 0.7760087848 -0.336 -1.231
 1400 0.7760131955 -0.328 -1.220
 1400 0.7760393620 -0.359 -1.258
 1400 0.7760555148 -0.427 -1.337
 1400 0.7760732174 -0.528 -1.454
 1400 0.7760902643 -0.648 -1.594
 1400 0.7761052847 -0.764 -1.728
 1400 0.7761183977 -0.861 -1.840
 1400 0.7761299610 -0.954 -1.948
 1400 0.7761402130 -1.046 -2.056
 1400 0.7761493325 -1.136 -2.162
 1400 0.7761576176 -1.224 -2.267
 1400 0.7761653066 -1.298 -2.375
 1400 0.7761725187 -1.366 -2.482
 1400 0.7761791348 -1.446 -2.585
 1400 0.7761855125 -1.533 -2.688
 1400 0.7761917114 -1.641 -2.790
 1400 0.7761961818 -1.765 -2.864
 1400 0.7761976123 -1.816 -2.884
 1400 1.1325556040 18.806 15.995
