# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.149999976 1.149 1.189193823 6021.434964 4.345 4.226 3.555 3.128 2.861 2.819
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.158226371 1.157 1.206848194 6039.486294 4.336 4.18 3.515 3.091 2.827 2.786
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.19388032 1.193 1.283667793 6110.827157 4.295 3.988 3.343 2.932 2.68 2.641
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.200000048 1.199 1.297336524 6120.684589 4.288 3.956 3.315 2.906 2.654 2.616
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.25 1.249 1.418249519 6168.790197 4.228 3.722 3.095 2.695 2.452 2.414
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.253696084 1.253 1.42840922 6171.631685 4.224 3.705 3.079 2.679 2.437 2.399
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.282057166 1.282 1.504363005 6185.858765 4.188 3.581 2.959 2.562 2.321 2.284
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.299999952 1.3 1.556512615 6187.283276 4.165 3.505 2.885 2.487 2.247 2.21
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.312577486 1.312 1.59607261 6184.434582 4.147 3.452 2.831 2.433 2.193 2.156
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.342666149 1.342 1.69923187 6168.790197 4.103 3.329 2.705 2.304 2.062 2.024
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.350000024 1.35 1.726047109 6163.111147 4.092 3.3 2.674 2.272 2.029 1.991
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.37983036 1.38 1.839723877 6140.447181 4.045 3.177 2.545 2.139 1.893 1.854
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.399999976 1.4 1.925983867 6116.45803 4.012 3.097 2.459 2.048 1.798 1.758
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.420010447 1.42 2.020936393 6085.552312 3.977 3.019 2.372 1.956 1.702 1.661
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.443422556 1.443 2.140191549 6040.877097 3.934 2.931 2.272 1.848 1.587 1.545
