# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0020000000  0.0020    0.105  60.050  49.680  37.257  34.027  53.596
0.0030000000  0.0030    0.105  55.320  45.630  34.125  32.029  49.186
0.0040000000  0.0040    0.105  50.680  41.760  31.374  30.144  45.126
0.0050000000  0.0050    0.105  46.500  38.300  29.128  28.509  41.686
0.0060000000  0.0060    0.104  42.710  35.180  27.154  27.049  38.646
0.0070000000  0.0070    0.103  39.290  32.370  25.426  25.745  35.936
0.0080000000  0.0080    0.103  36.310  29.930  23.951  24.625  33.626
0.0090000000  0.0090    0.102  33.730  27.820  22.701  23.651  31.616
0.0100000000  0.0100    0.101  33.050  27.060  22.269  23.117  30.466
0.0120000000  0.0120    0.100  31.580  25.460  21.375  22.018  28.136
0.0150000000  0.0150    0.098  30.200  24.000  20.524  21.017  25.986
0.0200000000  0.0200    0.095  29.240  22.660  19.661  19.836  23.286
0.0300000000  0.0300    0.090  28.170  21.170  18.208  18.269  20.016
0.0400000000  0.0400    0.085  27.580  20.400  16.950  17.091  17.966
0.0500000000  0.0500    0.082  27.090  19.820  15.878  16.045  16.356
0.0600000000  0.0600    0.079  26.440  19.200  14.965  15.133  15.126
0.0700000000  0.0700    0.081  24.330  17.600  13.487  13.506  13.416
0.0720000000  0.0720    0.083  23.110  16.750  12.943  12.855  12.776
0.0750000000  0.0750    0.089  21.030  15.340  12.187  11.928  11.756
0.0800000000  0.0800    0.099  19.110  13.890  11.438  11.081  10.796
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.120  16.668  12.478  10.465   9.780   9.480
0.1200000000  0.1200    0.152  15.195  11.614   9.823   9.122   8.793
0.1500000000  0.1500    0.181  14.224  10.965   9.287   8.641   8.296
0.1800000000  0.1800    0.208  13.541  10.469   8.878   8.260   7.916
0.2100000000  0.2100    0.233  12.997  10.067   8.542   7.940   7.601
0.2400000000  0.2400    0.257  12.539   9.727   8.253   7.662   7.330
0.2700000000  0.2700    0.280  12.138   9.431   7.997   7.413   7.090
0.3000000000  0.3000    0.304  11.779   9.163   7.766   7.187   6.872
0.3300000000  0.3300    0.330  11.452   8.917   7.554   6.978   6.672
0.3600000000  0.3600    0.357  11.149   8.685   7.357   6.782   6.485
0.3900000000  0.3900    0.383  10.865   8.465   7.172   6.597   6.309
0.4200000000  0.4200    0.411  10.597   8.256   6.996   6.420   6.142
0.4500000000  0.4500    0.441  10.341   8.057   6.828   6.251   5.982
0.4800000000  0.4800    0.472  10.096   7.867   6.666   6.087   5.827
# logAge= 9.781755374652469 is picked from isochrones/CMD3.3-thin6.dat
0.5500000119  0.5500    0.548   9.137   7.233   6.151   5.550   5.320
0.6000000238  0.6000    0.596   8.477   6.778   5.783   5.162   4.972
0.6499999762  0.6500    0.633   7.792   6.325   5.420   4.807   4.664
0.6911762357  0.6910    0.662   7.236   5.967   5.147   4.583   4.466
0.7000000477  0.7000    0.668   7.125   5.893   5.092   4.542   4.428
0.7004502416  0.7000    0.668   7.120   5.889   5.089   4.540   4.426
0.7263894677  0.7260    0.688   6.804   5.673   4.927   4.426   4.320
0.7500000000  0.7500    0.707   6.540   5.485   4.783   4.319   4.220
0.7554726601  0.7550    0.712   6.484   5.444   4.752   4.294   4.196
0.7870997787  0.7870    0.744   6.172   5.208   4.564   4.148   4.056
0.7990466356  0.7990    0.756   6.059   5.122   4.495   4.093   4.003
0.8135505915  0.8130    0.773   5.924   5.018   4.411   4.025   3.937
