# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.1408057213  1.1390    2.559   3.662   2.650   1.948   1.495   1.396
1.1424727440  1.1400    2.742   3.555   2.531   1.817   1.356   1.255
1.1440981627  1.1420    2.948   3.430   2.396   1.674   1.206   1.105
1.1452363729  1.1430    3.109   3.332   2.294   1.566   1.094   0.992
1.1459797621  1.1440    3.235   3.261   2.218   1.487   1.012   0.910
1.1471370459  1.1450    3.458   3.139   2.089   1.353   0.874   0.772
1.1480209827  1.1460    3.650   3.039   1.984   1.243   0.761   0.658
1.1488473415  1.1470    3.856   2.938   1.877   1.131   0.646   0.542
1.1495662928  1.1480    4.060   2.844   1.777   1.026   0.538   0.433
1.1504305601  1.1480    4.352   2.721   1.646   0.888   0.395   0.290
1.1510326862  1.1490    4.586   2.627   1.545   0.782   0.286   0.180
1.1517300606  1.1500    4.906   2.511   1.420   0.650   0.148   0.041
1.1522498131  1.1500    5.181   2.418   1.319   0.542   0.035  -0.073
1.1528333426  1.1510    5.539   2.305   1.195   0.411  -0.103  -0.212
1.1533709764  1.1510    5.934   2.190   1.069   0.276  -0.244  -0.354
1.1538373232  1.1520    6.342   2.081   0.949   0.146  -0.379  -0.491
1.1542642117  1.1520    6.782   1.972   0.828   0.017  -0.516  -0.629
1.1546595097  1.1520    7.267   1.863   0.707  -0.115  -0.654  -0.769
1.1550039053  1.1520    7.753   1.761   0.591  -0.239  -0.786  -0.903
1.1553343534  1.1530    8.301   1.655   0.472  -0.369  -0.923  -1.041
1.1556344032  1.1530    8.854   1.555   0.358  -0.493  -1.054  -1.175
1.1559289694  1.1530    9.429   1.460   0.250  -0.611  -1.180  -1.302
1.1563127041  1.1530   10.001   1.372   0.149  -0.721  -1.297  -1.421
1.1565459967  1.1530    9.527   1.437   0.227  -0.634  -1.203  -1.326
1.1566971540  1.1540    9.044   1.510   0.314  -0.538  -1.100  -1.220
1.1567301750  1.1540    8.940   1.527   0.333  -0.517  -1.077  -1.197
1.1568182707  1.1540    9.170   1.489   0.289  -0.564  -1.128  -1.249
1.1570593119  1.1540    9.812   1.389   0.175  -0.690  -1.262  -1.385
1.1572942734  1.1540   10.487   1.291   0.059  -0.817  -1.395  -1.520
1.1575099230  1.1540   11.196   1.195  -0.054  -0.941  -1.527  -1.654
1.1577107906  1.1540   11.972   1.101  -0.166  -1.064  -1.659  -1.788
1.1578963995  1.1540   12.792   1.008  -0.279  -1.189  -1.792  -1.923
1.1580631733  1.1540   13.663   0.917  -0.389  -1.311  -1.921  -2.054
1.1582187414  1.1540   14.583   0.827  -0.499  -1.433  -2.052  -2.188
1.1583594084  1.1540   15.565   0.742  -0.606  -1.553  -2.180  -2.318
1.1584912539  1.1540   16.640   0.655  -0.715  -1.675  -2.310  -2.451
1.1586081982  1.1540   17.748   0.571  -0.821  -1.792  -2.436  -2.580
1.1587167978  1.1540   18.930   0.485  -0.924  -1.909  -2.556  -2.705
1.1588150263  1.1540   20.168   0.402  -1.025  -2.024  -2.675  -2.829
1.1589059830  1.1530   21.511   0.318  -1.126  -2.139  -2.794  -2.953
1.1589905024  1.1530   22.954   0.235  -1.227  -2.254  -2.913  -3.078
1.1590651274  1.1530   24.437   0.158  -1.322  -2.364  -3.027  -3.199
1.1591365337  1.1530   26.047   0.077  -1.421  -2.479  -3.145  -3.323
1.1592010260  1.1520   27.743   0.002  -1.516  -2.589  -3.260  -3.445
1.1592595577  1.1520   29.536  -0.070  -1.608  -2.698  -3.373  -3.565
1.1593151093  1.1520   31.460  -0.143  -1.702  -2.809  -3.488  -3.688
1.1593649387  1.1510   33.470  -0.204  -1.795  -2.919  -3.606  -3.811
1.1594114304  1.1510   35.609  -0.259  -1.888  -3.029  -3.725  -3.935
1.1594545841  1.1500   37.901  -0.314  -1.981  -3.141  -3.844  -4.058
1.1594933271  1.1500   40.249  -0.363  -2.070  -3.248  -3.959  -4.179
1.1595293283  1.1490   42.791  -0.404  -2.158  -3.355  -4.074  -4.299
1.1595630646  1.1490   45.463  -0.445  -2.246  -3.463  -4.190  -4.420
1.1595935822  1.1480   48.245  -0.479  -2.329  -3.567  -4.302  -4.538
1.1596219540  1.1470   51.198  -0.499  -2.410  -3.672  -4.414  -4.655
1.1596487761  1.1460   54.332  -0.519  -2.491  -3.776  -4.526  -4.772
1.1596734524  1.1450   57.618  -0.530  -2.568  -3.879  -4.637  -4.888
1.1597015858  1.1440   61.923  -0.520  -2.658  -4.007  -4.772  -5.030
1.1597273350  1.1430   66.551  -0.508  -2.745  -4.132  -4.905  -5.171
1.1597511768  1.1420   71.442  -0.467  -2.823  -4.257  -5.038  -5.310
1.1597728729  1.1400   76.640  -0.421  -2.897  -4.378  -5.167  -5.447
1.1597931385  1.1380   82.121  -0.351  -2.959  -4.500  -5.295  -5.583
1.1598117352  1.1360   87.994  -0.270  -3.015  -4.618  -5.421  -5.717
1.1598292589  1.1340   94.223  -0.172  -3.061  -4.737  -5.546  -5.851
1.1598453522  1.1320  100.845  -0.053  -3.094  -4.854  -5.669  -5.982
1.1598602533  1.1290  107.735   0.084  -3.116  -4.970  -5.789  -6.111
1.1598742008  1.1260  115.095   0.248  -3.114  -5.085  -5.908  -6.239
1.1598868370  1.1240  122.816   0.426  -3.102  -5.194  -6.021  -6.363
1.1598989964  1.1200  131.116   0.657  -3.051  -5.303  -6.136  -6.487
1.1599100828  1.1170  139.655   0.899  -2.993  -5.408  -6.246  -6.608
1.1599209309  1.1120  148.749   1.076  -2.951  -5.515  -6.357  -6.727
1.1599309444  1.1080  158.436   1.273  -2.895  -5.619  -6.466  -6.845
1.1599403620  1.1030  167.940   1.436  -2.836  -5.713  -6.567  -6.954
1.1599451303  1.1000  172.526   1.510  -2.807  -5.758  -6.614  -7.006
# 1.1599451303  1.1000   11.022   0.986  -0.175  -1.007  -1.549  -1.666
1.1600946188  1.1000   11.198   0.965  -0.200  -1.035  -1.579  -1.697
1.1602348089  1.1000   11.247   0.957  -0.209  -1.045  -1.589  -1.707
1.1603776217  1.1010   11.219   0.957  -0.207  -1.042  -1.585  -1.703
1.1605216265  1.1010   11.173   0.960  -0.201  -1.035  -1.576  -1.694
1.1606662273  1.1010   11.108   0.964  -0.195  -1.027  -1.567  -1.685
1.1608093977  1.1010   11.057   0.967  -0.189  -1.019  -1.558  -1.675
1.1609516144  1.1010   10.999   0.970  -0.183  -1.012  -1.549  -1.666
1.1610950232  1.1010   10.954   0.973  -0.178  -1.004  -1.541  -1.657
1.1612373590  1.1020   10.908   0.976  -0.173  -0.998  -1.533  -1.649
1.1613842249  1.1020   10.863   0.978  -0.169  -0.992  -1.526  -1.642
1.1615210772  1.1020   10.836   0.979  -0.165  -0.988  -1.521  -1.637
1.1616706848  1.1020   10.796   0.980  -0.162  -0.983  -1.515  -1.631
1.1618181467  1.1020   10.768   0.981  -0.160  -0.980  -1.511  -1.626
1.1618820429  1.1020   10.764   0.981  -0.159  -0.978  -1.509  -1.625
1.1619615555  1.1020   10.741   0.982  -0.158  -0.977  -1.507  -1.622
1.1620997190  1.1030   10.719   0.982  -0.156  -0.974  -1.504  -1.619
1.1622420549  1.1030   10.709   0.982  -0.155  -0.973  -1.502  -1.617
1.1623761654  1.1030   10.704   0.981  -0.155  -0.972  -1.500  -1.615
1.1625132561  1.1030   10.694   0.980  -0.155  -0.972  -1.500  -1.615
1.1626523733  1.1030   10.694   0.979  -0.156  -0.973  -1.500  -1.615
1.1627874374  1.1030   10.702   0.976  -0.158  -0.974  -1.502  -1.617
1.1629067659  1.1040   10.714   0.974  -0.161  -0.977  -1.505  -1.620
1.1629958153  1.1040   10.731   0.972  -0.164  -0.980  -1.508  -1.623
1.1631299257  1.1040   10.761   0.968  -0.168  -0.985  -1.513  -1.628
1.1632592678  1.1040   10.791   0.963  -0.174  -0.991  -1.519  -1.634
1.1633892059  1.1040   10.838   0.957  -0.181  -0.998  -1.528  -1.643
1.1635195017  1.1040   10.903   0.950  -0.189  -1.008  -1.538  -1.654
1.1636476517  1.1040   10.969   0.942  -0.200  -1.020  -1.551  -1.666
1.1637761593  1.1050   11.052   0.932  -0.211  -1.033  -1.565  -1.681
1.1639075279  1.1050   11.160   0.921  -0.226  -1.049  -1.583  -1.699
1.1640490294  1.1050   11.268   0.908  -0.242  -1.068  -1.604  -1.720
1.1641795635  1.1050   11.404   0.893  -0.261  -1.090  -1.627  -1.744
1.1642360687  1.1050   11.404   0.893  -0.261  -1.090  -1.627  -1.744
1.1643661261  1.1050   11.691   0.863  -0.299  -1.133  -1.674  -1.792
1.1644939184  1.1050   12.220   0.809  -0.368  -1.213  -1.761  -1.881
1.1645827293  1.1060   12.941   0.742  -0.456  -1.313  -1.870  -1.992
1.1646306515  1.1060   13.739   0.671  -0.548  -1.419  -1.986  -2.111
1.1646561623  1.1060   14.556   0.603  -0.637  -1.522  -2.098  -2.225
1.1646713018  1.1060   15.508   0.528  -0.734  -1.634  -2.221  -2.350
1.1646792889  1.1060   16.476   0.458  -0.828  -1.741  -2.338  -2.470
1.1646839380  1.1060   17.477   0.391  -0.917  -1.844  -2.450  -2.585
1.1646867990  1.1060   18.448   0.325  -0.999  -1.939  -2.549  -2.688
1.1646885872  1.1060   19.225   0.277  -1.061  -2.010  -2.624  -2.767
1.1646893024  1.1060   19.591   0.254  -1.090  -2.044  -2.659  -2.803
1.1646915674  1.1060   20.896   0.176  -1.186  -2.156  -2.776  -2.926
1.1646935940  1.1060   21.951   0.117  -1.260  -2.241  -2.866  -3.021
1.1646956205  1.1060   22.712   0.077  -1.311  -2.301  -2.929  -3.086
1.1646977663  1.1060   23.348   0.046  -1.351  -2.347  -2.977  -3.138
1.1647037268  1.1060   22.602   0.082  -1.304  -2.293  -2.920  -3.077
1.1647077799  1.1060   21.951   0.116  -1.261  -2.243  -2.867  -3.022
1.1647169590  1.1060   21.216   0.156  -1.210  -2.183  -2.803  -2.955
1.1647359133  1.1060   20.987   0.169  -1.194  -2.165  -2.785  -2.936
1.1648370028  1.1050   21.123   0.163  -1.202  -2.174  -2.794  -2.946
1.1649031639  1.1050   22.262   0.102  -1.279  -2.264  -2.891  -3.046
1.1649590731  1.1040   23.679   0.030  -1.371  -2.372  -3.003  -3.165
1.1650067568  1.1030   25.267  -0.046  -1.467  -2.484  -3.121  -3.289
1.1650466919  1.1030   26.962  -0.118  -1.560  -2.595  -3.237  -3.413
1.1650804281  1.1020   28.725  -0.189  -1.652  -2.703  -3.351  -3.534
1.1651099920  1.1010   30.602  -0.259  -1.743  -2.812  -3.465  -3.656
1.1651358604  1.1000   32.618  -0.319  -1.836  -2.923  -3.585  -3.781
1.1651592255  1.0990   34.766  -0.378  -1.929  -3.034  -3.706  -3.908
1.1651806831  1.0980   37.073  -0.435  -2.023  -3.147  -3.828  -4.035
