# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0005000000  0.0005    0.105  56.300  46.600  36.588  32.592  51.596
0.0010000000  0.0010    0.109  47.570  38.990  30.922  28.788  43.206
0.0020000000  0.0020    0.112  37.050  30.060  24.532  24.380  33.996
0.0030000000  0.0030    0.113  32.020  25.750  21.622  22.098  29.006
0.0040000000  0.0040    0.114  30.650  24.160  20.668  20.924  26.426
0.0050000000  0.0050    0.113  29.600  22.940  19.920  19.999  24.516
0.0060000000  0.0060    0.113  29.160  22.390  19.409  19.421  23.076
0.0070000000  0.0070    0.112  28.710  21.800  18.919  18.842  21.656
0.0080000000  0.0080    0.111  28.400  21.410  18.496  18.405  20.716
0.0090000000  0.0090    0.110  28.140  21.070  18.076  17.994  19.926
0.0100000000  0.0100    0.110  27.910  20.770  17.683  17.623  19.196
0.0120000000  0.0120    0.110  27.200  19.910  16.318  16.280  16.796
0.0150000000  0.0150    0.107  27.110  19.810  16.142  16.153  16.556
0.0200000000  0.0200    0.104  26.530  19.270  15.291  15.343  15.346
0.0300000000  0.0300    0.101  24.970  17.950  13.875  13.879  13.666
0.0400000000  0.0400    0.100  23.110  16.740  12.896  12.766  12.656
0.0500000000  0.0500    0.101  21.310  15.530  12.197  11.958  11.766
0.0600000000  0.0600    0.102  19.990  14.500  11.684  11.370  11.106
0.0700000000  0.0700    0.106  18.840  13.680  11.269  10.911  10.606
0.0720000000  0.0720    0.107  18.600  13.540  11.189  10.821  10.516
0.0750000000  0.0750    0.108  18.250  13.330  11.080  10.701  10.396
0.0800000000  0.0800    0.111  17.650  13.000  10.891  10.501  10.196
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.133  16.668  12.478  10.465   9.780   9.480
0.1200000000  0.1200    0.159  15.195  11.614   9.823   9.122   8.793
0.1500000000  0.1500    0.184  14.224  10.965   9.287   8.641   8.296
0.1800000000  0.1800    0.210  13.541  10.469   8.878   8.260   7.916
0.2100000000  0.2100    0.234  12.997  10.067   8.542   7.940   7.601
0.2400000000  0.2400    0.257  12.539   9.727   8.253   7.662   7.330
0.2700000000  0.2700    0.278  12.138   9.431   7.997   7.413   7.090
0.3000000000  0.3000    0.300  11.779   9.163   7.766   7.187   6.872
0.3300000000  0.3300    0.324  11.452   8.917   7.554   6.978   6.672
0.3600000000  0.3600    0.347  11.149   8.685   7.357   6.782   6.485
0.3900000000  0.3900    0.374  10.865   8.465   7.172   6.597   6.309
0.4200000000  0.4200    0.402  10.597   8.256   6.996   6.420   6.142
0.4500000000  0.4500    0.432  10.341   8.057   6.828   6.251   5.982
0.4800000000  0.4800    0.463  10.096   7.867   6.666   6.087   5.827
# logAge= 8.778151250383644 is picked from isochrones/CMD3.3-thin2.dat
0.5500000119  0.5500    0.532   9.407   7.400   6.273   5.671   5.435
0.6000000238  0.6000    0.575   8.765   6.966   5.932   5.313   5.108
0.6499999762  0.6500    0.614   8.143   6.546   5.594   4.969   4.805
0.7000000477  0.7000    0.648   7.526   6.147   5.281   4.686   4.557
0.7017906308  0.7020    0.649   7.505   6.132   5.269   4.676   4.549
0.7382202744  0.7380    0.666   7.065   5.851   5.065   4.530   4.419
0.7500000000  0.7500    0.672   6.933   5.764   5.004   4.490   4.382
0.8000000119  0.8000    0.711   6.478   5.434   4.745   4.292   4.193
0.8500000238  0.8500    0.752   6.071   5.128   4.502   4.102   4.012
0.8999999762  0.8990    0.796   5.707   4.843   4.273   3.919   3.835
0.9499999881  0.9500    0.844   5.375   4.582   4.059   3.742   3.665
1.0000000000  1.0000    0.897   5.069   4.335   3.852   3.564   3.495
1.0499999523  1.0500    0.954   4.784   4.103   3.654   3.393   3.329
1.0875110626  1.0870    1.001   4.582   3.936   3.510   3.265   3.206
1.1000000238  1.0990    1.017   4.517   3.882   3.462   3.223   3.165
1.1499999762  1.1490    1.082   4.265   3.670   3.276   3.057   3.003
1.2000000477  1.1990    1.151   4.025   3.467   3.096   2.897   2.846
1.2500000000  1.2500    1.220   3.798   3.275   2.927   2.744   2.697
1.2801139355  1.2800    1.262   3.667   3.164   2.828   2.657   2.611
1.2999999523  1.3000    1.289   3.583   3.092   2.765   2.600   2.555
1.3499999046  1.3500    1.354   3.377   2.919   2.614   2.467   2.424
1.3999999762  1.4000    1.414   3.182   2.760   2.477   2.348   2.305
1.4500000477  1.4500    1.463   2.996   2.613   2.354   2.245   2.204
1.5000000000  1.5000    1.500   2.815   2.478   2.246   2.158   2.118
1.5124424696  1.5120    1.508   2.772   2.446   2.221   2.139   2.100
1.5500000715  1.5500    1.531   2.644   2.353   2.147   2.081   2.042
1.5618999004  1.5620    1.540   2.604   2.324   2.124   2.063   2.025
1.6000000238  1.6000    1.567   2.481   2.234   2.051   2.004   1.966
1.6187279224  1.6180    1.581   2.423   2.190   2.015   1.974   1.937
1.6500000954  1.6490    1.610   2.328   2.118   1.955   1.923   1.886
1.6708703041  1.6700    1.629   2.267   2.071   1.915   1.888   1.851
1.7000000477  1.6990    1.656   2.183   2.006   1.858   1.839   1.802
1.7185693979  1.7180    1.675   2.130   1.964   1.822   1.807   1.771
1.7500000000  1.7490    1.708   2.044   1.895   1.761   1.752   1.716
1.7853999138  1.7840    1.750   1.948   1.817   1.693   1.690   1.654
1.7999999523  1.7990    1.766   1.909   1.786   1.665   1.664   1.628
1.8327790499  1.8320    1.806   1.824   1.715   1.601   1.605   1.570
1.8499999046  1.8490    1.826   1.779   1.677   1.567   1.574   1.539
1.8840939999  1.8830    1.872   1.692   1.603   1.499   1.510   1.476
1.8999999762  1.8990    1.896   1.651   1.568   1.467   1.480   1.445
1.9101647139  1.9090    1.910   1.626   1.546   1.446   1.461   1.426
1.9500000477  1.9500    1.971   1.524   1.457   1.364   1.382   1.348
1.9706997871  1.9710    2.004   1.473   1.410   1.320   1.340   1.307
2.0000000000  2.0000    2.055   1.399   1.343   1.256   1.279   1.246
2.0256433487  2.0260    2.102   1.335   1.284   1.201   1.225   1.192
2.0499999523  2.0500    2.151   1.274   1.228   1.147   1.172   1.140
2.0922157764  2.0910    2.238   1.168   1.129   1.052   1.079   1.047
2.0999999046  2.0990    2.253   1.148   1.110   1.034   1.061   1.029
2.1225295067  2.1210    2.305   1.092   1.056   0.982   1.010   0.978
2.1500000954  2.1490    2.377   1.021   0.987   0.914   0.942   0.911
2.1617739201  2.1600    2.407   0.990   0.957   0.884   0.913   0.882
2.2000000477  2.1990    2.525   0.887   0.856   0.783   0.812   0.781
2.2214567661  2.2200    2.594   0.829   0.798   0.725   0.754   0.722
2.2500000000  2.2490    2.695   0.750   0.718   0.643   0.672   0.641
2.2587459087  2.2570    2.726   0.726   0.693   0.619   0.647   0.616
2.2953100204  2.2940    2.878   0.622   0.586   0.508   0.535   0.504
2.2999999523  2.2990    2.900   0.608   0.571   0.493   0.519   0.488
2.3319942951  2.3310    3.068   0.512   0.468   0.383   0.409   0.376
2.3700511456  2.3690    3.301   0.395   0.339   0.246   0.267   0.233
2.4000000954  2.3990    3.523   0.302   0.232   0.128   0.143   0.108
2.4231834412  2.4220    3.721   0.229   0.144   0.031   0.041   0.004
2.4456844330  2.4450    3.948   0.159   0.055  -0.070  -0.067  -0.105
2.4695148468  2.4690    4.219   0.087  -0.042  -0.184  -0.190  -0.229
2.4875855446  2.4870    4.468   0.031  -0.122  -0.277  -0.292  -0.332
2.5047957897  2.5040    4.719  -0.025  -0.201  -0.370  -0.393  -0.434
2.5180652142  2.5180    4.894  -0.074  -0.261  -0.436  -0.464  -0.505
2.5258114338  2.5250    4.870  -0.126  -0.288  -0.450  -0.469  -0.510
2.5295522213  2.5290    4.777  -0.164  -0.296  -0.442  -0.449  -0.489
2.5310213566  2.5310    4.666  -0.191  -0.295  -0.424  -0.422  -0.460
2.5318737030  2.5320    4.542  -0.217  -0.293  -0.405  -0.393  -0.429
2.5323383808  2.5320    4.443  -0.238  -0.293  -0.390  -0.370  -0.404
2.5326337814  2.5320    4.358  -0.261  -0.296  -0.379  -0.353  -0.385
2.5328459740  2.5330    4.287  -0.283  -0.302  -0.372  -0.341  -0.371
2.5330057144  2.5330    4.227  -0.292  -0.302  -0.363  -0.329  -0.356
2.5330595970  2.5330    4.216  -0.264  -0.279  -0.345  -0.312  -0.341
2.5331280231  2.5330    4.224  -0.226  -0.253  -0.328  -0.299  -0.330
2.5331954956  2.5330    4.297  -0.203  -0.246  -0.336  -0.311  -0.344
2.5332810879  2.5330    4.479  -0.209  -0.278  -0.384  -0.369  -0.405
2.5333788395  2.5330    4.739  -0.242  -0.340  -0.466  -0.462  -0.500
2.5334932804  2.5330    5.053  -0.283  -0.416  -0.563  -0.570  -0.610
2.5336215496  2.5330    5.387  -0.314  -0.485  -0.654  -0.676  -0.717
2.5337615013  2.5330    5.714  -0.331  -0.545  -0.736  -0.774  -0.817
2.5339109898  2.5340    6.033  -0.336  -0.594  -0.809  -0.865  -0.909
2.5340683460  2.5340    6.369  -0.331  -0.636  -0.875  -0.950  -0.997
2.5342307091  2.5340    6.704  -0.317  -0.669  -0.934  -1.031  -1.079
2.5343956947  2.5340    7.045  -0.297  -0.696  -0.989  -1.107  -1.157
2.5345602036  2.5340    7.387  -0.272  -0.717  -1.038  -1.179  -1.231
2.5347225666  2.5340    7.726  -0.242  -0.732  -1.081  -1.245  -1.299
2.5348842144  2.5350    8.064  -0.208  -0.744  -1.119  -1.305  -1.364
2.5350539684  2.5350    8.380  -0.166  -0.748  -1.152  -1.360  -1.422
2.5352406502  2.5350    8.683  -0.115  -0.741  -1.174  -1.407  -1.472
2.5354728699  2.5350    8.955  -0.040  -0.717  -1.183  -1.443  -1.512
2.5356767178  2.5350    9.107   0.033  -0.680  -1.170  -1.452  -1.524
2.5358948708  2.5360    9.170   0.125  -0.623  -1.139  -1.442  -1.517
2.5361046791  2.5360    9.168   0.224  -0.556  -1.096  -1.419  -1.496
2.5362930298  2.5360    9.140   0.317  -0.490  -1.050  -1.391  -1.470
2.5365388393  2.5360    9.107   0.433  -0.406  -0.993  -1.355  -1.436
2.5368492603  2.5370    9.187   0.547  -0.333  -0.952  -1.341  -1.425
2.5369431973  2.5370    9.257   0.571  -0.322  -0.951  -1.347  -1.432
2.5372457504  2.5370    9.807   0.562  -0.366  -1.024  -1.443  -1.531
2.5375478268  2.5370   10.570   0.496  -0.462  -1.145  -1.582  -1.673
2.5377893448  2.5370   11.266   0.426  -0.553  -1.252  -1.702  -1.796
2.5380911827  2.5380   12.110   0.337  -0.663  -1.379  -1.842  -1.938
2.5383927822  2.5380   12.961   0.251  -0.768  -1.500  -1.974  -2.073
2.5386941433  2.5380   13.844   0.165  -0.871  -1.617  -2.102  -2.203
2.5389349461  2.5390   14.583   0.094  -0.955  -1.712  -2.205  -2.308
2.5391755104  2.5390   15.387   0.024  -1.040  -1.808  -2.309  -2.413
2.5392358303  2.5390   15.598   0.006  -1.062  -1.832  -2.335  -2.440
2.5392982960  2.5390   15.811  -0.012  -1.085  -1.858  -2.362  -2.468
2.5396103859  2.5390   16.949  -0.106  -1.197  -1.984  -2.499  -2.606
2.5396735668  2.5390   17.173  -0.125  -1.220  -2.009  -2.526  -2.634
2.5399260521  2.5400   18.145  -0.202  -1.311  -2.112  -2.635  -2.744
2.5401785374  2.5400   19.171  -0.277  -1.402  -2.213  -2.744  -2.855
2.5404303074  2.5400   20.256  -0.353  -1.494  -2.315  -2.854  -2.966
2.5406770706  2.5400   21.427  -0.429  -1.585  -2.417  -2.963  -3.077
2.5409200191  2.5410   22.649  -0.504  -1.676  -2.519  -3.073  -3.189
2.5411565304  2.5410   23.931  -0.577  -1.766  -2.620  -3.182  -3.299
2.5413868427  2.5410   25.285  -0.649  -1.855  -2.720  -3.290  -3.409
2.5416152477  2.5410   26.740  -0.722  -1.944  -2.821  -3.398  -3.520
2.5418338776  2.5420   28.220  -0.793  -2.030  -2.919  -3.499  -3.625
2.5420796871  2.5420   30.023  -0.873  -2.126  -3.029  -3.614  -3.745
2.5423238277  2.5420   31.993  -0.954  -2.224  -3.140  -3.730  -3.866
2.5425372124  2.5420   33.834  -1.025  -2.309  -3.237  -3.832  -3.972
2.5427801609  2.5430   35.839  -1.097  -2.397  -3.339  -3.938  -4.084
2.5429129601  2.5430   36.843  -1.131  -2.438  -3.387  -3.989  -4.137
2.5431845188  2.5430   34.503  -1.051  -2.341  -3.274  -3.870  -4.012
2.5434739590  2.5430   32.244  -0.967  -2.238  -3.155  -3.746  -3.882
2.5438065529  2.5440   30.259  -0.887  -2.140  -3.043  -3.628  -3.759
2.5441989899  2.5440   28.324  -0.804  -2.039  -2.928  -3.507  -3.633
2.5446553230  2.5440   26.379  -0.713  -1.929  -2.801  -3.375  -3.496
2.5450892448  2.5450   24.584  -0.624  -1.816  -2.674  -3.237  -3.355
2.5454311371  2.5450   23.145  -0.548  -1.721  -2.566  -3.120  -3.236
2.5457623005  2.5460   21.815  -0.471  -1.626  -2.458  -3.004  -3.118
2.5460939407  2.5460   20.571  -0.394  -1.532  -2.352  -2.888  -3.001
2.5464386940  2.5460   19.398  -0.316  -1.437  -2.245  -2.773  -2.883
2.5468049049  2.5470   18.304  -0.239  -1.342  -2.137  -2.658  -2.766
2.5471985340  2.5470   17.280  -0.161  -1.249  -2.033  -2.545  -2.651
2.5476369858  2.5470   16.321  -0.084  -1.156  -1.928  -2.432  -2.537
2.5481331348  2.5480   15.426  -0.009  -1.064  -1.826  -2.321  -2.425
2.5487179756  2.5480   14.587   0.067  -0.974  -1.724  -2.212  -2.314
2.5495154858  2.5490   13.720   0.150  -0.876  -1.613  -2.092  -2.191
2.5506994724  2.5500   12.810   0.239  -0.768  -1.491  -1.958  -2.055
2.5524871349  2.5520   11.947   0.326  -0.661  -1.367  -1.823  -1.918
2.5559911728  2.5560   11.191   0.392  -0.572  -1.260  -1.700  -1.792
2.5569434166  2.5570   11.093   0.400  -0.560  -1.244  -1.682  -1.774
2.5764932632  2.5760   11.472   0.331  -0.630  -1.316  -1.754  -1.846
2.5999999046  2.6000   11.936   0.245  -0.716  -1.402  -1.840  -1.932
2.6196353436  2.6200   12.361   0.169  -0.792  -1.479  -1.917  -2.010
2.6528196335  2.6530   13.224   0.036  -0.929  -1.619  -2.059  -2.152
2.6826834679  2.6830   14.124  -0.082  -1.054  -1.751  -2.196  -2.290
2.6880586147  2.6880   14.314  -0.103  -1.077  -1.775  -2.221  -2.315
2.7048897743  2.7050   15.047  -0.168  -1.156  -1.865  -2.320  -2.416
2.7205605507  2.7210   16.190  -0.247  -1.260  -1.990  -2.460  -2.558
2.7251164913  2.7250   17.024  -0.297  -1.329  -2.073  -2.554  -2.654
2.7264883518  2.7270   18.224  -0.369  -1.425  -2.188  -2.682  -2.785
2.7269539833  2.7270   19.456  -0.444  -1.523  -2.302  -2.808  -2.913
2.7271745205  2.7270   20.718  -0.520  -1.620  -2.413  -2.930  -3.038
2.7272639275  2.7280   21.725  -0.577  -1.692  -2.497  -3.021  -3.131
2.7272734642  2.7280   21.865  -0.584  -1.702  -2.508  -3.033  -3.143
2.7273221016  2.7280   22.869  -0.640  -1.772  -2.588  -3.120  -3.232
2.7273795605  2.7280   24.113  -0.707  -1.856  -2.684  -3.224  -3.338
2.7275085449  2.7280   25.238  -0.767  -1.929  -2.766  -3.314  -3.429
2.7277507782  2.7280   24.618  -0.734  -1.889  -2.721  -3.264  -3.378
2.7294385433  2.7300   23.332  -0.667  -1.805  -2.625  -3.160  -3.273
2.7308871746  2.7310   24.777  -0.742  -1.899  -2.732  -3.277  -3.392
2.7319331169  2.7320   26.641  -0.832  -2.013  -2.863  -3.419  -3.536
2.7328152657  2.7330   28.566  -0.918  -2.121  -2.986  -3.551  -3.672
2.7335650921  2.7340   30.553  -1.003  -2.223  -3.103  -3.674  -3.800
2.7342250347  2.7340   32.859  -1.072  -2.321  -3.223  -3.804  -3.937
2.7348093987  2.7350   35.372  -1.143  -2.418  -3.342  -3.933  -4.072
2.7353262901  2.7350   37.727  -1.223  -2.517  -3.457  -4.052  -4.198
2.7357778549  2.7360   40.463  -1.292  -2.611  -3.571  -4.177  -4.330
2.7361755371  2.7360   43.138  -1.369  -2.705  -3.681  -4.293  -4.451
2.7365350723  2.7360   45.915  -1.446  -2.799  -3.791  -4.407  -4.573
2.7368645668  2.7360   48.950  -1.522  -2.893  -3.900  -4.523  -4.695
2.7371697426  2.7360   52.150  -1.591  -2.989  -4.013  -4.645  -4.821
2.7374522686  2.7360   55.623  -1.658  -3.085  -4.126  -4.767  -4.949
2.7377150059  2.7360   59.327  -1.725  -3.182  -4.239  -4.890  -5.076
2.7379598618  2.7370   63.307  -1.788  -3.278  -4.353  -5.014  -5.205
2.7381908894  2.7370   67.664  -1.851  -3.375  -4.468  -5.139  -5.336
2.7384109497  2.7360   72.353  -1.913  -3.472  -4.585  -5.267  -5.469
2.7386243343  2.7360   77.527  -1.967  -3.571  -4.705  -5.397  -5.605
2.7388360500  2.7360   83.302  -2.023  -3.672  -4.828  -5.530  -5.745
2.7390530109  2.7360   89.692  -2.073  -3.776  -4.956  -5.670  -5.891
2.7392826080  2.7350   96.773  -2.117  -3.882  -5.088  -5.813  -6.042
2.7395050526  2.7340  103.551  -2.147  -3.972  -5.203  -5.938  -6.173
2.7395958900  2.7340  107.116  -2.155  -4.017  -5.262  -6.001  -6.240
2.7396631241  2.7340  110.269  -2.162  -4.055  -5.313  -6.056  -6.297
2.7397260666  2.7330  114.197  -2.171  -4.102  -5.373  -6.121  -6.366
2.7397880554  2.7330  119.469  -2.182  -4.160  -5.450  -6.204  -6.454
2.7398478985  2.7330  126.315  -2.174  -4.229  -5.548  -6.309  -6.564
2.7399134636  2.7320  134.851  -2.160  -4.308  -5.660  -6.430  -6.692
2.7399854660  2.7320  144.562  -2.128  -4.385  -5.778  -6.557  -6.826
