# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0005000000  0.0005    0.102  60.750  50.500  39.275  34.533  55.846
0.0010000000  0.0010    0.106  54.150  44.690  34.782  31.619  49.146
0.0020000000  0.0020    0.109  44.390  36.340  28.625  27.479  40.286
0.0030000000  0.0030    0.111  37.640  30.730  24.737  24.746  34.486
0.0040000000  0.0040    0.111  32.620  26.600  22.018  22.723  30.226
0.0050000000  0.0050    0.110  31.580  25.360  21.305  21.820  28.256
0.0060000000  0.0060    0.110  30.530  24.120  20.619  20.936  26.366
0.0070000000  0.0070    0.109  29.770  23.260  20.114  20.314  25.016
0.0080000000  0.0080    0.108  29.370  22.730  19.678  19.793  23.746
0.0090000000  0.0090    0.107  29.060  22.330  19.370  19.407  22.826
0.0100000000  0.0100    0.107  28.740  21.890  19.043  19.000  21.876
0.0120000000  0.0120    0.106  28.090  21.010  18.017  17.986  19.836
0.0150000000  0.0150    0.103  27.860  20.720  17.587  17.587  19.026
0.0200000000  0.0200    0.100  27.310  20.050  16.488  16.537  17.166
0.0300000000  0.0300    0.096  26.400  19.150  15.061  15.165  15.116
0.0400000000  0.0400    0.093  25.190  18.130  14.011  14.048  13.876
0.0500000000  0.0500    0.092  23.730  17.150  13.183  13.126  13.016
0.0600000000  0.0600    0.092  22.130  16.100  12.539  12.366  12.246
0.0700000000  0.0700    0.094  20.440  14.870  11.921  11.629  11.406
0.0720000000  0.0720    0.095  20.120  14.610  11.793  11.489  11.246
0.0750000000  0.0750    0.098  19.590  14.210  11.595  11.260  10.996
0.0800000000  0.0800    0.102  18.670  13.610  11.258  10.901  10.606
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.122  16.668  12.478  10.465   9.780   9.480
