# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0020000000  0.0020    0.105  60.050  49.680  37.257  34.027  53.596
0.0030000000  0.0030    0.105  55.320  45.630  34.125  32.029  49.186
0.0040000000  0.0040    0.105  50.680  41.760  31.374  30.144  45.126
0.0050000000  0.0050    0.105  46.500  38.300  29.128  28.509  41.686
0.0060000000  0.0060    0.104  42.710  35.180  27.154  27.049  38.646
0.0070000000  0.0070    0.103  39.290  32.370  25.426  25.745  35.936
0.0080000000  0.0080    0.103  36.310  29.930  23.951  24.625  33.626
0.0090000000  0.0090    0.102  33.730  27.820  22.701  23.651  31.616
0.0100000000  0.0100    0.101  33.050  27.060  22.269  23.117  30.466
0.0120000000  0.0120    0.100  31.580  25.460  21.375  22.018  28.136
0.0150000000  0.0150    0.098  30.200  24.000  20.524  21.017  25.986
0.0200000000  0.0200    0.095  29.240  22.660  19.661  19.836  23.286
0.0300000000  0.0300    0.090  28.170  21.170  18.208  18.269  20.016
0.0400000000  0.0400    0.085  27.580  20.400  16.950  17.091  17.966
0.0500000000  0.0500    0.082  27.090  19.820  15.878  16.045  16.356
0.0600000000  0.0600    0.079  26.440  19.200  14.965  15.133  15.126
0.0700000000  0.0700    0.081  24.330  17.600  13.487  13.506  13.416
0.0720000000  0.0720    0.083  23.110  16.750  12.943  12.855  12.776
0.0750000000  0.0750    0.089  21.030  15.340  12.187  11.928  11.756
0.0800000000  0.0800    0.099  19.110  13.890  11.438  11.081  10.796
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.121  16.668  12.478  10.465   9.780   9.480
0.1200000000  0.1200    0.153  15.195  11.614   9.823   9.122   8.793
0.1500000000  0.1500    0.182  14.224  10.965   9.287   8.641   8.296
0.1800000000  0.1800    0.208  13.541  10.469   8.878   8.260   7.916
0.2100000000  0.2100    0.233  12.997  10.067   8.542   7.940   7.601
0.2400000000  0.2400    0.257  12.539   9.727   8.253   7.662   7.330
0.2700000000  0.2700    0.279  12.138   9.431   7.997   7.413   7.090
0.3000000000  0.3000    0.302  11.779   9.163   7.766   7.187   6.872
0.3300000000  0.3300    0.330  11.452   8.917   7.554   6.978   6.672
0.3600000000  0.3600    0.357  11.149   8.685   7.357   6.782   6.485
0.3900000000  0.3900    0.382  10.865   8.465   7.172   6.597   6.309
0.4200000000  0.4200    0.409  10.597   8.256   6.996   6.420   6.142
0.4500000000  0.4500    0.439  10.341   8.057   6.828   6.251   5.982
0.4800000000  0.4800    0.471  10.096   7.867   6.666   6.087   5.827
# logAge= 9.607455023214669 is picked from isochrones/CMD3.3-thin5.dat
0.5500000119  0.5500    0.544   9.267   7.307   6.201   5.599   5.365
0.6000000238  0.6000    0.591   8.613   6.861   5.844   5.222   5.023
0.6499999762  0.6500    0.628   7.950   6.417   5.489   4.869   4.715
0.6935443282  0.6940    0.657   7.377   6.051   5.206   4.625   4.502
0.7000000477  0.7000    0.662   7.295   5.998   5.168   4.595   4.476
0.7181571722  0.7180    0.673   7.071   5.850   5.057   4.514   4.402
0.7500000000  0.7500    0.694   6.705   5.600   4.872   4.385   4.282
0.7620764375  0.7620    0.705   6.585   5.512   4.802   4.331   4.230
0.7996139526  0.7990    0.739   6.231   5.249   4.595   4.171   4.077
0.8094190359  0.8090    0.749   6.142   5.181   4.541   4.129   4.036
0.8488579988  0.8480    0.789   5.806   4.920   4.331   3.960   3.874
0.8492279053  0.8490    0.789   5.803   4.918   4.329   3.958   3.873
