# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0510058403  1.0490    2.882   3.463   2.450   1.738   1.272   1.175
1.0519090891  1.0500    3.045   3.361   2.343   1.627   1.156   1.059
1.0529209375  1.0510    3.254   3.237   2.213   1.492   1.018   0.919
1.0536925793  1.0520    3.438   3.134   2.104   1.379   0.902   0.803
1.0544130802  1.0520    3.635   3.030   1.995   1.265   0.785   0.686
1.0550392866  1.0530    3.836   2.932   1.891   1.158   0.674   0.574
1.0557913780  1.0540    4.112   2.805   1.757   1.017   0.529   0.429
1.0563148260  1.0540    4.337   2.710   1.655   0.911   0.419   0.318
1.0569205284  1.0550    4.637   2.590   1.527   0.775   0.279   0.177
1.0573716164  1.0550    4.901   2.492   1.422   0.664   0.164   0.061
1.0578775406  1.0560    5.251   2.375   1.295   0.529   0.022  -0.082
1.0583435297  1.0560    5.636   2.256   1.164   0.391  -0.123  -0.228
1.0587474108  1.0560    6.031   2.142   1.040   0.258  -0.262  -0.368
1.0591168404  1.0570    6.463   2.028   0.915   0.123  -0.403  -0.510
1.0594588518  1.0570    6.938   1.914   0.788  -0.013  -0.547  -0.656
1.0597566366  1.0570    7.423   1.806   0.668  -0.143  -0.683  -0.794
1.0600421429  1.0570    7.963   1.695   0.544  -0.277  -0.825  -0.938
1.0603014231  1.0570    8.526   1.589   0.424  -0.407  -0.962  -1.077
1.0605558157  1.0580    9.090   1.488   0.310  -0.531  -1.094  -1.210
1.0608870983  1.0580    9.680   1.393   0.202  -0.648  -1.218  -1.336
1.0610882044  1.0580    9.261   1.452   0.273  -0.569  -1.133  -1.249
1.0612225533  1.0580    8.715   1.539   0.375  -0.456  -1.011  -1.125
1.0612339973  1.0580    8.677   1.545   0.382  -0.449  -1.003  -1.117
1.0614233017  1.0580    9.255   1.447   0.270  -0.570  -1.133  -1.249
1.0616178513  1.0580    9.903   1.346   0.154  -0.697  -1.268  -1.386
1.0618038177  1.0580   10.601   1.246   0.037  -0.826  -1.405  -1.524
1.0619708300  1.0580   11.318   1.149  -0.077  -0.951  -1.536  -1.658
1.0621294975  1.0580   12.121   1.053  -0.192  -1.078  -1.672  -1.795
1.0622689724  1.0580   12.947   0.961  -0.303  -1.200  -1.802  -1.928
1.0624001026  1.0580   13.834   0.868  -0.415  -1.325  -1.935  -2.063
1.0625183582  1.0580   14.776   0.777  -0.525  -1.447  -2.066  -2.195
1.0626266003  1.0580   15.771   0.691  -0.633  -1.567  -2.195  -2.327
1.0627281666  1.0570   16.860   0.603  -0.743  -1.690  -2.327  -2.461
1.0628180504  1.0570   17.983   0.515  -0.847  -1.807  -2.448  -2.587
1.0629003048  1.0570   19.180   0.429  -0.949  -1.922  -2.567  -2.711
1.0629776716  1.0570   20.481   0.342  -1.053  -2.040  -2.689  -2.839
1.0630460978  1.0560   21.830   0.258  -1.153  -2.154  -2.808  -2.962
1.0631108284  1.0560   23.295   0.173  -1.254  -2.270  -2.928  -3.088
1.0631673336  1.0560   24.777   0.095  -1.349  -2.378  -3.041  -3.208
1.0632213354  1.0550   26.421   0.015  -1.446  -2.492  -3.158  -3.331
1.0632709265  1.0550   28.161  -0.064  -1.542  -2.603  -3.274  -3.454
1.0633155107  1.0540   29.947  -0.136  -1.634  -2.711  -3.387  -3.574
1.0633573532  1.0540   31.897  -0.203  -1.730  -2.823  -3.507  -3.699
1.0633955002  1.0530   33.936  -0.267  -1.824  -2.933  -3.625  -3.822
1.0634303093  1.0530   36.062  -0.322  -1.915  -3.041  -3.742  -3.944
1.0634630919  1.0520   38.384  -0.378  -2.008  -3.152  -3.861  -4.067
1.0634926558  1.0510   40.724  -0.432  -2.097  -3.258  -3.975  -4.187
1.0635194778  1.0500   43.247  -0.474  -2.183  -3.362  -4.088  -4.304
1.0635451078  1.0490   45.947  -0.516  -2.270  -3.469  -4.203  -4.425
1.0635682344  1.0490   48.714  -0.558  -2.354  -3.572  -4.313  -4.540
1.0635894537  1.0480   51.613  -0.582  -2.434  -3.674  -4.423  -4.655
1.0636096001  1.0460   54.734  -0.602  -2.514  -3.777  -4.534  -4.771
1.0636284351  1.0450   58.017  -0.620  -2.593  -3.879  -4.643  -4.886
1.0636497736  1.0440   62.324  -0.617  -2.683  -4.004  -4.776  -5.026
1.0636692047  1.0420   66.766  -0.613  -2.770  -4.125  -4.906  -5.162
1.0636868477  1.0400   71.525  -0.590  -2.850  -4.245  -5.033  -5.296
1.0637034178  1.0380   76.569  -0.554  -2.927  -4.363  -5.159  -5.430
1.0637185574  1.0360   81.876  -0.506  -2.996  -4.479  -5.283  -5.562
1.0637326241  1.0330   87.489  -0.432  -3.054  -4.596  -5.406  -5.692
1.0637457371  1.0310   93.639  -0.354  -3.111  -4.710  -5.528  -5.821
1.0637577772  1.0280   99.944  -0.242  -3.148  -4.824  -5.646  -5.948
1.0637691021  1.0240  106.550  -0.126  -3.184  -4.936  -5.763  -6.073
1.0637794733  1.0210  113.594   0.020  -3.195  -5.045  -5.877  -6.196
1.0637891293  1.0170  120.880   0.180  -3.195  -5.153  -5.988  -6.316
1.0637980700  1.0130  128.575   0.370  -3.174  -5.257  -6.097  -6.435
1.0638066530  1.0080  136.664   0.591  -3.131  -5.362  -6.205  -6.553
