# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0373744965  1.0350    3.024   3.293   2.309   1.614   1.156   1.061
1.0381916761  1.0360    3.182   3.196   2.208   1.508   1.047   0.952
1.0389815569  1.0370    3.362   3.096   2.102   1.398   0.933   0.838
1.0397170782  1.0380    3.549   2.995   1.996   1.287   0.820   0.724
1.0403628349  1.0380    3.741   2.899   1.895   1.181   0.710   0.614
1.0409785509  1.0390    3.943   2.801   1.792   1.074   0.600   0.504
1.0415574312  1.0390    4.163   2.702   1.687   0.964   0.486   0.390
1.0417180061  1.0400    4.229   2.674   1.657   0.933   0.454   0.357
1.0418711901  1.0400    4.291   2.647   1.629   0.903   0.423   0.326
1.0423585176  1.0400    4.520   2.555   1.529   0.799   0.315   0.217
1.0428307056  1.0410    4.777   2.457   1.425   0.689   0.201   0.103
1.0433715582  1.0410    5.116   2.337   1.295   0.552   0.058  -0.041
1.0438513756  1.0410    5.478   2.219   1.168   0.416  -0.083  -0.183
1.0442763567  1.0420    5.859   2.105   1.044   0.285  -0.221  -0.322
1.0446698666  1.0420    6.287   1.990   0.918   0.150  -0.363  -0.466
1.0450146198  1.0420    6.720   1.879   0.797   0.020  -0.500  -0.604
1.0453286171  1.0430    7.189   1.770   0.676  -0.111  -0.637  -0.742
1.0456147194  1.0430    7.678   1.662   0.556  -0.239  -0.773  -0.879
1.0458769798  1.0430    8.208   1.557   0.439  -0.366  -0.907  -1.015
1.0461207628  1.0430    8.775   1.454   0.323  -0.491  -1.040  -1.149
1.0463508368  1.0430    9.344   1.356   0.213  -0.612  -1.168  -1.279
