# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.8493154645  0.8460    3.846   2.545   1.663   1.026   0.615   0.522
0.8496800065  0.8470    4.060   2.444   1.558   0.916   0.501   0.408
0.8500007987  0.8470    4.277   2.348   1.457   0.811   0.391   0.298
0.8503059149  0.8470    4.513   2.249   1.353   0.703   0.280   0.186
0.8506501913  0.8470    4.818   2.129   1.227   0.571   0.142   0.048
0.8509075046  0.8480    5.086   2.032   1.124   0.462   0.029  -0.065
0.8512050509  0.8480    5.447   1.910   0.994   0.325  -0.114  -0.209
0.8514671922  0.8480    5.823   1.792   0.868   0.192  -0.253  -0.348
0.8516983986  0.8480    6.211   1.678   0.747   0.063  -0.388  -0.483
0.8519111276  0.8480    6.632   1.565   0.625  -0.066  -0.524  -0.620
0.8520915508  0.8480    7.053   1.461   0.512  -0.186  -0.651  -0.748
0.8522591591  0.8480    7.496   1.356   0.399  -0.308  -0.779  -0.876
0.8524119854  0.8480    7.972   1.252   0.286  -0.428  -0.907  -1.004
0.8525481224  0.8480    8.467   1.153   0.179  -0.544  -1.030  -1.127
0.8526723385  0.8480    8.973   1.056   0.072  -0.658  -1.151  -1.249
0.8527824879  0.8480    9.499   0.965  -0.029  -0.768  -1.267  -1.366
0.8528835773  0.8480   10.027   0.876  -0.127  -0.873  -1.379  -1.478
0.8529806137  0.8480   10.577   0.789  -0.223  -0.977  -1.490  -1.590
0.8530786037  0.8480   11.091   0.713  -0.307  -1.068  -1.587  -1.687
0.8531879783  0.8470   11.496   0.654  -0.373  -1.138  -1.661  -1.762
0.8532330394  0.8470   11.323   0.674  -0.348  -1.111  -1.631  -1.732
0.8533096910  0.8470   10.906   0.729  -0.285  -1.040  -1.554  -1.654
0.8533228040  0.8470   11.014   0.714  -0.301  -1.059  -1.574  -1.674
0.8534026146  0.8470   11.688   0.619  -0.408  -1.173  -1.696  -1.797
0.8534829021  0.8470   12.452   0.521  -0.519  -1.294  -1.824  -1.926
0.8535579443  0.8470   13.257   0.423  -0.630  -1.414  -1.952  -2.055
0.8536260724  0.8460   14.114   0.327  -0.738  -1.532  -2.078  -2.181
0.8536899090  0.8460   15.016   0.233  -0.846  -1.649  -2.203  -2.307
0.8537462354  0.8460   15.950   0.137  -0.952  -1.762  -2.318  -2.423
0.8537996411  0.8450   16.942   0.042  -1.058  -1.878  -2.438  -2.544
0.8538485765  0.8450   18.003  -0.050  -1.162  -1.993  -2.557  -2.664
0.8538942933  0.8440   19.141  -0.133  -1.264  -2.106  -2.682  -2.791
0.8539350033  0.8440   20.293  -0.220  -1.364  -2.216  -2.798  -2.909
0.8539731503  0.8430   21.540  -0.306  -1.463  -2.327  -2.915  -3.028
0.8540079594  0.8430   22.848  -0.390  -1.561  -2.436  -3.030  -3.145
0.8540403843  0.8420   24.236  -0.473  -1.657  -2.545  -3.145  -3.262
0.8540695906  0.8420   25.666  -0.552  -1.751  -2.650  -3.256  -3.376
0.8540972471  0.8410   27.224  -0.633  -1.845  -2.757  -3.369  -3.492
0.8541229367  0.8400   28.877  -0.708  -1.939  -2.864  -3.485  -3.611
