# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin7 6 thin_disk 9.937318452 0 0.01471 0.0900000036 0.09 0.1217173938 2308.87276 5.219 11.175 10.571 10.31 12.975 11.196 10.387
thin7 6 thin_disk 9.937318452 0 0.01471 0.1000000015 0.1 0.1331841811 2452.449086 5.186 10.717 10.114 9.849 12.517 10.738 9.927
thin7 6 thin_disk 9.937318452 0 0.01471 0.1200000048 0.12 0.1539404121 2660.112476 5.14 10.07 9.469 9.198 11.797 10.079 9.272
thin7 6 thin_disk 9.937318452 0 0.01471 0.1306917518 0.131 0.1643813886 2728.349485 5.119 9.844 9.243 8.97 11.467 9.838 9.039
thin7 6 thin_disk 9.937318452 0 0.01471 0.1400000006 0.14 0.1734812908 2784.197249 5.103 9.661 9.06 8.787 11.206 9.643 8.853
thin7 6 thin_disk 9.937318452 0 0.01471 0.1599999964 0.16 0.1916693389 2872.764332 5.074 9.342 8.739 8.469 10.773 9.307 8.529
thin7 6 thin_disk 9.937318452 0 0.01471 0.200000003 0.2 0.2261791902 2999.853181 5.027 8.841 8.238 7.975 10.135 8.787 8.028
thin7 6 thin_disk 9.937318452 0 0.01471 0.25 0.25 0.2676410006 3113.866577 4.978 8.353 7.749 7.494 9.545 8.284 7.542
thin7 6 thin_disk 9.937318452 0 0.01471 0.3000000119 0.3 0.3083561715 3190.068436 4.934 7.967 7.361 7.113 9.104 7.89 7.157
thin7 6 thin_disk 9.937318452 0 0.01471 0.3126344979 0.313 0.3191189871 3207.00768 4.922 7.873 7.267 7.02 8.999 7.794 7.064
thin7 6 thin_disk 9.937318452 0 0.01471 0.3500000238 0.35 0.3516840279 3254.617835 4.887 7.615 7.006 6.763 8.711 7.53 6.805
thin7 6 thin_disk 9.937318452 0 0.01471 0.4000000358 0.4 0.3945959694 3338.105052 4.845 7.281 6.665 6.43 8.328 7.186 6.468
thin7 6 thin_disk 9.937318452 0 0.01471 0.4500000179 0.45 0.4429478977 3434.788499 4.795 6.937 6.312 6.083 7.934 6.83 6.117
thin7 6 thin_disk 9.937318452 0 0.01471 0.5 0.5 0.4952821142 3559.59018 4.744 6.58 5.944 5.722 7.52 6.458 5.751
thin7 6 thin_disk 9.937318452 0 0.01471 0.5500000119 0.55 0.5529077085 3728.206849 4.69 6.195 5.545 5.336 7.068 6.058 5.359
thin7 6 thin_disk 9.937318452 0 0.01471 0.6000000238 0.6 0.6020778427 3949.116993 4.654 5.828 5.158 4.98 6.634 5.675 4.995
thin7 6 thin_disk 9.937318452 0 0.01471 0.6316641569 0.632 0.6271228785 4129.524052 4.641 5.59 4.915 4.766 6.353 5.432 4.777
thin7 6 thin_disk 9.937318452 0 0.01471 0.6499999762 0.65 0.6412873082 4234.479162 4.634 5.456 4.789 4.654 6.197 5.301 4.664
thin7 6 thin_disk 9.937318452 0 0.01471 0.7000000477 0.7 0.6783481499 4545.691936 4.617 5.111 4.5 4.399 5.777 4.977 4.405
thin7 6 thin_disk 9.937318452 0 0.01471 0.7046821713 0.705 0.6821072174 4575.093773 4.616 5.079 4.477 4.378 5.738 4.949 4.384
thin7 6 thin_disk 9.937318452 0 0.01471 0.7309907079 0.731 0.7028338095 4741.327996 4.605 4.905 4.354 4.264 5.519 4.794 4.269
thin7 6 thin_disk 9.937318452 0 0.01471 0.75 0.75 0.719039328 4860.713235 4.597 4.782 4.265 4.181 5.366 4.684 4.185
thin7 6 thin_disk 9.937318452 0 0.01471 0.76449579 0.764 0.7352798167 4938.556196 4.586 4.688 4.192 4.112 5.254 4.598 4.116
thin7 6 thin_disk 9.937318452 0 0.01471 0.7873595357 0.787 0.761995918 5059.411458 4.568 4.543 4.079 4.003 5.08 4.463 4.007
thin7 6 thin_disk 9.937318452 0 0.01471 0.8000000119 0.8 0.777235529 5126.25257 4.557 4.463 4.016 3.943 4.984 4.389 3.946
thin7 6 thin_disk 9.937318452 0 0.01471 0.8024597168 0.802 0.7804635856 5139.253023 4.555 4.447 4.003 3.93 4.966 4.374 3.934
thin7 6 thin_disk 9.937318452 0 0.01471 0.8227322698 0.822 0.8075188053 5242.03601 4.536 4.317 3.898 3.829 4.813 4.253 3.832
thin7 6 thin_disk 9.937318452 0 0.01471 0.8413151503 0.841 0.8351272308 5335.805618 4.517 4.197 3.799 3.733 4.674 4.139 3.736
thin7 6 thin_disk 9.937318452 0 0.01471 0.8500000238 0.849 0.8486969567 5378.980873 4.507 4.141 3.752 3.687 4.608 4.086 3.69
thin7 6 thin_disk 9.937318452 0 0.01471 0.8627570868 0.862 0.8702672589 5438.761317 4.492 4.058 3.681 3.619 4.513 4.006 3.622
thin7 6 thin_disk 9.937318452 0 0.01471 0.8807704449 0.88 0.9043835303 5519.503334 4.468 3.939 3.578 3.519 4.378 3.892 3.522
thin7 6 thin_disk 9.937318452 0 0.01471 0.8976057768 0.897 0.9381075794 5593.710682 4.443 3.826 3.479 3.423 4.251 3.783 3.426
thin7 6 thin_disk 9.937318452 0 0.01471 0.8999999762 0.899 0.9433061043 5604.024174 4.44 3.809 3.464 3.409 4.233 3.767 3.412
thin7 6 thin_disk 9.937318452 0 0.01471 0.9146590233 0.914 0.9775807585 5662.39289 4.415 3.706 3.372 3.319 4.12 3.667 3.321
thin7 6 thin_disk 9.937318452 0 0.01471 0.9249789119 0.924 1.005431864 5700.330022 4.397 3.631 3.303 3.252 4.038 3.594 3.254
thin7 6 thin_disk 9.937318452 0 0.01471 0.9435589314 0.943 1.058163178 5765.009138 4.36 3.492 3.176 3.127 3.888 3.459 3.129
thin7 6 thin_disk 9.937318452 0 0.01471 0.9499999881 0.949 1.079077519 5784.9552 4.347 3.443 3.13 3.082 3.836 3.41 3.084
thin7 6 thin_disk 9.937318452 0 0.01471 0.9609164596 0.96 1.115970321 5814.334323 4.322 3.359 3.051 3.003 3.747 3.328 3.006
