# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.0955969095 0.095 0.1329696865 2302.501915 5.168 10.989 10.4 10.104 12.851 11.016 10.183
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.1055120975 0.105 0.1438641701 2399.385334 5.141 10.639 10.051 9.754 12.501 10.666 9.832
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.1253425032 0.125 0.1647223938 2550.938568 5.099 10.081 9.496 9.195 11.944 10.108 9.273
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.145172894 0.145 0.1838876848 2662.563659 5.068 9.675 9.093 8.792 11.457 9.691 8.866
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.1650032997 0.165 0.2015360047 2747.2615 5.043 9.369 8.789 8.494 11.021 9.368 8.562
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.2046640813 0.204 0.2354250356 2873.425887 5.002 8.881 8.301 8.017 10.364 8.857 8.076
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.2542400956 0.254 0.2759005999 2979.888403 4.959 8.413 7.832 7.559 9.78 8.373 7.613
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.3096516132 0.309 0.3207396455 3072.557365 4.913 7.984 7.398 7.136 9.262 7.93 7.185
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.3355939388 0.335 0.3435204886 3108.85166 4.888 7.795 7.206 6.949 9.044 7.736 6.996
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.3533920944 0.353 0.3596272937 3132.564342 4.871 7.67 7.08 6.825 8.902 7.608 6.872
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.4029681087 0.403 0.4009153133 3215.881224 4.834 7.347 6.746 6.502 8.518 7.272 6.545
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.4056655169 0.405 0.4037872903 3221.068791 4.831 7.328 6.727 6.482 8.496 7.252 6.525
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.4525440931 0.452 0.4465320591 3310.548845 4.79 7.019 6.405 6.169 8.129 6.929 6.208
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.502120018 0.502 0.4968812912 3417.432931 4.744 6.685 6.054 5.826 7.735 6.578 5.861
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.5516960621 0.551 0.5516360561 3552.221185 4.694 6.332 5.683 5.464 7.313 6.206 5.493
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.601271987 0.601 0.599587603 3735.940923 4.659 5.997 5.325 5.124 6.892 5.85 5.146
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.650848031 0.651 0.6381938942 3977.406691 4.638 5.659 4.974 4.806 6.472 5.499 4.821
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.7004240751 0.7 0.6730582389 4249.129821 4.625 5.33 4.663 4.532 6.073 5.175 4.542
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.7167237997 0.717 0.680225087 4360.13564 4.625 5.225 4.573 4.456 5.94 5.076 4.464
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.75 0.75 0.6965505586 4587.752705 4.625 5.018 4.428 4.327 5.672 4.893 4.333
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.7726877332 0.773 0.7183773732 4687.054463 4.61 4.884 4.325 4.23 5.512 4.771 4.235
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.8000000119 0.8 0.746195533 4807.286438 4.593 4.727 4.205 4.115 5.323 4.628 4.12
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.8337296844 0.833 0.7815425811 4961.351536 4.57 4.534 4.054 3.971 5.094 4.45 3.976
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.8500000238 0.849 0.7991947915 5035.006088 4.559 4.443 3.983 3.903 4.985 4.366 3.907
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.8783456683 0.878 0.8332064914 5160.597647 4.537 4.284 3.855 3.779 4.797 4.217 3.783
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.8999999762 0.899 0.8612964255 5254.120151 4.519 4.163 3.756 3.684 4.656 4.103 3.687
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.9034190178 0.903 0.8654712484 5268.657897 4.516 4.144 3.74 3.669 4.633 4.085 3.672
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.9221955538 0.921 0.8921803316 5346.874616 4.499 4.039 3.651 3.583 4.511 3.985 3.586
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.9500000477 0.949 0.9357345062 5457.578611 4.471 3.883 3.518 3.454 4.332 3.835 3.457
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.9540893435 0.953 0.9420037786 5473.939587 4.467 3.859 3.497 3.435 4.306 3.813 3.438
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.9684842229 0.968 0.9675037229 5527.134079 4.45 3.777 3.426 3.365 4.213 3.734 3.368
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.9826849103 0.982 0.9939227809 5576.991724 4.433 3.696 3.354 3.296 4.123 3.656 3.299
thin6 5 thin_disk 9.783135957 0.25 0.025095 0.995657742 0.995 1.019418815 5622.118562 4.417 3.622 3.288 3.232 4.041 3.584 3.235
thin6 5 thin_disk 9.783135957 0.25 0.025095 1 1 1.028377686 5636.376558 4.411 3.597 3.266 3.21 4.013 3.56 3.213
thin6 5 thin_disk 9.783135957 0.25 0.025095 1.006628275 1.006 1.04172394 5658.482799 4.402 3.559 3.231 3.176 3.971 3.523 3.179
thin6 5 thin_disk 9.783135957 0.25 0.025095 1.019457221 1.019 1.070909188 5697.705528 4.384 3.483 3.163 3.109 3.888 3.449 3.112
thin6 5 thin_disk 9.783135957 0.25 0.025095 1.032135844 1.031 1.100658634 5734.558665 4.366 3.408 3.094 3.042 3.807 3.376 3.045
thin6 5 thin_disk 9.783135957 0.25 0.025095 1.043497443 1.043 1.129152616 5763.681848 4.348 3.341 3.032 2.982 3.734 3.31 2.984
thin6 5 thin_disk 9.783135957 0.25 0.025095 1.049999952 1.049 1.145124337 5779.629512 4.338 3.303 2.997 2.946 3.694 3.273 2.949
thin6 5 thin_disk 9.783135957 0.25 0.025095 1.059164286 1.058 1.17098854 5798.290899 4.323 3.249 2.946 2.896 3.637 3.219 2.899
