# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.0900000036 0.09 0.1117513157 2545.071572 5.293 17.69 13.111 10.889 10.435 10.236
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1000000015 0.1 0.1239232072 2725.837739 5.249 16.566 12.427 10.422 9.94 9.723
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1199999973 0.12 0.1454630351 2935.621096 5.189 14.954 11.52 9.847 9.327 9.096
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1218675971 0.122 0.1473169249 2949.171308 5.185 14.854 11.462 9.806 9.284 9.053
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1400000006 0.14 0.1646086468 3069.728738 5.148 13.977 10.949 9.441 8.906 8.673
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1460083425 0.146 0.1700406063 3099.55966 5.138 13.763 10.817 9.342 8.804 8.572
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1599999964 0.16 0.1826218108 3164.462839 5.117 13.321 10.536 9.124 8.581 8.35
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.1999999881 0.2 0.2161487084 3297.61538 5.067 12.428 9.932 8.63 8.078 7.852
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.25 0.25 0.256774945 3406.434166 5.014 11.696 9.383 8.155 7.595 7.374
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.3000000119 0.3 0.2960415333 3482.571166 4.969 11.162 8.959 7.775 7.21 6.991
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.3410415053 0.341 0.3307140493 3536.714476 4.929 10.773 8.641 7.487 6.916 6.7
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.3499999642 0.35 0.3381836794 3548.133892 4.92 10.694 8.576 7.428 6.855 6.64
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.3717271388 0.372 0.3576454011 3590.04589 4.899 10.465 8.399 7.272 6.696 6.481
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.3999999762 0.4 0.3822545335 3642.503687 4.872 10.186 8.184 7.082 6.501 6.289
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.4499999881 0.45 0.4332640398 3764.436711 4.815 9.624 7.757 6.711 6.118 5.911
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.4999999404 0.5 0.4863541711 3936.407041 4.76 9.011 7.302 6.321 5.711 5.52
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.5448052287 0.544 0.5327858043 4157.191207 4.718 8.402 6.861 5.945 5.311 5.158
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.5500000119 0.55 0.5380871797 4182.153799 4.714 8.336 6.813 5.904 5.268 5.119
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.5561879277 0.556 0.5429410079 4218.907466 4.71 8.25 6.753 5.854 5.217 5.074
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.5999999642 0.6 0.5797658692 4479.195313 4.686 7.65 6.347 5.519 4.904 4.795
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.6499999166 0.65 0.6169538019 4816.149948 4.667 6.983 5.891 5.167 4.634 4.548
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.6582832336 0.658 0.6242415106 4868.554097 4.663 6.883 5.818 5.112 4.595 4.511
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.6865617633 0.687 0.6482651049 5048.937562 4.648 6.561 5.581 4.928 4.458 4.382
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.6999999881 0.7 0.6601652269 5134.521775 4.641 6.417 5.473 4.843 4.394 4.321
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7146028876 0.715 0.6730582389 5227.571722 4.633 6.266 5.358 4.752 4.324 4.255
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7371095419 0.737 0.6947885374 5369.081545 4.619 6.042 5.184 4.614 4.217 4.153
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7487857342 0.749 0.7064031787 5442.519578 4.611 5.931 5.096 4.543 4.162 4.1
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7493540049 0.749 0.7073797852 5445.026528 4.611 5.926 5.092 4.54 4.159 4.097
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7694426775 0.769 0.7320700588 5556.483128 4.593 5.742 4.943 4.416 4.056 3.998
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7879497409 0.788 0.7558796353 5657.180035 4.575 5.576 4.809 4.302 3.959 3.906
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.7975714207 0.797 0.7685155243 5708.210762 4.565 5.492 4.74 4.243 3.909 3.857
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.8157660365 0.815 0.7975403138 5796.955947 4.543 5.335 4.608 4.129 3.808 3.76
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.8330156207 0.832 0.8265186256 5877.599637 4.521 5.189 4.484 4.019 3.711 3.665
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.8463571072 0.846 0.8496746178 5938.817779 4.504 5.077 4.389 3.935 3.636 3.593
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.8713891506 0.87 0.9014728363 6040.877097 4.465 4.866 4.206 3.77 3.486 3.447
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.8949641585 0.894 0.9579716235 6129.146471 4.424 4.667 4.03 3.61 3.339 3.302
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.8951427937 0.894 0.9575305628 6130.557921 4.424 4.665 4.028 3.608 3.338 3.301
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9148987532 0.914 1.01286752 6198.691176 4.385 4.492 3.873 3.464 3.203 3.169
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9324741364 0.931 1.067216779 6254.606617 4.348 4.334 3.729 3.33 3.076 3.043
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9439284801 0.943 1.106503125 6289.266532 4.321 4.229 3.633 3.239 2.99 2.958
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9532212019 0.952 1.14117604 6315.387454 4.3 4.144 3.555 3.164 2.919 2.888
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9677485824 0.967 1.198816315 6348.922123 4.263 4.012 3.432 3.046 2.806 2.775
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9799351096 0.979 1.253004541 6369.421654 4.23 3.899 3.324 2.942 2.704 2.674
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9897678494 0.989 1.304525716 6384.104687 4.2 3.801 3.231 2.851 2.615 2.585
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9927142262 0.992 1.320847398 6388.516194 4.19 3.771 3.201 2.821 2.586 2.557
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9981061816 0.997 1.35223647 6394.402945 4.172 3.715 3.147 2.769 2.535 2.505
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 0.9990506172 0.998 1.357852652 6395.875481 4.169 3.705 3.138 2.759 2.525 2.496
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.001576543 1 1.374525005 6397.348355 4.159 3.677 3.111 2.732 2.499 2.469
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.009765029 1.009 1.43269137 6397.348355 4.127 3.586 3.021 2.642 2.409 2.379
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.019072771 1.018 1.511654861 6384.104687 4.084 3.478 2.91 2.529 2.295 2.265
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.028378367 1.027 1.610099239 6351.846583 4.033 3.363 2.788 2.403 2.165 2.134
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.030386329 1.029 1.635884528 6341.616863 4.021 3.338 2.76 2.374 2.135 2.103
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.0322721 1.031 1.661700096 6328.488569 4.007 3.313 2.733 2.344 2.103 2.071
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.039867639 1.038 1.786704145 6248.848564 3.948 3.214 2.615 2.214 1.963 1.929
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.041499853 1.04 1.821179046 6221.570117 3.932 3.194 2.588 2.183 1.928 1.893
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.044560432 1.043 1.885179224 6171.631685 3.903 3.155 2.538 2.124 1.863 1.827
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.049054861 1.047 2.010724848 6045.051429 3.849 3.115 2.466 2.03 1.749 1.709
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.052521586 1.051 2.131339554 5888.436554 3.799 3.117 2.427 1.961 1.654 1.61
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.0545789 1.053 2.219998315 5753.074526 3.765 3.147 2.421 1.928 1.6 1.551
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.055952907 1.054 2.289563246 5645.468649 3.739 3.179 2.423 1.908 1.561 1.508
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.057193756 1.055 2.361851808 5542.427234 3.712 3.209 2.423 1.886 1.52 1.463
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.058423996 1.056 2.453311219 5447.534633 3.679 3.22 2.406 1.847 1.462 1.402
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.059924722 1.058 2.595091319 5351.801538 3.632 3.197 2.354 1.773 1.367 1.304
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.0612427 1.059 2.746961957 5289.32192 3.583 3.139 2.277 1.68 1.26 1.195
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.061613321 1.059 2.794168838 5274.727157 3.568 3.118 2.252 1.651 1.227 1.162
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.061831594 1.06 2.824571969 5267.444883 3.559 3.102 2.234 1.631 1.206 1.14
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.063373566 1.061 3.050370869 5222.759167 3.492 2.983 2.101 1.486 1.05 0.983
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.064584255 1.062 3.254262973 5195.17283 3.436 2.872 1.981 1.359 0.916 0.848
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.0658319 1.063 3.498264515 5168.922254 3.374 2.746 1.846 1.216 0.767 0.699
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.066839337 1.064 3.72608403 5148.728601 3.32 2.632 1.726 1.09 0.636 0.567
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.067931056 1.065 4.010999842 5125.072342 3.256 2.497 1.584 0.941 0.482 0.412
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.068830252 1.066 4.288966409 5103.874654 3.199 2.377 1.456 0.808 0.343 0.272
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.06964004 1.067 4.578810234 5083.935125 3.142 2.258 1.331 0.676 0.206 0.134
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.070410013 1.068 4.906283561 5060.576565 3.082 2.134 1.2 0.539 0.063 -0.009
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.071065903 1.068 5.236639109 5038.485348 3.026 2.019 1.078 0.41 -0.072 -0.144
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.071703553 1.069 5.613744529 5014.18092 2.965 1.896 0.947 0.272 -0.216 -0.29
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.072233915 1.069 5.987598141 4991.142852 2.91 1.785 0.827 0.145 -0.35 -0.424
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.072739244 1.07 6.406969327 4965.923215 2.851 1.67 0.702 0.012 -0.49 -0.565
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.073183656 1.07 6.839945555 4940.831009 2.795 1.56 0.582 -0.116 -0.625 -0.702
thin6 5 thin_disk 9.783135957 -0.5 0.0048313 1.073586464 1.07 7.305545414 4914.733802 2.738 1.45 0.462 -0.243 -0.76 -0.837
