# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.0955969095 0.095 0.1330309354 2301.971805 5.168 10.99 10.401 10.105 12.852 11.017 10.184
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.1045411229 0.104 0.1429067178 2389.461294 5.143 10.674 10.086 9.788 12.536 10.7 9.867
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.1055120975 0.105 0.1439304373 2398.832919 5.141 10.641 10.053 9.755 12.503 10.668 9.834
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.1212770343 0.121 0.1604547746 2519.996862 5.107 10.19 9.604 9.304 12.052 10.217 9.382
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.1253425032 0.125 0.1646844694 2549.764088 5.099 10.083 9.498 9.197 11.946 10.11 9.275
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.145172894 0.145 0.1838453479 2661.337785 5.068 9.677 9.094 8.794 11.461 9.693 8.868
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.1650032997 0.165 0.2015824155 2745.364414 5.043 9.371 8.791 8.495 11.025 9.37 8.563
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.2046640813 0.204 0.2348294954 2872.10293 5.004 8.887 8.308 8.024 10.373 8.864 8.083
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.2542400956 0.254 0.2736230281 2978.516429 4.966 8.432 7.85 7.578 9.8 8.392 7.632
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.3154307604 0.315 0.3217011733 3080.349537 4.918 7.969 7.383 7.122 9.24 7.914 7.171
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.3375526071 0.337 0.3426515059 3110.99992 4.893 7.799 7.211 6.953 9.046 7.74 7.001
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.3454042673 0.345 0.3499875897 3121.044781 4.885 7.741 7.152 6.896 8.98 7.681 6.943
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.3533920944 0.353 0.3567406874 3132.564342 4.879 7.688 7.097 6.843 8.919 7.626 6.89
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.4029681087 0.403 0.3975141979 3216.621793 4.842 7.366 6.766 6.521 8.536 7.291 6.564
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.4038195014 0.404 0.3980637636 3218.103443 4.841 7.36 6.76 6.515 8.529 7.285 6.558
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.4154643416 0.415 0.4090276291 3241.156488 4.83 7.279 6.676 6.434 8.433 7.201 6.476
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.4525440931 0.452 0.4429478977 3310.548845 4.798 7.039 6.425 6.189 8.148 6.949 6.228
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.502120018 0.502 0.492212507 3415.859507 4.752 6.707 6.077 5.849 7.757 6.601 5.884
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.5151462555 0.515 0.5056530659 3450.642762 4.74 6.615 5.98 5.754 7.646 6.503 5.788
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.5516960621 0.551 0.5436916271 3547.316998 4.706 6.368 5.72 5.501 7.351 6.243 5.53
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.5832378864 0.583 0.5736574589 3660.159406 4.684 6.156 5.494 5.285 7.084 6.018 5.31
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.601271987 0.601 0.5900008602 3723.059698 4.672 6.041 5.372 5.169 6.941 5.896 5.191
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.6207485199 0.621 0.6054142582 3813.291453 4.664 5.911 5.233 5.042 6.776 5.758 5.061
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.650848031 0.651 0.6281344962 3951.845889 4.652 5.715 5.031 4.86 6.535 5.556 4.875
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.6555534005 0.656 0.6311791509 3976.490965 4.651 5.684 5 4.832 6.497 5.525 4.847
thin4 3 thin_disk 9.4008632 0.25 0.025095 0.7004240751 0.7 0.6607735416 4210.173564 4.641 5.399 4.732 4.594 6.15 5.244 4.605
