# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.059361935 1.058 1.050153163 6312.47978 4.418 3.331 3.09 3.059 3.648 3.317 3.061
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.082620263 1.081 1.090567735 6382.634862 4.395 3.226 2.995 2.966 3.535 3.214 2.967
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.088191509 1.087 1.099645357 6400.295121 4.389 3.201 2.972 2.943 3.508 3.19 2.945
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.089358807 1.088 1.101165623 6403.243245 4.388 3.196 2.968 2.939 3.502 3.185 2.94
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.115182996 1.114 1.148028434 6480.372942 4.362 3.081 2.863 2.836 3.378 3.073 2.837
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.136504412 1.135 1.188372641 6540.335094 4.34 2.987 2.777 2.75 3.276 2.98 2.752
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.138868093 1.138 1.192484231 6547.86927 4.338 2.977 2.767 2.741 3.265 2.97 2.742
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.164612889 1.163 1.242660932 6620.640403 4.312 2.864 2.665 2.64 3.144 2.86 2.641
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.184817553 1.184 1.283372251 6674.212039 4.292 2.777 2.585 2.56 3.049 2.774 2.561
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.219527602 1.219 1.354105945 6760.829754 4.257 2.633 2.453 2.428 2.894 2.633 2.43
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.233130455 1.232 1.384690284 6790.472582 4.244 2.577 2.401 2.377 2.835 2.577 2.378
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.272305131 1.272 1.470458069 6872.266616 4.205 2.422 2.257 2.233 2.67 2.425 2.235
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.281443477 1.281 1.490227745 6889.695055 4.196 2.386 2.223 2.2 2.632 2.389 2.201
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.282446027 1.282 1.492975376 6891.281648 4.195 2.382 2.22 2.196 2.628 2.386 2.197
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.329756737 1.329 1.613067885 6958.249547 4.143 2.194 2.041 2.017 2.431 2.199 2.018
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.360738754 1.36 1.701189309 6993.587292 4.107 2.068 1.92 1.897 2.301 2.074 1.898
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.378069639 1.378 1.756518163 7006.481829 4.085 1.995 1.85 1.826 2.227 2.002 1.827
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.393909097 1.393 1.807393204 7019.40014 4.065 1.929 1.785 1.761 2.159 1.936 1.762
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.423550248 1.423 1.918459542 7024.250645 4.023 1.798 1.656 1.632 2.027 1.805 1.633
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.42638278 1.426 1.930423718 7022.633437 4.018 1.785 1.643 1.619 2.014 1.792 1.62
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.440464497 1.44 1.994126224 7009.709176 3.994 1.719 1.575 1.551 1.949 1.726 1.552
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.463572383 1.463 2.116180191 6963.057796 3.949 1.602 1.454 1.429 1.838 1.608 1.43
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 1.474695921 1.474 2.181989442 6932.661572 3.926 1.544 1.392 1.367 1.783 1.549 1.368
