# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8000000119 0.799 1.213815405 6230.171474 4.169 3.083 2.815 2.782 3.422 3.061 2.784
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8036523461 0.802 1.262852548 6221.570117 4.137 3 2.732 2.699 3.341 2.979 2.7
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8087481856 0.807 1.350369577 6188.708114 4.082 2.867 2.595 2.56 3.211 2.844 2.561
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8097292185 0.808 1.369785753 6180.164001 4.07 2.839 2.566 2.531 3.185 2.816 2.533
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8129568696 0.812 1.452956609 6126.324544 4.02 2.729 2.449 2.412 3.082 2.704 2.413
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8163920641 0.815 1.576349977 6032.537079 3.952 2.589 2.296 2.255 2.954 2.56 2.257
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8187485337 0.817 1.695323745 5925.158877 3.889 2.471 2.163 2.119 2.851 2.438 2.121
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8204796314 0.819 1.815735752 5804.970272 3.83 2.367 2.043 1.993 2.765 2.33 1.996
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8218970299 0.82 1.950979225 5678.060295 3.768 2.265 1.921 1.866 2.681 2.221 1.869
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8229985237 0.821 2.094848619 5571.857489 3.708 2.159 1.799 1.739 2.592 2.111 1.742
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8238898516 0.822 2.238992531 5492.878592 3.65 2.048 1.675 1.612 2.495 1.996 1.615
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8245952725 0.823 2.376581132 5440.013782 3.598 1.944 1.56 1.495 2.4 1.888 1.498
