# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
2.299999952 2.299 1.740013608 10370.50726 4.316 1.341 1.382 1.379 1.425 1.426
2.305063486 2.304 1.742419187 10387.23602 4.315 1.334 1.376 1.374 1.42 1.421
2.400000095 2.399 1.795364547 10665.96121 4.307 1.212 1.264 1.274 1.324 1.328
2.505776405 2.505 1.854183213 10964.78196 4.298 1.081 1.143 1.166 1.219 1.227
2.599999905 2.6 1.910084784 11227.93785 4.289 0.968 1.037 1.072 1.127 1.138
2.785490036 2.786 2.022332889 11719.25489 4.268 0.754 0.835 0.888 0.949 0.964
2.799999952 2.8 2.032603387 11757.09426 4.267 0.738 0.819 0.874 0.935 0.95
2.922327518 2.923 2.11082702 12067.0191 4.253 0.604 0.691 0.757 0.821 0.838
3 3 2.160989441 12260.26903 4.243 0.52 0.611 0.683 0.748 0.768
3.067000389 3.067 2.207763987 12419.38242 4.235 0.449 0.543 0.62 0.687 0.707
3.200000048 3.199 2.304372293 12729.16746 4.216 0.307 0.407 0.494 0.563 0.585
3.266124725 3.265 2.352624659 12876.56427 4.206 0.238 0.341 0.432 0.502 0.526
3.381816864 3.38 2.443726761 13131.06648 4.188 0.119 0.226 0.324 0.396 0.421
3.400000095 3.398 2.461232521 13167.39913 4.185 0.1 0.208 0.307 0.379 0.404
3.440816164 3.439 2.490879078 13255.61861 4.179 0.059 0.168 0.269 0.342 0.368
3.543471098 3.541 2.580789867 13464.80288 4.161 -0.046 0.067 0.174 0.248 0.275
3.599999905 3.598 2.631798559 13573.75481 4.151 -0.104 0.011 0.12 0.195 0.223
3.714175701 3.712 2.739382297 13787.95953 4.129 -0.221 -0.103 0.012 0.089 0.117
3.799999952 3.798 2.829779818 13937.98523 4.112 -0.31 -0.19 -0.071 0.006 0.036
3.8424263 3.841 2.873112587 14008.76984 4.103 -0.354 -0.232 -0.112 -0.034 -0.004
3.966147661 3.966 3.021709047 14197.11172 4.073 -0.487 -0.363 -0.238 -0.159 -0.128
4 4.001 3.065156439 14242.95165 4.064 -0.525 -0.4 -0.274 -0.195 -0.164
4.078499317 4.078 3.172872677 14341.67907 4.043 -0.611 -0.485 -0.357 -0.277 -0.245
4.18077755 4.179 3.323935936 14454.39771 4.013 -0.727 -0.599 -0.469 -0.388 -0.356
4.199999809 4.198 3.354691937 14471.04853 4.007 -0.75 -0.622 -0.49 -0.41 -0.378
4.250993252 4.249 3.438370284 14517.77295 3.99 -0.809 -0.681 -0.548 -0.468 -0.435
4.331459522 4.329 3.59544496 14561.29499 3.961 -0.909 -0.78 -0.647 -0.566 -0.533
4.400000095 4.397 3.739836749 14584.78395 3.933 -0.999 -0.869 -0.735 -0.655 -0.621
4.401000977 4.398 3.739836749 14584.78395 3.933 -1 -0.871 -0.737 -0.656 -0.623
4.506540775 4.504 3.993490401 14584.78395 3.886 -1.143 -1.014 -0.879 -0.799 -0.765
4.587555885 4.584 4.231093717 14541.1917 3.844 -1.261 -1.133 -1 -0.92 -0.886
4.599999905 4.597 4.268277478 14527.80494 3.837 -1.281 -1.153 -1.02 -0.94 -0.907
4.66122818 4.659 4.483866202 14454.39771 3.8 -1.379 -1.253 -1.121 -1.042 -1.008
4.746646404 4.744 4.842310621 14298.81344 3.742 -1.525 -1.402 -1.273 -1.195 -1.163
4.800000191 4.798 5.11743865 14151.41933 3.698 -1.628 -1.508 -1.382 -1.305 -1.273
4.819506645 4.818 5.223392304 14096.13337 3.682 -1.666 -1.547 -1.422 -1.346 -1.314
4.879967689 4.878 5.622800112 13870.75178 3.624 -1.795 -1.68 -1.561 -1.486 -1.456
4.936404228 4.935 6.054142582 13623.8546 3.564 -1.923 -1.813 -1.7 -1.627 -1.598
4.983648777 4.982 6.514073355 13362.87789 3.506 -2.044 -1.94 -1.833 -1.763 -1.734
5 4.999 6.658135739 13301.48105 3.487 -2.085 -1.983 -1.877 -1.807 -1.779
5.03620863 5.035 7.004104948 13164.36757 3.446 -2.176 -2.076 -1.974 -1.905 -1.878
