# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.0900000036 0.09 0.122420076 2311.532479 5.214 18.122 13.71 11.156 10.552 10.29
0.0974012539 0.097 0.1304225373 2414.904718 5.193 17.782 13.382 10.828 10.226 9.962
0.1000000015 0.1 0.1334604684 2451.319952 5.185 17.665 13.27 10.716 10.114 9.849
0.1135202646 0.113 0.1473169249 2592.387985 5.154 17.19 12.811 10.258 9.657 9.389
0.1190337986 0.119 0.1529511141 2647.28074 5.142 16.818 12.561 10.1 9.498 9.228
0.1200000048 0.12 0.1539404121 2657.05167 5.14 16.731 12.509 10.074 9.473 9.202
0.1400000006 0.14 0.1732018972 2781.634089 5.104 15.621 11.8 9.665 9.064 8.791
0.1427583247 0.143 0.1758136721 2794.473529 5.099 15.509 11.725 9.619 9.017 8.745
0.1599999964 0.16 0.1914487984 2869.458843 5.075 14.851 11.299 9.347 8.745 8.474
0.200000003 0.2 0.2252436959 2995.711592 5.031 13.798 10.593 8.854 8.252 7.988
0.25 0.25 0.2635437036 3110.99992 4.991 12.886 9.969 8.39 7.786 7.531
0.3268041015 0.327 0.3255761962 3224.779319 4.925 11.968 9.274 7.813 7.206 6.961
0.3353379965 0.335 0.3326232823 3236.681757 4.917 11.876 9.203 7.755 7.147 6.903
0.3500000238 0.35 0.3442331134 3257.61683 4.906 11.725 9.089 7.659 7.049 6.807
0.4000000358 0.4 0.3868589465 3340.41173 4.862 11.184 8.681 7.321 6.706 6.47
0.4500000179 0.45 0.4348631875 3434.788499 4.812 10.637 8.268 6.979 6.355 6.125
0.5 0.5 0.4861302483 3553.85742 4.761 10.059 7.838 6.627 5.993 5.77
0.5189497471 0.519 0.5056530659 3613.266545 4.743 9.814 7.664 6.489 5.851 5.632
0.5500000119 0.55 0.5368496136 3710.222886 4.715 9.429 7.394 6.275 5.628 5.417
0.6000000238 0.6 0.5831128941 3910.209261 4.682 8.784 6.956 5.93 5.265 5.08
0.6499999762 0.65 0.6202298229 4161.980106 4.663 8.141 6.526 5.587 4.917 4.771
0.7000000477 0.7 0.6511074204 4441.196614 4.653 7.506 6.121 5.271 4.633 4.524
0.728633523 0.729 0.6665805615 4612.113645 4.65 7.153 5.895 5.103 4.512 4.416
0.75 0.75 0.6774116243 4741.327996 4.649 6.908 5.733 4.985 4.434 4.345
0.8000000119 0.8 0.7188737821 4971.643737 4.625 6.444 5.395 4.718 4.232 4.153
0.8500000238 0.85 0.7612944169 5197.565847 4.601 6.028 5.082 4.468 4.039 3.968
0.8784591556 0.878 0.7873224674 5321.082593 4.586 5.812 4.913 4.331 3.93 3.864
0.8999999762 0.899 0.8078907671 5412.526055 4.575 5.656 4.79 4.231 3.85 3.787
0.9499999881 0.949 0.8585244042 5613.064077 4.545 5.314 4.52 4.009 3.665 3.611
0.9600538015 0.96 0.8698665783 5650.670713 4.538 5.249 4.468 3.964 3.627 3.574
1 1 0.9163315604 5798.290899 4.511 5 4.265 3.791 3.48 3.432
1.039094329 1.039 0.9666130293 5931.984397 4.481 4.767 4.073 3.625 3.336 3.293
1.049999952 1.049 0.9807371913 5967.60405 4.473 4.703 4.02 3.58 3.296 3.254
1.06309104 1.062 1.000121227 6008.969505 4.462 4.628 3.957 3.525 3.248 3.207
1.100000024 1.099 1.053058856 6124.914068 4.432 4.423 3.784 3.371 3.111 3.074
1.122644663 1.122 1.087808993 6191.558776 4.412 4.3 3.68 3.278 3.027 2.992
1.149999976 1.149 1.131755581 6269.024975 4.389 4.155 3.556 3.167 2.927 2.894
1.19820118 1.197 1.211581532 6403.243245 4.347 3.907 3.342 2.975 2.753 2.723
1.200000048 1.199 1.214094928 6407.667976 4.345 3.898 3.334 2.967 2.747 2.717
1.25 1.25 1.301825112 6535.818751 4.303 3.655 3.124 2.777 2.574 2.546
1.271352291 1.271 1.338297433 6588.704043 4.286 3.556 3.037 2.698 2.502 2.475
1.299999952 1.3 1.390761452 6655.795964 4.262 3.425 2.923 2.594 2.408 2.381
1.349999905 1.35 1.482356441 6770.176641 4.224 3.207 2.732 2.42 2.249 2.224
1.376224518 1.376 1.530568055 6829.674408 4.204 3.097 2.636 2.333 2.169 2.144
1.399999976 1.4 1.57707608 6877.015449 4.185 2.998 2.549 2.253 2.096 2.071
