# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
0.0900000036 0.09 0.1326638647 2358.848236 5.144 10.896 10.294 10.025 12.696 10.916 10.103
0.0967213437 0.097 0.1373575845 2434.445184 5.145 10.684 10.083 9.814 12.485 10.705 9.892
0.1000000015 0.1 0.140040175 2472.862678 5.142 10.573 9.972 9.702 12.373 10.593 9.78
0.1168747693 0.117 0.1554363698 2635.11759 5.12 10.08 9.479 9.207 11.847 10.095 9.283
0.1200000048 0.12 0.1582168176 2665.0171 5.116 10.006 9.405 9.132 11.724 10.014 9.205
0.1242667139 0.124 0.1618276192 2690.295592 5.111 9.925 9.324 9.05 11.602 9.926 9.121
0.1400000006 0.14 0.1758541594 2782.915374 5.091 9.632 9.031 8.758 11.179 9.615 8.824
0.1588336676 0.159 0.1910524647 2864.17797 5.074 9.359 8.757 8.486 10.8 9.326 8.547
0.1599999964 0.16 0.1921111823 2869.458843 5.073 9.342 8.739 8.469 10.777 9.307 8.529
0.200000003 0.2 0.2256070386 2995.021884 5.03 8.852 8.25 7.986 10.151 8.799 8.04
0.25 0.25 0.2635437036 3110.99992 4.992 8.392 7.788 7.533 9.586 8.323 7.581
0.3013713658 0.301 0.300367296 3191.537855 4.959 8.022 7.416 7.168 9.157 7.944 7.212
0.3117326498 0.312 0.3093517982 3207.00768 4.948 7.942 7.336 7.089 9.067 7.863 7.133
0.3500000238 0.35 0.3384173691 3266.630405 4.921 7.686 7.076 6.835 8.772 7.6 6.877
0.4000000358 0.4 0.3821665263 3351.19732 4.873 7.339 6.723 6.488 8.376 7.242 6.526
0.4500000179 0.45 0.4311740795 3443.499308 4.819 6.989 6.365 6.136 7.98 6.881 6.17
0.5 0.5 0.4822282457 3562.049907 4.768 6.636 6.002 5.78 7.574 6.516 5.809
0.5500000119 0.55 0.5308265601 3724.774625 4.725 6.287 5.64 5.431 7.159 6.151 5.453
0.6000000238 0.6 0.5741860604 3929.162586 4.695 5.946 5.282 5.1 6.754 5.796 5.116
0.6499999762 0.65 0.6129889486 4169.653822 4.674 5.608 4.938 4.794 6.36 5.452 4.805
0.7000000477 0.7 0.6461787098 4435.06511 4.66 5.293 4.654 4.544 5.987 5.148 4.551
0.7017906308 0.702 0.6472210666 4444.265543 4.659 5.281 4.645 4.536 5.973 5.138 4.543
0.7382202744 0.738 0.6645882289 4664.445252 4.658 5.075 4.499 4.406 5.71 4.955 4.411
0.75 0.75 0.6704287731 4735.872481 4.658 5.013 4.46 4.37 5.628 4.901 4.375
0.8000000119 0.8 0.7095004003 4961.351536 4.636 4.752 4.262 4.183 5.311 4.663 4.187
0.8500000238 0.85 0.7505033668 5180.837851 4.613 4.507 4.074 4.002 5.016 4.438 4.006
0.8999999762 0.899 0.7942416265 5390.139436 4.589 4.278 3.891 3.827 4.742 4.223 3.831
0.9499999881 0.95 0.8422725456 5585.988021 4.562 4.062 3.715 3.659 4.488 4.019 3.661
1 1 0.8948549501 5770.321353 4.532 3.854 3.538 3.489 4.248 3.82 3.491
1.049999952 1.049 0.9518152194 5940.1854 4.499 3.655 3.367 3.324 4.022 3.629 3.326
1.087510943 1.087 0.99851052 6058.986711 4.473 3.509 3.24 3.201 3.858 3.488 3.203
1.100000024 1.099 1.014501386 6098.17664 4.464 3.462 3.198 3.16 3.805 3.442 3.162
1.149999976 1.149 1.080071844 6245.971525 4.429 3.275 3.032 2.998 3.598 3.26 3
1.200000048 1.199 1.148557243 6389.987373 4.394 3.095 2.872 2.842 3.399 3.085 2.843
1.25 1.25 1.217734597 6528.298442 4.361 2.924 2.72 2.692 3.211 2.919 2.694
1.280113459 1.28 1.259078027 6611.499965 4.343 2.826 2.632 2.606 3.102 2.823 2.607
1.299999952 1.3 1.28633073 6666.53249 4.331 2.762 2.576 2.55 3.031 2.761 2.551
1.349999905 1.35 1.350991588 6807.693587 4.304 2.611 2.443 2.419 2.863 2.614 2.42
1.399999976 1.4 1.4107584 6959.851928 4.283 2.472 2.324 2.3 2.706 2.479 2.302
1.450000048 1.45 1.459663152 7131.813867 4.268 2.349 2.221 2.199 2.563 2.359 2.2
1.5 1.5 1.497106324 7331.62089 4.261 2.24 2.135 2.114 2.432 2.254 2.115
1.512442112 1.512 1.505055949 7384.141324 4.26 2.215 2.116 2.095 2.401 2.23 2.096
1.549999952 1.55 1.528103058 7542.233958 4.257 2.14 2.058 2.037 2.31 2.158 2.038
1.561899543 1.562 1.536571044 7591.017629 4.256 2.117 2.04 2.02 2.282 2.135 2.021
1.600000024 1.6 1.564057247 7739.270033 4.251 2.044 1.981 1.961 2.194 2.063 1.962
1.618727565 1.618 1.578165862 7807.284401 4.248 2.007 1.951 1.932 2.151 2.028 1.932
1.650000095 1.649 1.606396114 7914.072054 4.241 1.947 1.9 1.881 2.08 1.968 1.881
1.670869947 1.67 1.625371517 7981.784535 4.237 1.907 1.865 1.846 2.034 1.928 1.847
1.700000048 1.699 1.652542528 8072.350302 4.229 1.85 1.816 1.797 1.969 1.872 1.798
1.71856904 1.718 1.671678069 8128.305162 4.224 1.814 1.784 1.766 1.928 1.837 1.766
1.75 1.749 1.704325904 8218.640804 4.215 1.753 1.73 1.711 1.86 1.776 1.712
1.785399437 1.784 1.7452299 8315.722725 4.203 1.684 1.667 1.649 1.782 1.707 1.65
1.799999833 1.799 1.762189645 8352.182974 4.198 1.656 1.641 1.623 1.751 1.679 1.624
1.843324423 1.842 1.815317711 8464.474481 4.183 1.571 1.563 1.546 1.657 1.594 1.546
1.849999905 1.849 1.822437507 8482.033825 4.181 1.558 1.551 1.534 1.643 1.581 1.534
1.884093523 1.883 1.868325945 8562.488476 4.167 1.49 1.488 1.471 1.569 1.513 1.471
1.899999976 1.899 1.89170166 8598.050667 4.16 1.458 1.457 1.44 1.534 1.481 1.441
1.910164237 1.909 1.906130563 8619.855787 4.156 1.438 1.438 1.421 1.512 1.46 1.422
1.950000048 1.95 1.966765787 8703.621574 4.138 1.355 1.359 1.343 1.423 1.377 1.343
1.97069931 1.971 1.999643818 8741.782564 4.128 1.311 1.318 1.302 1.377 1.334 1.302
2 2 2.050938534 8792.249425 4.112 1.248 1.256 1.24 1.309 1.27 1.241
2.025642872 2.026 2.09774476 8834.866674 4.098 1.192 1.202 1.187 1.251 1.214 1.187
2.049999952 2.05 2.146113294 8871.56012 4.084 1.138 1.15 1.135 1.194 1.16 1.135
2.0922153 2.091 2.233328689 8924.830978 4.058 1.043 1.056 1.042 1.094 1.064 1.042
2.099999905 2.099 2.248809384 8935.111986 4.053 1.025 1.039 1.024 1.076 1.046 1.024
2.12252903 2.121 2.30013139 8957.771912 4.038 0.972 0.987 0.973 1.022 0.994 0.973
2.150000095 2.149 2.372207337 8974.287945 4.017 0.904 0.92 0.906 0.953 0.926 0.906
2.161773443 2.16 2.401887405 8980.489305 4.008 0.875 0.891 0.876 0.923 0.896 0.877
2.200000048 2.199 2.519722098 8982.557377 3.975 0.774 0.789 0.775 0.821 0.795 0.775
2.221456289 2.22 2.588526675 8980.489305 3.956 0.715 0.731 0.717 0.762 0.736 0.717
2.25 2.249 2.689382935 8963.961859 3.928 0.634 0.649 0.635 0.682 0.655 0.635
2.258745432 2.257 2.71989817 8959.834753 3.919 0.609 0.624 0.61 0.657 0.63 0.61
2.295309305 2.294 2.872451105 8916.614689 3.879 0.499 0.513 0.498 0.548 0.52 0.498
