# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.123350263 1.121 2.875760041 4968.210633 3.567 1.718 1.227 1.148 2.286 1.63 1.151
1.124791622 1.123 3.080013676 4946.522627 3.508 1.582 1.085 1.004 2.155 1.492 1.007
1.125857472 1.124 3.257261641 4930.602596 3.461 1.471 0.969 0.888 2.048 1.379 0.891
1.127051592 1.125 3.478184736 4913.602273 3.404 1.337 0.831 0.749 1.919 1.244 0.752
1.127962828 1.126 3.674960241 4900.044228 3.356 1.225 0.716 0.633 1.81 1.131 0.636
1.128813982 1.127 3.889131652 4885.398559 3.308 1.112 0.6 0.516 1.702 1.017 0.519
1.129554033 1.127 4.099705352 4871.918336 3.262 1.006 0.49 0.405 1.599 0.909 0.408
1.130443096 1.128 4.393925052 4851.767712 3.202 0.867 0.346 0.26 1.466 0.769 0.263
1.131062031 1.129 4.630763962 4836.152643 3.156 0.761 0.236 0.15 1.364 0.661 0.153
1.131778479 1.13 4.953961702 4815.041117 3.098 0.627 0.097 0.009 1.236 0.526 0.012
1.132312179 1.13 5.231818206 4797.334486 3.051 0.519 -0.016 -0.105 1.133 0.416 -0.102
1.132910967 1.131 5.602123063 4774.193311 2.992 0.386 -0.156 -0.246 1.006 0.28 -0.243
1.133462548 1.131 6.008314327 4750.069894 2.932 0.249 -0.299 -0.391 0.877 0.141 -0.388
1.133940697 1.131 6.421738917 4726.068369 2.873 0.119 -0.437 -0.53 0.754 0.008 -0.527
1.134378195 1.132 6.877849126 4700.023182 2.814 -0.013 -0.576 -0.671 0.629 -0.126 -0.668
1.134783268 1.132 7.374840718 4674.121529 2.754 -0.147 -0.717 -0.814 0.503 -0.263 -0.811
1.135136008 1.132 7.87503776 4647.292417 2.697 -0.273 -0.851 -0.949 0.385 -0.392 -0.946
1.135474324 1.133 8.438254989 4620.617302 2.637 -0.404 -0.99 -1.09 0.262 -0.526 -1.087
1.135781527 1.133 9.014728363 4593.037593 2.579 -0.529 -1.123 -1.226 0.145 -0.654 -1.223
1.136083007 1.133 9.604010912 4566.673896 2.525 -0.648 -1.25 -1.355 0.033 -0.776 -1.351
1.136475682 1.133 10.21063249 4542.552967 2.472 -0.764 -1.372 -1.479 -0.074 -0.894 -1.476
1.136710405 1.133 9.769057028 4564.57135 2.51 -0.683 -1.285 -1.39 -0.001 -0.812 -1.387
1.136862516 1.134 9.228957475 4591.980128 2.56 -0.578 -1.172 -1.275 0.096 -0.703 -1.272
1.136895776 1.134 9.112816912 4597.269885 2.57 -0.556 -1.148 -1.251 0.117 -0.681 -1.248
1.136986852 1.134 9.34657822 4586.696458 2.548 -0.604 -1.199 -1.302 0.073 -0.729 -1.299
1.137227654 1.134 10.00581905 4557.220056 2.489 -0.731 -1.335 -1.44 -0.046 -0.86 -1.437
1.137465 1.134 10.70662631 4528.975799 2.431 -0.858 -1.471 -1.579 -0.165 -0.991 -1.576
1.137685776 1.134 11.44860693 4499.870339 2.372 -0.985 -1.605 -1.716 -0.282 -1.12 -1.713
1.137884974 1.134 12.22792158 4470.951925 2.315 -1.108 -1.737 -1.85 -0.396 -1.247 -1.847
1.138068557 1.134 13.06630059 4441.196614 2.258 -1.231 -1.868 -1.984 -0.509 -1.373 -1.981
1.138240576 1.134 13.97824489 4411.639332 2.199 -1.356 -2.002 -2.121 -0.625 -1.502 -2.118
1.138393402 1.134 14.91257514 4383.287934 2.143 -1.476 -2.131 -2.252 -0.735 -1.625 -2.249
1.138536096 1.134 15.92401745 4353.113592 2.086 -1.597 -2.26 -2.385 -0.846 -1.75 -2.382
1.138665795 1.134 16.9766754 4324.142525 2.03 -1.716 -2.389 -2.517 -0.955 -1.873 -2.514
1.138784766 1.134 18.12811489 4294.375337 1.973 -1.834 -2.514 -2.646 -1.063 -1.994 -2.643
