# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.05100739 1.049 2.875760041 4922.661804 3.539 1.746 1.242 1.161 2.325 1.654 1.164
1.051910758 1.05 3.038453853 4909.078762 3.491 1.635 1.127 1.045 2.218 1.541 1.048
1.052922606 1.051 3.246778376 4893.279241 3.434 1.499 0.988 0.905 2.087 1.405 0.908
1.053694248 1.052 3.430462252 4879.777273 3.386 1.387 0.872 0.789 1.978 1.291 0.792
1.054414749 1.052 3.627042503 4867.4332 3.338 1.273 0.755 0.671 1.867 1.176 0.674
1.055040955 1.053 3.827830027 4854.002548 3.292 1.165 0.644 0.559 1.763 1.067 0.562
1.055793047 1.054 4.103483059 4836.152643 3.232 1.025 0.499 0.413 1.628 0.925 0.416
1.056316495 1.054 4.327655132 4821.697939 3.186 0.918 0.389 0.302 1.525 0.817 0.305
1.056922197 1.055 4.627566248 4801.75503 3.128 0.783 0.249 0.161 1.396 0.68 0.164
1.057373285 1.055 4.890493036 4785.198964 3.079 0.673 0.134 0.044 1.29 0.568 0.047
1.05787921 1.056 5.240257701 4763.212971 3.02 0.537 -0.008 -0.099 1.161 0.431 -0.096
1.058345199 1.056 5.624094959 4740.23639 2.959 0.399 -0.153 -0.245 1.029 0.29 -0.242
1.05874908 1.056 6.018006394 4716.284553 2.9 0.266 -0.293 -0.386 0.903 0.154 -0.383
1.059118509 1.057 6.449895003 4691.373388 2.84 0.132 -0.433 -0.529 0.777 0.018 -0.526
1.059460521 1.057 6.923929622 4665.519404 2.779 -0.004 -0.577 -0.674 0.648 -0.121 -0.671
1.059758305 1.057 7.407175674 4639.8079 2.72 -0.133 -0.714 -0.813 0.526 -0.253 -0.81
1.060043812 1.057 7.946074725 4613.175746 2.659 -0.268 -0.856 -0.957 0.4 -0.391 -0.954
1.060303092 1.057 8.508492979 4585.640454 2.6 -0.397 -0.993 -1.096 0.279 -0.523 -1.093
1.060557485 1.058 9.070947322 4560.36916 2.544 -0.52 -1.124 -1.23 0.163 -0.649 -1.226
1.060888767 1.058 9.659455472 4535.237135 2.49 -0.638 -1.249 -1.356 0.053 -0.77 -1.353
