# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
0.0900000036 0.09 0.1216893706 2307.80973 5.22 11.177 10.573 10.312 12.978 11.198 10.39
0.1000000015 0.1 0.1331535179 2451.319952 5.186 10.719 10.116 9.852 12.52 10.74 9.929
0.1170301512 0.117 0.1509220323 2628.451695 5.146 10.152 9.551 9.282 11.929 10.169 9.358
0.1200000048 0.12 0.1539758623 2658.27557 5.14 10.073 9.471 9.201 11.803 10.083 9.275
0.1400000006 0.14 0.1733215822 2782.274658 5.104 9.664 9.062 8.79 11.211 9.647 8.856
0.1548408419 0.155 0.1869616985 2849.049534 5.082 9.423 8.821 8.55 10.884 9.393 8.612
0.1599999964 0.16 0.1914928862 2870.780582 5.075 9.345 8.743 8.473 10.779 9.311 8.533
0.200000003 0.2 0.2252955662 2997.091486 5.03 8.851 8.248 7.984 10.147 8.797 8.038
0.25 0.25 0.2648211364 3112.432919 4.988 8.379 7.776 7.52 9.572 8.311 7.568
0.3000000119 0.3 0.3030767663 3190.068436 4.95 8.005 7.399 7.151 9.142 7.928 7.196
0.3457297683 0.346 0.3449472165 3248.628126 4.898 7.663 7.054 6.811 8.762 7.578 6.853
0.3500000238 0.35 0.3491826406 3253.119373 4.894 7.632 7.023 6.781 8.729 7.548 6.822
0.4000000358 0.4 0.3905284204 3338.105052 4.854 7.303 6.688 6.452 8.35 7.208 6.49
0.4500000179 0.45 0.4391902041 3431.626398 4.803 6.96 6.336 6.106 7.958 6.853 6.14
0.5 0.5 0.4905153977 3552.221185 4.753 6.608 5.974 5.751 7.551 6.488 5.78
0.5228532553 0.523 0.5148167218 3626.602862 4.73 6.438 5.797 5.579 7.349 6.31 5.606
0.5500000119 0.55 0.5441926162 3712.786703 4.704 6.245 5.597 5.386 7.122 6.109 5.409
0.6000000238 0.6 0.5909525961 3920.125763 4.671 5.893 5.226 5.043 6.705 5.742 5.06
0.6499999762 0.65 0.6287132959 4184.080196 4.652 5.54 4.87 4.728 6.291 5.384 4.739
0.7000000477 0.7 0.6615347234 4475.07172 4.64 5.214 4.584 4.477 5.899 5.073 4.484
0.7250072956 0.725 0.6769438466 4627.005332 4.635 5.062 4.475 4.379 5.706 4.937 4.385
0.75 0.75 0.6927118944 4778.592532 4.63 4.916 4.377 4.289 5.519 4.809 4.293
0.7879664898 0.788 0.7261939808 4963.636849 4.609 4.7 4.211 4.131 5.259 4.611 4.135
0.8000000119 0.8 0.7376539033 5022.269342 4.603 4.634 4.16 4.084 5.179 4.551 4.087
