# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.8490314484 0.846 5.464527865 5067.572842 2.887 1.899 0.975 0.317 -0.156 -0.229
0.8492909074 0.846 5.841880176 5044.28946 2.829 1.781 0.849 0.184 -0.295 -0.369
0.8495197296 0.846 6.238104487 5021.113055 2.773 1.667 0.727 0.055 -0.43 -0.505
0.8497302532 0.846 6.656602823 4996.892426 2.716 1.554 0.605 -0.075 -0.566 -0.642
0.8499088287 0.846 7.075426842 4973.933791 2.663 1.449 0.492 -0.195 -0.694 -0.77
0.8500746489 0.846 7.529266075 4951.080641 2.609 1.344 0.378 -0.316 -0.822 -0.899
0.8502259254 0.846 8.010371258 4926.063433 2.556 1.24 0.266 -0.436 -0.95 -1.028
0.8503606319 0.846 8.498702852 4902.301301 2.504 1.14 0.158 -0.552 -1.073 -1.152
0.8504835963 0.846 9.01680432 4878.653792 2.453 1.043 0.051 -0.667 -1.194 -1.274
0.8505926728 0.846 9.533506013 4855.120352 2.404 0.951 -0.051 -0.776 -1.311 -1.391
0.8506926298 0.846 10.07517608 4832.813101 2.356 0.862 -0.149 -0.882 -1.423 -1.505
0.8507886529 0.846 10.6280269 4809.500785 2.309 0.775 -0.245 -0.986 -1.535 -1.617
0.8508856297 0.845 11.15199702 4790.7113 2.268 0.697 -0.331 -1.079 -1.633 -1.717
0.8509938717 0.845 11.55986187 4776.392415 2.237 0.638 -0.396 -1.148 -1.707 -1.791
0.8510378003 0.845 11.38551408 4785.198964 2.25 0.66 -0.371 -1.12 -1.676 -1.76
0.8511124849 0.845 10.97116243 4805.073111 2.282 0.713 -0.309 -1.052 -1.602 -1.685
0.8511253595 0.845 11.08032872 4800.649512 2.273 0.698 -0.326 -1.07 -1.621 -1.704
0.8512038589 0.845 11.75851953 4774.193311 2.221 0.603 -0.433 -1.185 -1.744 -1.828
0.8512827158 0.845 12.52716059 4746.789795 2.166 0.504 -0.544 -1.305 -1.872 -1.958
0.8513564467 0.844 13.3368309 4718.456982 2.111 0.406 -0.654 -1.425 -2 -2.087
0.8514234424 0.844 14.19883279 4690.293284 2.058 0.311 -0.762 -1.542 -2.125 -2.213
0.8514861465 0.844 15.10611007 4661.22428 2.003 0.216 -0.87 -1.659 -2.251 -2.34
0.8515415192 0.843 16.02701505 4633.402194 1.952 0.125 -0.974 -1.772 -2.369 -2.46
0.8515940309 0.843 17.02364855 4605.746174 1.898 0.032 -1.08 -1.887 -2.489 -2.582
0.8516421318 0.843 18.09058641 4577.201167 1.846 -0.06 -1.185 -2.001 -2.608 -2.703
0.8516870737 0.842 19.23324859 4547.785786 1.792 -0.15 -1.289 -2.115 -2.729 -2.826
0.8517270088 0.842 20.41515327 4519.6 1.741 -0.236 -1.388 -2.225 -2.845 -2.945
0.8517645597 0.841 21.64475353 4491.588901 1.689 -0.323 -1.487 -2.336 -2.962 -3.064
0.8517987728 0.841 22.94841235 4463.751406 1.638 -0.407 -1.585 -2.444 -3.077 -3.182
0.8518306017 0.84 24.34179748 4435.06511 1.586 -0.489 -1.681 -2.553 -3.192 -3.3
0.8518593311 0.839 25.79007736 4406.563167 1.536 -0.569 -1.774 -2.658 -3.303 -3.414
0.8518865108 0.839 27.34340813 4379.252635 1.485 -0.648 -1.869 -2.765 -3.417 -3.531
0.8519117236 0.838 28.98362118 4350.107606 1.434 -0.723 -1.962 -2.871 -3.532 -3.65
