# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
2.049999952 2.05 1.609728543 9587.381299 4.334 1.651 1.683 1.675 1.672 1.674 1.675
2.099999905 2.099 1.634754889 9752.141632 4.331 1.596 1.631 1.625 1.608 1.618 1.625
2.147074461 2.146 1.658641948 9901.477388 4.328 1.544 1.582 1.578 1.55 1.567 1.578
2.150000095 2.149 1.659405957 9910.601186 4.327 1.541 1.579 1.575 1.546 1.563 1.575
2.200000048 2.199 1.685204635 10069.31669 4.324 1.486 1.527 1.525 1.485 1.509 1.525
2.25 2.249 1.712587007 10221.15561 4.32 1.433 1.476 1.475 1.425 1.455 1.475
2.299999952 2.299 1.740013608 10370.50726 4.316 1.379 1.425 1.426 1.365 1.401 1.425
2.305063486 2.304 1.742419187 10387.23602 4.315 1.374 1.42 1.421 1.359 1.396 1.42
2.400000095 2.399 1.795364547 10665.96121 4.307 1.274 1.324 1.328 1.25 1.296 1.328
2.505776405 2.505 1.854183213 10964.78196 4.298 1.166 1.219 1.227 1.131 1.188 1.226
2.599999905 2.6 1.910084784 11227.93785 4.289 1.072 1.127 1.138 1.028 1.093 1.137
2.785490036 2.786 2.022332889 11719.25489 4.268 0.888 0.949 0.964 0.83 0.91 0.963
2.799999952 2.8 2.032603387 11757.09426 4.267 0.874 0.935 0.95 0.815 0.896 0.949
2.922327518 2.923 2.11082702 12067.0191 4.253 0.757 0.821 0.838 0.69 0.779 0.837
3 3 2.160989441 12260.26903 4.243 0.683 0.748 0.768 0.611 0.705 0.766
3.067000389 3.067 2.207763987 12419.38242 4.235 0.62 0.687 0.707 0.544 0.642 0.706
3.200000048 3.199 2.304372293 12729.16746 4.216 0.494 0.563 0.585 0.411 0.516 0.584
3.266124725 3.265 2.352624659 12876.56427 4.206 0.432 0.502 0.526 0.346 0.454 0.524
3.381816864 3.38 2.443726761 13131.06648 4.188 0.324 0.396 0.421 0.233 0.346 0.419
3.400000095 3.398 2.461232521 13167.39913 4.185 0.307 0.379 0.404 0.215 0.329 0.403
3.440816164 3.439 2.490879078 13255.61861 4.179 0.269 0.342 0.368 0.176 0.292 0.366
3.543471098 3.541 2.580789867 13464.80288 4.161 0.174 0.248 0.275 0.076 0.196 0.273
3.599999905 3.598 2.631798559 13573.75481 4.151 0.12 0.195 0.223 0.02 0.143 0.221
3.714175701 3.712 2.739382297 13787.95953 4.129 0.012 0.089 0.117 -0.091 0.035 0.116
3.799999952 3.798 2.829779818 13937.98523 4.112 -0.071 0.006 0.036 -0.178 -0.049 0.034
3.8424263 3.841 2.873112587 14008.76984 4.103 -0.112 -0.034 -0.004 -0.22 -0.089 -0.006
3.966147661 3.966 3.021709047 14197.11172 4.073 -0.238 -0.159 -0.128 -0.35 -0.216 -0.13
4 4.001 3.065156439 14242.95165 4.064 -0.274 -0.195 -0.164 -0.386 -0.251 -0.165
4.078499317 4.078 3.172872677 14341.67907 4.043 -0.357 -0.277 -0.245 -0.471 -0.334 -0.247
4.18077755 4.179 3.323935936 14454.39771 4.013 -0.469 -0.388 -0.356 -0.585 -0.446 -0.358
4.199999809 4.198 3.354691937 14471.04853 4.007 -0.49 -0.41 -0.378 -0.607 -0.468 -0.38
4.250993252 4.249 3.438370284 14517.77295 3.99 -0.548 -0.468 -0.435 -0.665 -0.526 -0.437
4.331459522 4.329 3.59544496 14561.29499 3.961 -0.647 -0.566 -0.533 -0.765 -0.624 -0.535
4.400000095 4.397 3.739836749 14584.78395 3.933 -0.735 -0.655 -0.621 -0.854 -0.713 -0.623
4.401000977 4.398 3.739836749 14584.78395 3.933 -0.737 -0.656 -0.623 -0.855 -0.714 -0.625
4.506540775 4.504 3.993490401 14584.78395 3.886 -0.879 -0.799 -0.765 -0.998 -0.857 -0.767
4.587555885 4.584 4.231093717 14541.1917 3.844 -1 -0.92 -0.886 -1.119 -0.978 -0.888
4.599999905 4.597 4.268277478 14527.80494 3.837 -1.02 -0.94 -0.907 -1.139 -0.998 -0.909
4.66122818 4.659 4.483866202 14454.39771 3.8 -1.121 -1.042 -1.008 -1.239 -1.099 -1.011
4.746646404 4.744 4.842310621 14298.81344 3.742 -1.273 -1.195 -1.163 -1.389 -1.252 -1.165
4.800000191 4.798 5.11743865 14151.41933 3.698 -1.382 -1.305 -1.273 -1.496 -1.361 -1.275
4.819506645 4.818 5.223392304 14096.13337 3.682 -1.422 -1.346 -1.314 -1.535 -1.401 -1.316
4.879967689 4.878 5.622800112 13870.75178 3.624 -1.561 -1.486 -1.456 -1.671 -1.54 -1.457
4.936404228 4.935 6.054142582 13623.8546 3.564 -1.7 -1.627 -1.598 -1.806 -1.679 -1.6
