# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:14 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
 1200 0.8552333117  0.629 -0.204
 1200 0.8552826643  0.629 -0.203
 1200 0.8552951217  0.629 -0.203
 1200 0.8553563356  0.629 -0.201
 1200 0.8554157019  0.629 -0.201
 1200 0.8554775119  0.628 -0.202
 1200 0.8555399776  0.626 -0.203
 1200 0.8555992842  0.624 -0.205
 1200 0.8556633592  0.620 -0.209
 1200 0.8557258844  0.616 -0.214
 1200 0.8557384610  0.615 -0.215
 1200 0.8557955027  0.610 -0.221
 1200 0.8558546305  0.605 -0.229
 1200 0.8559164405  0.597 -0.238
 1200 0.8559755683  0.589 -0.248
 1200 0.8560324311  0.581 -0.260
 1200 0.8560894132  0.571 -0.272
 1200 0.8561471701  0.561 -0.284
 1200 0.8562040925  0.557 -0.289
 1200 0.8562660813  0.543 -0.307
 1200 0.8563243151  0.521 -0.335
 1200 0.8563832641  0.481 -0.386
 1200 0.8564406037  0.417 -0.466
 1200 0.8564746976  0.345 -0.555
 1200 0.8564911485  0.276 -0.641
 1200 0.8564999104  0.197 -0.738
 1200 0.8565040231  0.124 -0.829
 1200 0.8565063477  0.050 -0.919
 1200 0.8565075994 -0.013 -0.997
 1200 0.8565081954 -0.048 -1.041
 1200 0.8565090895 -0.121 -1.127
 1200 0.8565101027 -0.201 -1.222
 1200 0.8565111160 -0.253 -1.286
 1200 0.8565138578 -0.269 -1.304
 1200 0.8565165997 -0.223 -1.249
