# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:15:37 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.014082 -0.02000 9.00000 0.0900000036 1.0816895962    0.090 -3.378  3.3682  5.195    0  0.000  0.545     0.00     0.00 -1 -4.47e-17      0.00 7.126e-01 2.733e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 13.216 22.488 19.852 18.019 15.866 13.617 11.140 10.528 10.244
0.014082 -0.02000 9.00000 0.1000000015 1.1711064577    0.100 -3.220  3.3920  5.178    0  0.000  0.545     0.00     0.00 -1 -6.22e-17      0.00 7.126e-01 2.733e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 12.820 22.059 19.441 17.614 15.467 13.221 10.744 10.134 9.847
0.014082 -0.02000 9.00000 0.1200000048 1.3193155527    0.120 -2.965  3.4267  5.141    0  0.000  0.545     0.00     0.00 -1 -1.06e-16      0.00 7.125e-01 2.734e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 12.183 20.818 18.408 16.623 14.608 12.451 10.131 9.520 9.227
0.014082 -0.02000 9.00000 0.1209750026 1.3257075548    0.121 -2.956  3.4277  5.140    0  0.000  0.545     0.00     0.00 -1 -1.08e-16      0.00 7.125e-01 2.734e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 12.161 20.738 18.346 16.566 14.563 12.416 10.112 9.500 9.207
0.014082 -0.02000 9.00000 0.1400000006 1.4384527206    0.140 -2.785  3.4460  5.105    0  0.000  0.545     0.00     0.00 -1 -1.55e-16      0.00 7.125e-01 2.734e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 11.733 19.362 17.251 15.551 13.758 11.763 9.728 9.113 8.819
0.014082 -0.02000 9.00000 0.1464374363 1.4721722603    0.146 -2.738  3.4506  5.096    0  0.000  0.545     0.00     0.00 -1  -1.7e-16      0.00 7.124e-01 2.735e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 11.616 19.022 16.975 15.293 13.550 11.594 9.621 9.005 8.712
0.014082 -0.02000 9.00000 0.1599999964 1.5372931957    0.160 -2.645  3.4595  5.077    0  0.000  0.545     0.00     0.00 -1 -2.06e-16      0.00 7.124e-01 2.736e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 11.381 18.358 16.436 14.780 13.135 11.265 9.410 8.793 8.501
0.014082 -0.02000 9.00000 0.2000000030 1.6938791275    0.200 -2.429  3.4782  5.033    0  0.000  0.545     0.00     0.00 -1 -3.19e-16      0.00 7.122e-01 2.737e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 10.843 17.042 15.330 13.732 12.267 10.564 8.916 8.298 8.015
0.014082 -0.02000 9.00000 0.2500000000 1.8403258324    0.250 -2.227  3.4946  4.994    0  0.000  0.545     0.00     0.00 -1 -4.75e-16      0.00 7.122e-01 2.737e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 10.338 15.960 14.392 12.827 11.494 9.947 8.453 7.832 7.560
0.014082 -0.02000 9.00000 0.3144076169 1.9808984995    0.314 -2.024  3.5078  4.943    0  0.000  0.545     0.00     0.00 -1 -7.18e-16      0.00 7.124e-01 2.735e-01 2.533e-03 6.836e-04 6.200e-03 -1.000 1.409e-02 9.830 15.055 13.582 12.059 10.813 9.369 7.975 7.351 7.089
