# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
# Part of CMD3.3-bar_age.dat
#Gyr     Mini       MIc
 6 0.0900000036  13.733
 6 0.1000000015  13.274
 6 0.1150201410  12.752
 6 0.1200000048  12.504
 6 0.1400000006  11.796
 6 0.1536031365  11.446
 6 0.1599999964  11.294
 6 0.2000000030  10.584
 6 0.2500000000   9.949
 6 0.3000000119   9.486
 6 0.3307198286   9.218
 6 0.3500000238   9.062
 6 0.4000000358   8.658
 6 0.4500000179   8.243
 6 0.5000000000   7.809
 6 0.5124659538   7.688
 6 0.5500000119   7.341
 6 0.6000000238   6.887
 6 0.6499999762   6.434
 6 0.7000000477   6.003
 6 0.7274487019   5.772
 6 0.7500000000   5.588
 6 0.7508086562   5.582
 6 0.7872297168   5.311
 6 0.8000000119   5.218
 6 0.8019528985   5.204
 6 0.8322835565   4.988
 6 0.8500000238   4.865
 6 0.8782957196   4.670
 6 0.8999999762   4.524
 6 0.9105030894   4.454
 6 0.9254391789   4.355
 6 0.9396342039   4.260
 6 0.9499999881   4.191
 6 0.9536364079   4.166
 6 0.9663107991   4.081
 6 0.9785324335   3.998
 6 1.0000000000   3.852
 6 1.0076662302   3.798
 6 1.0190556049   3.719
 6 1.0296818018   3.646
 6 1.0406099558   3.572
 6 1.0499999523   3.507
 6 1.0625385046   3.416
 6 1.0767481327   3.306
 6 1.0787981749   3.290
 6 1.0900194645   3.198
 6 1.1000000238   3.112
 6 1.1098278761   3.023
 6 1.1185467243   2.940
 6 1.1220349073   2.906
 6 1.1277060509   2.848
 6 1.1368023157   2.753
 6 1.1448160410   2.671
 6 1.1499999762   2.624
 6 1.1508424282   2.616
 6 1.1548576355   2.606
 6 1.1579464674   2.629
 6 1.1597322226   2.652
 6 1.1608961821   2.666
 6 1.1619213820   2.671
 6 1.1629163027   2.668
 6 1.1641386747   2.642
 6 1.1655957699   2.589
 6 1.1661652327   2.561
 6 1.1671853065   2.497
 6 1.1686655283   2.397
 6 1.1701816320   2.282
 6 1.1714273691   2.179
 6 1.1728097200   2.053
 6 1.1738613844   1.949
 6 1.1750701666   1.820
 6 1.1759516001   1.718
 6 1.1769965887   1.586
 6 1.1778732538   1.463
 6 1.1787064075   1.337
 6 1.1794538498   1.211
 6 1.1801421642   1.084
 6 1.1807304621   0.965
 6 1.1812705994   0.844
 6 1.1817553043   0.725
 6 1.1822004318   0.606
 6 1.1825962067   0.492
 6 1.1829613447   0.380
 6 1.1833044291   0.267
 6 1.1836339235   0.159
 6 1.1840493679   0.057
 6 1.1841354370   0.043
 6 1.1843992472   0.118
 6 1.1845703125   0.204
 6 1.1846077442   0.223
 6 1.1846566200   0.203
 6 1.1849275827   0.091
 6 1.1851983070  -0.023
 6 1.1854493618  -0.135
 6 1.1856820583  -0.245
 6 1.1858966351  -0.356
 6 1.1860904694  -0.463
 6 1.1862715483  -0.571
 6 1.1864387989  -0.678
 6 1.1865907907  -0.783
 6 1.1867321730  -0.889
 6 1.1868598461  -0.991
 6 1.1869776249  -1.092
 6 1.1870850325  -1.191
 6 1.1871838570  -1.289
 6 1.1872767210  -1.388
 6 1.1873604059  -1.484
 6 1.1874376535  -1.579
 6 1.1875104904  -1.674
 6 1.1875746250  -1.764
 6 1.1876366138  -1.860
 6 1.1876922846  -1.953
 6 1.1877430677  -2.044
 6 1.1877918243  -2.137
 6 1.1878350973  -2.226
 6 1.1878752708  -2.313
 6 1.1879138947  -2.401
 6 1.1879485846  -2.486
 6 1.1879810095  -2.569
 6 1.1880114079  -2.650
 6 1.1880401373  -2.731
 6 1.1880723238  -2.825
 6 1.1881021261  -2.915
 6 1.1881294250  -3.001
 6 1.1881546974  -3.080
 6 1.1881781816  -3.155
 6 1.1881999969  -3.216
 6 1.1882203817  -3.277
 6 1.1882392168  -3.317
 6 1.1882567406  -3.355
 6 1.1882729530  -3.365
 6 1.1882883310  -3.366
 6 1.1883025169  -3.334
 6 1.1883161068  -3.287
 6 1.1883323193  -3.235
 6 1.1883323193  -0.221
 6 1.1884926558  -0.246
 6 1.1886569262  -0.258
 6 1.1888262033  -0.258
 6 1.1889942884  -0.254
 6 1.1891628504  -0.249
 6 1.1893347502  -0.244
 6 1.1895058155  -0.240
 6 1.1896717548  -0.235
 6 1.1898359060  -0.232
 6 1.1900130510  -0.229
 6 1.1901749372  -0.226
 6 1.1903593540  -0.224
 6 1.1905395985  -0.222
 6 1.1906340122  -0.222
 6 1.1906728745  -0.221
 6 1.1908391714  -0.220
