# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:14 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0025572 -0.78000 10.07918 0.5581501722 2.2902929783    0.557 -0.938  3.6590  4.710    1  0.000  0.544     0.00     0.00 -1 -8.58e-15      0.00 7.739e-01 2.237e-01 4.318e-04 1.166e-04 1.058e-03 -1.000 2.402e-03 7.114 9.327 8.593 7.623 6.946 6.411 5.678 5.078 4.974
0.0025572 -0.78000 10.07918 0.5730196238 2.3018400669    0.572 -0.875  3.6687  4.698    1  0.000  0.544     0.00     0.00 -1  -9.9e-15      0.00 7.797e-01 2.179e-01 4.237e-04 1.144e-04 1.038e-03 -1.000 2.348e-03 6.959 8.983 8.329 7.405 6.765 6.257 5.552 4.971 4.875
0.0025572 -0.78000 10.07918 0.6203744411 2.3344106674    0.620 -0.681  3.6990  4.660    1  0.000  0.544     0.00     0.00 -1 -1.55e-14      0.00 7.857e-01 2.120e-01 4.144e-04 1.119e-04 1.016e-03 -1.000 2.316e-03 6.474 7.913 7.550 6.751 6.220 5.774 5.173 4.681 4.603
0.0025572 -0.78000 10.07918 0.6268085241 2.3384015560    0.626 -0.655  3.7032  4.654    1  0.000  0.544     0.00     0.00 -1 -1.65e-14      0.00 7.866e-01 2.111e-01 4.130e-04 1.116e-04 1.013e-03 -1.000 2.301e-03 6.407 7.778 7.452 6.667 6.148 5.710 5.122 4.642 4.566
0.0025572 -0.78000 10.07918 0.6422417760 2.3476004601    0.642 -0.591  3.7131  4.640    1  0.000  0.544     0.00     0.00 -1 -1.92e-14      0.00 7.889e-01 2.088e-01 4.098e-04 1.107e-04 1.005e-03 -1.000 2.292e-03 6.247 7.460 7.218 6.468 5.978 5.557 5.001 4.547 4.475
0.0025572 -0.78000 10.07918 0.6572073102 2.3560478687    0.657 -0.529  3.7225  4.626    1  0.000  0.543     0.00     0.00 -1 -1.46e-14      0.00 7.912e-01 2.065e-01 4.065e-04 1.099e-04 9.976e-04 -1.000 2.284e-03 6.093 7.166 6.999 6.282 5.817 5.412 4.883 4.454 4.387
0.0025572 -0.78000 10.07918 0.6677293777 2.3617269993    0.667 -0.485  3.7289  4.615    1  0.000  0.543     0.00     0.00 -1 -2.47e-14      0.00 7.928e-01 2.049e-01 4.042e-04 1.092e-04 9.921e-04 -1.000 2.253e-03 5.983 6.969 6.848 6.154 5.704 5.309 4.800 4.387 4.322
0.0025572 -0.78000 10.07918 0.6714178920 2.3636693954    0.671 -0.470  3.7311  4.611    1  0.000  0.543     0.00     0.00 -1 -2.57e-14      0.00 7.935e-01 2.043e-01 4.029e-04 1.089e-04 9.896e-04 -1.000 2.239e-03 5.945 6.903 6.797 6.110 5.665 5.273 4.770 4.362 4.299
0.0025572 -0.78000 10.07918 0.6857892871 2.3710091114    0.685 -0.410  3.7392  4.592    1  0.000  0.542     0.00     0.00 -1 -2.98e-14      0.00 7.961e-01 2.016e-01 3.978e-04 1.078e-04 9.796e-04 -1.000 2.209e-03 5.794 6.650 6.599 5.940 5.513 5.133 4.654 4.265 4.205
0.0025572 -0.78000 10.07918 0.6986593604 2.3772881031    0.698 -0.355  3.7462  4.574    1  0.000  0.541     0.00     0.00 -1 -3.42e-14      0.00 7.986e-01 1.992e-01 3.932e-04 1.068e-04 9.705e-04 -1.000 2.210e-03 5.658 6.435 6.425 5.788 5.377 5.009 4.547 4.173 4.117
0.0025572 -0.78000 10.07918 0.7108542323 2.3829970360    0.710 -0.302  3.7527  4.555    1  0.000  0.540     0.00     0.00 -1 -1.02e-15      0.00 8.010e-01 1.968e-01 3.888e-04 1.057e-04 9.614e-04 -1.000 2.142e-03 5.526 6.234 6.259 5.644 5.247 4.890 4.444 4.083 4.031
0.0025572 -0.78000 10.07918 0.7161926627 2.3854258060    0.715 -0.279  3.7555  4.545    1  0.000  0.540     0.00     0.00 -1  -1.3e-14      0.00 8.021e-01 1.958e-01 3.868e-04 1.053e-04 9.575e-04 -1.000 2.142e-03 5.467 6.147 6.186 5.581 5.190 4.837 4.398 4.042 3.992
0.0025572 -0.78000 10.07918 0.7219653726 2.3880059719    0.721 -0.253  3.7583  4.534    1  0.000  0.539     0.00     0.00 -1  -1.6e-14      0.00 8.035e-01 1.944e-01 3.843e-04 1.047e-04 9.521e-04 -1.000 2.144e-03 5.403 6.055 6.107 5.512 5.127 4.778 4.347 3.996 3.947
0.0025572 -0.78000 10.07918 0.7324624658 2.3925778866    0.732 -0.206  3.7632  4.513    1  0.000  0.538     0.00     0.00 -1 -2.35e-14      0.00 8.061e-01 1.918e-01 3.795e-04 1.035e-04 9.419e-04 -1.000 2.110e-03 5.284 5.889 5.964 5.386 5.012 4.671 4.251 3.909 3.864
0.0025572 -0.78000 10.07918 0.7426410913 2.3968696594    0.742 -0.158  3.7678  4.490    1  0.000  0.537     0.00     0.00 -1 -3.41e-14      0.00 8.088e-01 1.891e-01 3.748e-04 1.024e-04 9.317e-04 -1.000 2.115e-03 5.165 5.730 5.823 5.262 4.896 4.563 4.154 3.820 3.778
0.0025572 -0.78000 10.07918 0.7517977953 2.4006164074    0.751 -0.114  3.7717  4.467    1  0.000  0.536     0.00     0.00 -1 -2.96e-15      0.00 8.112e-01 1.867e-01 3.705e-04 1.013e-04 9.221e-04 -1.000 2.117e-03 5.055 5.586 5.693 5.147 4.790 4.462 4.063 3.736 3.696
