# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin5.dat
#0.01Gyr     Mini       MIc
   300 0.0900000036 13.692
   300 0.1000000015 13.225
   300 0.1153709292 12.637
   300 0.1200000048 12.383
   300 0.1400000006 11.704
   300 0.1599999964 11.211
   300 0.2000000030 10.513
   300 0.2500000000 9.901
   300 0.3000000119 9.453
   300 0.3362760246 9.132
   300 0.3500000238 9.018
   300 0.4000000358 8.620
   300 0.4500000477 8.205
   300 0.5000000000 7.773
   300 0.5409112573 7.399
   300 0.5500000119 7.321
   300 0.6000000238 6.878
   300 0.6098187566 6.789
   300 0.6499999762 6.440
   300 0.6850935817 6.148
   300 0.7000000477 6.027
   300 0.7285389304 5.800
   300 0.7500000000 5.635
   300 0.7638174295 5.536
   300 0.7996139526 5.291
   300 0.8269981146 5.111
   300 0.8492279053 4.970
   300 0.8592965007 4.907
   300 0.8988418579 4.669
   300 0.8998453021 4.663
   300 0.9293208122 4.494
   300 0.9484557509 4.386
   300 0.9695938230 4.268
   300 0.9957162738 4.124
   300 0.9980697036 4.112
   300 1.0190241337 3.997
   300 1.0403126478 3.882
   300 1.0476835966 3.842
   300 1.0657217503 3.745
   300 1.0851442814 3.641
   300 1.0972975492 3.575
   300 1.1034784317 3.542
   300 1.1206543446 3.451
   300 1.1359411478 3.370
   300 1.1469115019 3.312
   300 1.1642740965 3.225
   300 1.1847460270 3.126
   300 1.1965254545 3.070
   300 1.2042839527 3.035
   300 1.2461395264 2.846
   300 1.2815990448 2.683
   300 1.2957533598 2.618
   300 1.3191893101 2.508
   300 1.3453092575 2.386
   300 1.3453673124 2.386
   300 1.3577979803 2.326
   300 1.3838773966 2.196
   300 1.3949812651 2.139
   300 1.3957047462 2.135
   300 1.4105832577 2.051
   300 1.4194551706 1.952
   300 1.4233527184 1.872
   300 1.4245066643 1.800
   300 1.4249876738 1.729
   300 1.4252276421 1.679
   300 1.4253072739 1.708
   300 1.4254548550 1.751
   300 1.4258171320 1.729
   300 1.4269737005 1.689
   300 1.4294581413 1.697
   300 1.4313368797 1.745
   300 1.4326344728 1.798
   300 1.4335061312 1.842
   300 1.4343224764 1.883
   300 1.4351099730 1.906
   300 1.4361327887 1.915
   300 1.4376113415 1.858
   300 1.4380899668 1.825
   300 1.4386696815 1.765
   300 1.4400836229 1.602
   300 1.4412864447 1.444
   300 1.4423615932 1.294
   300 1.4435057640 1.128
   300 1.4445044994 0.980
   300 1.4445953369 0.966
   300 1.4447778463 0.931
   300 1.4454127550 0.810
   300 1.4459582567 0.708
   300 1.4465141296 0.606
   300 1.4471309185 0.488
   300 1.4476122856 0.390
   300 1.4480408430 0.299
   300 1.4485396147 0.191
   300 1.4489639997 0.102
   300 1.4494209290 0.012
   300 1.4498445988 -0.063
   300 1.4503442049 -0.137
   300 1.4509063959 -0.199
   300 1.4513093233 -0.173
   300 1.4516345263 -0.098
   300 1.4518462420 -0.031
   300 1.4520227909 0.038
   300 1.4522176981 0.118
   300 1.4524327517 0.201
   300 1.4526269436 0.263
   300 1.4529639482 0.188
   300 1.4535331726 0.075
   300 1.4540910721 -0.033
   300 1.4546351433 -0.139
   300 1.4551773071 -0.248
   300 1.4556887150 -0.356
   300 1.4561731815 -0.463
   300 1.4566246271 -0.567
   300 1.4570488930 -0.671
   300 1.4574627876 -0.778
   300 1.4578347206 -0.881
   300 1.4581888914 -0.985
   300 1.4585106373 -1.086
   300 1.4588105679 -1.187
   300 1.4590872526 -1.284
   300 1.4593484402 -1.383
   300 1.4595903158 -1.480
   300 1.4598121643 -1.576
   300 1.4600174427 -1.671
   300 1.4602078199 -1.764
   300 1.4603827000 -1.857
   300 1.4605476856 -1.949
   300 1.4606977701 -2.038
   300 1.4608407021 -2.130
   300 1.4609708786 -2.221
   300 1.4610933065 -2.311
   300 1.4612082243 -2.402
   300 1.4613118172 -2.488
   300 1.4614106417 -2.575
   300 1.4615037441 -2.662
   300 1.4615883827 -2.745
   300 1.4616687298 -2.828
   300 1.4617452621 -2.912
   300 1.4618300200 -3.009
   300 1.4619091749 -3.105
   300 1.4619827271 -3.199
   300 1.4620505571 -3.286
   300 1.4621133804 -3.372
   300 1.4621720314 -3.453
   300 1.4622262716 -3.528
   300 1.4622759819 -3.596
   300 1.4623241425 -3.657
   300 1.4623678923 -3.713
   300 1.4624099731 -3.753
   300 1.4624514580 -3.790
   300 1.4624514580 -0.295
   300 1.4629411697 -0.330
   300 1.4634283781 -0.343
   300 1.4639221430 -0.344
   300 1.4644201994 -0.342
   300 1.4649217129 -0.340
   300 1.4654228687 -0.338
   300 1.4659272432 -0.336
   300 1.4664387703 -0.334
   300 1.4669399261 -0.333
   300 1.4674149752 -0.332
   300 1.4679275751 -0.333
   300 1.4684015512 -0.333
   300 1.4689134359 -0.334
   300 1.4693958759 -0.335
   300 1.4694445133 -0.335
   300 1.4695065022 -0.335
   300 1.4700002670 -0.336
   300 1.4704822302 -0.337
   300 1.4709823132 -0.339
   300 1.4714821577 -0.342
   300 1.4719723463 -0.345
   300 1.4724612236 -0.349
   300 1.4729588032 -0.353
   300 1.4730812311 -0.354
   300 1.4734417200 -0.358
   300 1.4739317894 -0.363
   300 1.4744316339 -0.370
   300 1.4749034643 -0.378
   300 1.4753776789 -0.387
   300 1.4758559465 -0.398
   300 1.4763338566 -0.410
   300 1.4768109322 -0.418
   300 1.4772933722 -0.439
   300 1.4777761698 -0.453
   300 1.4782603979 -0.502
   300 1.4787540436 -0.593
   300 1.4789992571 -0.688
   300 1.4791183472 -0.781
