# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:16:24 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
  200 0.0900000036 18.132 13.709
  200 0.1000000015 17.654 13.248
  200 0.1007522941 17.625 13.221
  200 0.1047982275 17.475 13.076
  200 0.1200000048 16.590 12.432
  200 0.1270465404 16.184 12.172
  200 0.1400000006 15.520 11.744
  200 0.1413833201 15.463 11.706
  200 0.1599999964 14.747 11.247
  200 0.2000000030 13.699 10.547
  200 0.2500000000 12.798  9.931
  200 0.3127152026 12.048  9.366
  200 0.3371069729 11.778  9.151
  200 0.3478273451 11.669  9.068
  200 0.3500000238 11.647  9.051
  200 0.3946992159 11.163  8.688
  200 0.4000000358 11.110  8.648
  200 0.4499999881 10.562  8.235
  200 0.4685132504 10.338  8.069
  200 0.5000000000  9.980  7.804
  200 0.5399792194  9.466  7.442
  200 0.5500000119  9.346  7.357
  200 0.5516499281  9.323  7.342
  200 0.6000000238  8.701  6.918
  200 0.6193601489  8.444  6.746
  200 0.6499999762  8.057  6.486
  200 0.7000000477  7.418  6.078
  200 0.7432516217  6.904  5.740
  200 0.7500000000  6.828  5.689
  200 0.7616097331  6.716  5.608
  200 0.7998966575  6.364  5.350
  200 0.8497933149  5.948  5.035
  200 0.8908252716  5.640  4.790
  200 0.8996899128  5.576  4.740
  200 0.9143947363  5.472  4.657
  200 0.9495865107  5.233  4.468
  200 0.9746653438  5.071  4.334
  200 0.9994832277  4.915  4.207
  200 1.0146200657  4.821  4.129
  200 1.0493797064  4.612  3.955
  200 1.0720806122  4.480  3.842
  200 1.0992764235  4.324  3.710
  200 1.1174160242  4.223  3.622
  200 1.1415995359  4.090  3.507
  200 1.1491730213  4.048  3.471
  200 1.1791185141  3.888  3.331
  200 1.1990698576  3.783  3.239
  200 1.2489664555  3.535  3.019
  200 1.2988630533  3.302  2.808
  200 1.3036808968  3.280  2.789
  200 1.3487597704  3.082  2.606
  200 1.3751766682  2.968  2.500
  200 1.3986563683  2.869  2.405
  200 1.4233032465  2.764  2.304
  200 1.4485529661  2.657  2.200
  200 1.4654386044  2.588  2.130
  200 1.4857121706  2.507  2.045
  200 1.4984495640  2.457  1.992
  200 1.5033476353  2.438  1.971
  200 1.5226552486  2.365  1.889
  200 1.5418250561  2.294  1.807
  200 1.5483462811  2.271  1.779
  200 1.5557802916  2.244  1.747
  200 1.5751397610  2.178  1.665
  200 1.5932679176  2.120  1.586
  200 1.5982428789  2.104  1.565
  200 1.6055274010  2.081  1.534
  200 1.6218732595  2.030  1.462
  200 1.6382596493  1.963  1.378
  200 1.6395672560  1.957  1.371
  200 1.6467192173  1.808  1.256
  200 1.6478378773  1.734  1.206
  200 1.6481394768  1.688  1.175
  200 1.6482931376  1.660  1.156
  200 1.6484905481  1.592  1.111
  200 1.6486109495  1.536  1.075
