# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:11:24 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
    5 0.0900000036 15.665 11.551
    5 0.0983831584 15.508 11.392
    5 0.1000000015 15.479 11.363
    5 0.1015979126 15.453 11.337
    5 0.1143073514 15.006 11.025
    5 0.1199999973 14.774 10.875
    5 0.1272965074 14.533 10.715
    5 0.1399999857 14.154 10.459
    5 0.1599999964 13.652 10.123
    5 0.1974234581 12.900  9.623
    5 0.2000000030 12.856  9.593
    5 0.2441678941 12.217  9.160
    5 0.2500000000 12.141  9.110
    5 0.2880490422 11.705  8.817
    5 0.3000000119 11.594  8.738
    5 0.3239074945 11.384  8.588
    5 0.3500000238 11.174  8.435
    5 0.3895873129 10.870  8.215
    5 0.4000000358 10.798  8.163
    5 0.4500000179 10.425  7.894
    5 0.4732999802 10.249  7.771
    5 0.5000000000 10.065  7.639
    5 0.5145683289  9.959  7.565
    5 0.5500000119  9.665  7.355
    5 0.5854895115  9.345  7.142
    5 0.5935821533  9.267  7.090
    5 0.6000000238  9.190  7.040
    5 0.6205537915  8.931  6.875
    5 0.6499999762  8.525  6.621
    5 0.6597105265  8.372  6.528
    5 0.6789789796  8.047  6.329
    5 0.6980942488  7.708  6.122
    5 0.7000000477  7.674  6.101
    5 0.7111710906  7.392  5.955
