# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin6.dat
#0.01Gyr     Mini       MIc
   500 0.0900000036 13.638
   500 0.1000000015 13.165
   500 0.1115116701 12.737
   500 0.1200000048 12.286
   500 0.1400000006 11.620
   500 0.1496592611 11.374
   500 0.1599999964 11.136
   500 0.2000000030 10.446
   500 0.2500000000 9.840
   500 0.3000000119 9.387
   500 0.3181467652 9.227
   500 0.3500000238 8.965
   500 0.4000000358 8.565
   500 0.4500000477 8.148
   500 0.5000000000 7.711
   500 0.5483148098 7.261
   500 0.5500000119 7.246
   500 0.5698057413 7.061
   500 0.6000000238 6.796
   500 0.6499999762 6.349
   500 0.6926497817 5.984
   500 0.7000000477 5.923
   500 0.7083454728 5.854
   500 0.7381589413 5.614
   500 0.7500000000 5.523
   500 0.7577850223 5.465
   500 0.7963564992 5.188
   500 0.7990466356 5.169
   500 0.8284611702 4.966
   500 0.8480933905 4.833
   500 0.8571603894 4.773
   500 0.8857036829 4.587
   500 0.8971400261 4.515
   500 0.8994923830 4.500
   500 0.9163688421 4.392
   500 0.9329605103 4.286
   500 0.9461866617 4.203
   500 0.9594402313 4.118
   500 0.9741804004 4.024
   500 0.9882331491 3.934
   500 0.9952332973 3.889
   500 1.0011193752 3.851
   500 1.0132294893 3.772
   500 1.0248661041 3.695
   500 1.0442799330 3.567
   500 1.0489150286 3.537
   500 1.0593153238 3.469
   500 1.0784896612 3.345
   500 1.0933266878 3.241
   500 1.0984525681 3.204
   500 1.1096285582 3.120
   500 1.1219969988 3.023
   500 1.1331051588 2.931
   500 1.1423733234 2.851
   500 1.1434270144 2.842
   500 1.1502680779 2.773
   500 1.1520012617 2.752
   500 1.1553374529 2.716
   500 1.1601306200 2.670
   500 1.1666193008 2.607
   500 1.1729217768 2.545
   500 1.1798192263 2.476
   500 1.1861546040 2.423
   500 1.1901819706 2.413
   500 1.1914200783 2.421
   500 1.1926344633 2.432
   500 1.1946799755 2.467
   500 1.1961771250 2.498
   500 1.1980054379 2.516
   500 1.2001520395 2.493
   500 1.2027070522 2.409
   500 1.2029758692 2.398
   500 1.2032959461 2.383
   500 1.2052283287 2.283
   500 1.2070484161 2.175
   500 1.2090665102 2.044
   500 1.2107249498 1.927
   500 1.2120022774 1.830
   500 1.2134971619 1.707
   500 1.2148634195 1.585
   500 1.2161527872 1.457
   500 1.2172583342 1.337
   500 1.2182468176 1.221
   500 1.2191458941 1.105
   500 1.2199844122 0.986
   500 1.2207283974 0.870
   500 1.2214035988 0.755
   500 1.2220004797 0.645
   500 1.2225347757 0.539
   500 1.2230430841 0.430
   500 1.2235041857 0.323
   500 1.2239384651 0.218
   500 1.2243460417 0.118
   500 1.2247674465 0.030
   500 1.2251433134 -0.029
   500 1.2253725529 0.005
   500 1.2256606817 0.103
   500 1.2257514000 0.135
   500 1.2260059118 0.055
   500 1.2263642550 -0.057
   500 1.2267090082 -0.170
   500 1.2270290852 -0.282
   500 1.2273176908 -0.390
   500 1.2275869846 -0.499
   500 1.2278290987 -0.605
   500 1.2280575037 -0.712
   500 1.2282693386 -0.818
   500 1.2284604311 -0.923
   500 1.2286359072 -1.026
   500 1.2287939787 -1.125
   500 1.2289450169 -1.227
   500 1.2290794849 -1.324
   500 1.2292052507 -1.422
   500 1.2293214798 -1.518
   500 1.2294267416 -1.613
   500 1.2295267582 -1.708
   500 1.2296164036 -1.800
   500 1.2297005653 -1.892
   500 1.2297791243 -1.987
   500 1.2298492193 -2.078
   500 1.2299158573 -2.171
   500 1.2299770117 -2.261
   500 1.2300324440 -2.349
   500 1.2300857306 -2.438
   500 1.2301338911 -2.524
   500 1.2301788330 -2.608
   500 1.2302212715 -2.692
   500 1.2302598953 -2.773
   500 1.2303049564 -2.870
   500 1.2303460836 -2.967
   500 1.2303843498 -3.058
   500 1.2304192781 -3.146
   500 1.2304515839 -3.230
   500 1.2304817438 -3.307
   500 1.2305088043 -3.380
   500 1.2305346727 -3.442
   500 1.2305585146 -3.501
   500 1.2305810452 -3.548
   500 1.2306016684 -3.586
   500 1.2306214571 -3.611
   500 1.2306396961 -3.617
   500 1.2306569815 -3.613
   500 1.2306618690 -3.606
   500 1.2306618690 -0.266
   500 1.2308932543 -0.294
   500 1.2311156988 -0.306
   500 1.2313401699 -0.307
   500 1.2315733433 -0.304
   500 1.2318030596 -0.301
   500 1.2320333719 -0.297
   500 1.2322657108 -0.294
   500 1.2324903011 -0.290
   500 1.2327247858 -0.288
   500 1.2329394817 -0.286
   500 1.2331638336 -0.285
   500 1.2333756685 -0.283
   500 1.2335900068 -0.283
   500 1.2338200808 -0.282
   500 1.2338482141 -0.282
   500 1.2338749170 -0.282
   500 1.2341051102 -0.282
   500 1.2343432903 -0.282
   500 1.2345696688 -0.283
   500 1.2347897291 -0.284
   500 1.2350085974 -0.286
   500 1.2352272272 -0.289
   500 1.2354540825 -0.293
   500 1.2354905605 -0.293
   500 1.2355343103 -0.294
   500 1.2357543707 -0.299
   500 1.2359724045 -0.304
   500 1.2361940145 -0.312
   500 1.2362155914 -0.312
   500 1.2364102602 -0.320
   500 1.2366272211 -0.330
   500 1.2368446589 -0.342
   500 1.2370589972 -0.354
   500 1.2372742891 -0.366
   500 1.2375109196 -0.376
   500 1.2377390862 -0.411
   500 1.2379627228 -0.473
   500 1.2381386757 -0.565
   500 1.2382242680 -0.656
   500 1.2382720709 -0.756
   500 1.2382950783 -0.855
   500 1.2383060455 -0.946
   500 1.2383126020 -1.038
   500 1.2383167744 -1.124
   500 1.2383172512 -1.135
   500 1.2383173704 -1.136
   500 1.2383184433 -1.164
   500 1.2383221388 -1.262
   500 1.2383257151 -1.353
   500 1.2383292913 -1.413
   500 1.2383384705 -1.399
   500 1.2383458614 -1.318
   500 1.2383648157 -1.247
   500 1.2385282516 -1.286
   500 1.2386221886 -1.376
   500 1.2387090921 -1.473
   500 1.2387813330 -1.568
   500 1.2388426065 -1.662
   500 1.2388961315 -1.755
   500 1.2389429808 -1.847
   500 1.2389842272 -1.939
   500 1.2390211821 -2.032
   500 1.2390546799 -2.126
   500 1.2390854359 -2.218
   500 1.2391072512 -2.280
   500 1.2391344309 -2.367
   500 1.2391602993 -2.457
   500 1.2391843796 -2.547
   500 1.2392075062 -2.636
   500 1.2392308712 -2.724
   500 1.2392523289 -2.815
   500 1.2392686605 -2.907
   500 1.2392791510 -2.993
   500 1.2392879725 -3.077
   500 1.2392958403 -3.159
   500 1.2393031120 -3.235
   500 1.2393105030 -3.312
   500 1.2393168211 -3.373
   500 1.2393240929 -3.427
   500 1.2393323183 -3.470
   500 1.2393370867 -3.485
   500 1.2393381596 -3.500
   500 1.2393391132 -3.509
   500 1.2393407822 -3.509
   500 1.2393409014 -3.425
   500 1.2393410206 -3.496
   500 1.2393411398 -3.446
   500 1.2393412590 -3.474
   500 1.2393413782 -3.466
   500 1.2393414974 -3.399
   500 1.2393418550 -3.393
   500 1.2393423319 -3.460
   500 1.2393428087 -3.497
   500 1.2393432856 -3.512
   500 1.2393437624 -3.511
   500 1.2393443584 -3.495
   500 1.2393450737 -3.451
   500 1.2393460274 -3.406
   500 1.2393472195 -3.362
   500 1.2393482924 -3.332
   500 1.2393484116 -3.439
   500 1.2393485308 -3.311
   500 1.2393488884 -2.983
   500 1.2393493652 -3.018
   500 1.2393500805 -3.228
   500 1.2393509150 -3.424
   500 1.2393518686 -3.422
   500 1.2393529415 -3.322
   500 1.2393542528 -3.248
   500 1.2393556833 -3.208
   500 1.2393572330 -3.221
   500 1.2393572330 -3.378
   500 1.2393574715 -3.333
   500 1.2393577099 -3.058
   500 1.2393580675 -3.090
   500 1.2393586636 -3.266
   500 1.2393592596 -3.384
   500 1.2393600941 -3.290
   500 1.2393609285 -3.184
   500 1.2393620014 -3.124
   500 1.2393630743 -3.098
   500 1.2393643856 -3.127
   500 1.2393643856 -3.284
   500 1.2393646240 -3.343
   500 1.2393649817 -3.115
   500 1.2393653393 -3.143
   500 1.2393659353 -3.294
   500 1.2393666506 -3.337
   500 1.2393674850 -3.188
   500 1.2393684387 -3.073
   500 1.2393696308 -3.044
   500 1.2393708229 -3.029
   500 1.2393722534 -3.062
   500 1.2393723726 -3.175
   500 1.2393724918 -3.320
   500 1.2393728495 -3.171
   500 1.2393733263 -3.191
   500 1.2393739223 -3.301
   500 1.2393747568 -3.229
   500 1.2393755913 -3.062
   500 1.2393766642 -2.987
   500 1.2393779755 -2.968
   500 1.2393792868 -2.962
   500 1.2393808365 -2.994
   500 1.2393809557 -3.032
   500 1.2393810749 -3.243
   500 1.2393814325 -3.206
   500 1.2393819094 -3.223
   500 1.2393826246 -3.262
   500 1.2393834591 -3.101
   500 1.2393844128 -2.931
   500 1.2393854856 -2.899
   500 1.2393867970 -2.890
   500 1.2393882275 -2.883
   500 1.2393898964 -2.924
   500 1.2393900156 -2.882
   500 1.2393901348 -3.091
   500 1.2393904924 -3.206
   500 1.2393909693 -3.212
   500 1.2393916845 -3.134
   500 1.2393925190 -2.895
   500 1.2393934727 -2.793
   500 1.2393945456 -2.778
   500 1.2393958569 -2.769
   500 1.2393972874 -2.756
   500 1.2393988371 -2.889
   500 1.2393989563 -2.722
   500 1.2393990755 -2.825
