# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin3.dat
#0.01Gyr     Mini       MIc
   100 0.0900000036 13.617
   100 0.1000000015 13.221
   100 0.1200000048 12.451
   100 0.1209750026 12.416
   100 0.1400000006 11.763
   100 0.1464374363 11.594
   100 0.1599999964 11.265
   100 0.2000000030 10.564
   100 0.2500000000 9.947
   100 0.3144076169 9.369
   100 0.3204546869 9.315
   100 0.3489531279 9.087
   100 0.3500000238 9.079
   100 0.4000000358 8.667
   100 0.4500000179 8.252
   100 0.5000000000 7.822
   100 0.5089269280 7.738
   100 0.5500000119 7.379
   100 0.5613246560 7.275
   100 0.6000000238 6.943
   100 0.6144760251 6.816
   100 0.6343220472 6.648
   100 0.6499999762 6.518
   100 0.7000000477 6.116
   100 0.7017180324 6.102
   100 0.7500000596 5.733
   100 0.8000000119 5.399
   100 0.8500000238 5.090
   100 0.8999999762 4.802
   100 0.9038389325 4.781
   100 0.9499999881 4.539
   100 0.9953590035 4.312
   100 1.0000000000 4.290
   100 1.0159828663 4.213
   100 1.0499999523 4.054
   100 1.1000000238 3.826
   100 1.1203415394 3.736
   100 1.1499999762 3.607
   100 1.2000000477 3.397
   100 1.2500000000 3.198
   100 1.2568267584 3.172
   100 1.2999999523 3.007
   100 1.3126246929 2.961
   100 1.3500000238 2.828
   100 1.3999999762 2.660
   100 1.4393695593 2.535
   100 1.4500000477 2.502
   100 1.4837881327 2.402
   100 1.5000001192 2.354
   100 1.5453882217 2.225
   100 1.5500000715 2.212
   100 1.5856118202 2.112
   100 1.6000000238 2.072
   100 1.6212381124 2.012
   100 1.6499999762 1.930
   100 1.6578127146 1.908
   100 1.6992378235 1.788
   100 1.7000000477 1.786
   100 1.7233271599 1.718
   100 1.7500000000 1.640
   100 1.7597874403 1.611
   100 1.7895218134 1.521
   100 1.7999999523 1.488
   100 1.8175288439 1.433
   100 1.8487175703 1.332
   100 1.8500000238 1.328
   100 1.8757104874 1.243
   100 1.8996168375 1.160
   100 1.8999999762 1.158
   100 1.9080997705 1.130
   100 1.9385133982 1.018
   100 1.9500000477 0.975
   100 1.9639890194 0.922
   100 1.9903584719 0.817
   100 2.0000000000 0.777
   100 2.0096390247 0.736
   100 2.0302422047 0.647
   100 2.0480465889 0.569
   100 2.0499999523 0.560
   100 2.0512747765 0.554
   100 2.0652110577 0.490
   100 2.0814874172 0.411
   100 2.0889401436 0.374
   100 2.0968616009 0.325
   100 2.0990552902 0.308
   100 2.0999999046 0.296
   100 2.1004137993 0.289
   100 2.1008129120 0.276
   100 2.1010580063 0.258
   100 2.1012229919 0.239
   100 2.1013290882 0.235
   100 2.1013908386 0.275
   100 2.1014490128 0.309
   100 2.1015043259 0.314
   100 2.1015794277 0.282
   100 2.1016683578 0.223
   100 2.1017727852 0.164
   100 2.1018908024 0.115
   100 2.1020221710 0.078
   100 2.1021661758 0.051
   100 2.1023287773 0.031
   100 2.1025221348 0.022
   100 2.1027717590 0.027
   100 2.1030902863 0.052
   100 2.1033666134 0.090
   100 2.1036639214 0.150
   100 2.1039302349 0.219
   100 2.1041607857 0.286
   100 2.1044530869 0.368
   100 2.1046719551 0.418
   100 2.1050436497 0.422
   100 2.1054890156 0.362
   100 2.1058595181 0.267
   100 2.1061558723 0.176
   100 2.1064517498 0.080
   100 2.1067445278 -0.017
   100 2.1070296764 -0.115
   100 2.1073055267 -0.211
   100 2.1075763702 -0.306
   100 2.1078455448 -0.400
   100 2.1080474854 -0.470
   100 2.1081171036 -0.494
   100 2.1083958149 -0.591
   100 2.1084654331 -0.615
   100 2.1085336208 -0.639
   100 2.1088044643 -0.736
   100 2.1090705395 -0.832
   100 2.1093316078 -0.929
   100 2.1095874310 -1.024
   100 2.1098380089 -1.119
   100 2.1100792885 -1.212
   100 2.1103928089 -1.334
   100 2.1106581688 -1.439
   100 2.1108868122 -1.530
   100 2.1111481190 -1.637
   100 2.1114037037 -1.740
   100 2.1116864681 -1.852
   100 2.1119654179 -1.957
   100 2.1122560501 -2.052
   100 2.1124510765 -2.102
   100 2.1125073433 -2.050
   100 2.1125380993 -1.936
   100 2.1125633717 -1.820
   100 2.1125936508 -1.702
   100 2.1126313210 -1.591
   100 2.1126809120 -1.479
   100 2.1127455235 -1.363
   100 2.1128253937 -1.246
   100 2.1129209995 -1.131
   100 2.1130332947 -1.020
   100 2.1131680012 -0.918
   100 2.1133437157 -0.821
   100 2.1136033535 -0.725
   100 2.1139819622 -0.614
   100 2.1142833233 -0.516
   100 2.1145677567 -0.429
   100 2.1150624752 -0.307
   100 2.1156377792 -0.203
   100 2.1164371967 -0.101
   100 2.1178169250 -0.001
   100 2.1185936928 0.035
   100 2.1211814880 0.018
   100 2.1486649513 -0.068
   100 2.1500000954 -0.073
   100 2.1628684998 -0.120
   100 2.1913714409 -0.235
   100 2.2000000477 -0.272
   100 2.2030696869 -0.286
   100 2.2230806351 -0.379
   100 2.2435050011 -0.480
   100 2.2469019890 -0.497
   100 2.2500000000 -0.514
   100 2.2528309822 -0.530
   100 2.2722656727 -0.664
   100 2.2828998566 -0.710
   100 2.2878034115 -0.817
   100 2.2893738747 -0.927
   100 2.2899940014 -1.036
   100 2.2902565002 -1.145
   100 2.2903802395 -1.260
   100 2.2904393673 -1.352
   100 2.2904450893 -1.362
   100 2.2904958725 -1.382
   100 2.2905802727 -1.341
   100 2.2909295559 -1.275
   100 2.2924604416 -1.358
   100 2.2934854031 -1.426
   100 2.2943768501 -1.528
   100 2.2951459885 -1.636
   100 2.2957148552 -1.740
   100 2.2961709499 -1.844
   100 2.2965486050 -1.965
   100 2.2968509197 -2.099
   100 2.2970552444 -2.192
   100 2.2972638607 -2.273
   100 2.2974905968 -2.355
   100 2.2977211475 -2.441
   100 2.2979481220 -2.530
   100 2.2981762886 -2.620
   100 2.2984056473 -2.713
   100 2.2986299992 -2.807
   100 2.2988376617 -2.895
   100 2.2989940643 -2.974
   100 2.2990834713 -3.038
   100 2.2991492748 -3.093
   100 2.2992122173 -3.150
   100 2.2992699146 -3.229
   100 2.2993283272 -3.312
   100 2.2993848324 -3.397
   100 2.2994506359 -3.495
   100 2.2995212078 -3.596
   100 2.2995977402 -3.692
   100 2.2996768951 -3.778
   100 2.2997369766 -3.825
   100 2.2997448444 -3.827
   100 2.2997529507 -3.829
   100 2.2997577190 -3.831
   100 2.2997632027 -3.837
   100 2.2997698784 -3.849
   100 2.2997784615 -3.871
   100 2.2997913361 -3.967
   100 2.2998068333 -3.922
   100 2.2998070717 -3.915
   100 2.2998073101 -3.909
   100 2.2998077869 -3.895
   100 2.2998080254 -3.888
   100 2.2998082638 -3.880
   100 2.2998085022 -3.869
   100 2.2998087406 -3.863
   100 2.2998089790 -3.854
   100 2.2998092175 -3.848
   100 2.2998094559 -3.838
   100 2.2998099327 -3.828
   100 2.2998101711 -3.818
   100 2.2998104095 -3.809
   100 2.2998106480 -3.802
   100 2.2998108864 -3.794
   100 2.2998111248 -3.783
   100 2.2998118401 -3.759
   100 2.2998130322 -3.727
   100 2.2998135090 -3.707
   100 2.2998144627 -3.673
   100 2.2998223305 -3.635
   100 2.2998270988 -3.680
   100 2.2998309135 -3.744
   100 2.2998349667 -3.824
   100 2.2998392582 -3.899
   100 2.2998456955 -3.979
   100 2.2998530865 -4.052
   100 2.2998626232 -4.114
   100 2.2998700142 -4.144
   100 2.2998707294 -4.144
   100 2.2998716831 -3.644
   100 2.2998719215 -3.581
   100 2.2998738289 -3.104
   100 2.2998769283 -3.015
   100 2.2998812199 -3.169
   100 2.2998867035 -3.504
   100 2.2998936176 -3.833
   100 2.2999019623 -4.051
   100 2.2999117374 -4.159
   100 2.2999231815 -4.206
   100 2.2999360561 -4.241
   100 2.2999362946 -3.935
   100 2.2999372482 -3.708
   100 2.2999391556 -3.238
   100 2.2999422550 -3.146
   100 2.2999463081 -3.295
   100 2.2999515533 -3.619
   100 2.2999584675 -3.928
   100 2.2999665737 -4.128
   100 2.2999761105 -4.221
   100 2.2999873161 -4.256
   100 2.2999999523 -4.287
   100 2.2999999523 -4.009
   100 2.3000001907 -3.788
   100 2.3000004292 -3.324
   100 2.3000011444 -3.227
   100 2.3000018597 -3.370
   100 2.3000028133 -3.681
   100 2.3000040054 -3.978
   100 2.3000056744 -4.164
   100 2.3000073433 -4.244
   100 2.3000094891 -4.272
   100 2.3000118732 -4.296
   100 2.3000121117 -4.022
   100 2.3000133038 -3.805
   100 2.3000156879 -3.346
   100 2.3000192642 -3.254
   100 2.3000242710 -3.401
   100 2.3000309467 -3.716
   100 2.3000392914 -4.014
   100 2.3000490665 -4.197
   100 2.3000609875 -4.282
   100 2.3000745773 -4.316
   100 2.3000900745 -4.350
   100 2.3000903130 -4.108
   100 2.3000915051 -3.904
   100 2.3000941277 -3.459
   100 2.3000977039 -3.366
   100 2.3001031876 -3.510
   100 2.3001098633 -3.814
   100 2.3001184464 -4.091
   100 2.3001289368 -4.255
   100 2.3001410961 -4.327
   100 2.3001551628 -4.351
   100 2.3001713753 -4.384
   100 2.3001716137 -4.187
   100 2.3001730442 -4.001
   100 2.3001756668 -3.572
   100 2.3001794815 -3.478
   100 2.3001852036 -3.617
   100 2.3001923561 -3.903
   100 2.3002014160 -4.159
   100 2.3002123833 -4.302
   100 2.3002252579 -4.357
   100 2.3002402782 -4.379
   100 2.3002574444 -4.409
   100 2.3002576828 -4.248
   100 2.3002591133 -4.079
   100 2.3002614975 -3.671
   100 2.3002653122 -3.575
   100 2.3002707958 -3.708
   100 2.3002779484 -3.980
   100 2.3002865314 -4.208
   100 2.3002972603 -4.330
   100 2.3003098965 -4.381
   100 2.3003242016 -4.387
   100 2.3003408909 -4.416
   100 2.3003411293 -4.298
   100 2.3003425598 -4.148
   100 2.3003451824 -3.759
   100 2.3003492355 -3.664
   100 2.3003547192 -3.795
   100 2.3003621101 -4.049
   100 2.3003714085 -4.260
   100 2.3003823757 -4.362
   100 2.3003954887 -4.385
   100 2.3004105091 -4.389
   100 2.3004279137 -4.413
   100 2.3004281521 -4.348
   100 2.3004293442 -4.222
   100 2.3004317284 -3.870
   100 2.3004355431 -3.775
   100 2.3004407883 -3.895
   100 2.3004474640 -4.128
   100 2.3004558086 -4.302
   100 2.3004660606 -4.371
   100 2.3004779816 -4.379
   100 2.3004918098 -4.380
   100 2.3005077839 -4.407
   100 2.3005080223 -4.367
   100 2.3005092144 -4.275
   100 2.3005115986 -3.951
   100 2.3005154133 -3.856
   100 2.3005206585 -3.971
   100 2.3005273342 -4.181
   100 2.3005356789 -4.329
   100 2.3005459309 -4.370
   100 2.3005580902 -4.367
   100 2.3005719185 -4.352
   100 2.3005878925 -4.376
   100 2.3005881310 -4.372
   100 2.3005893230 -4.315
   100 2.3005914688 -4.031
   100 2.3005948067 -3.937
   100 2.3005993366 -4.046
   100 2.3006055355 -4.234
   100 2.3006131649 -4.360
   100 2.3006222248 -4.373
   100 2.3006329536 -4.340
   100 2.3006455898 -4.324
   100 2.3006598949 -4.340
   100 2.3006601334 -4.363
   100 2.3006613255 -4.352
   100 2.3006634712 -4.105
   100 2.3006665707 -4.017
   100 2.3006713390 -4.114
   100 2.3006772995 -4.284
   100 2.3006846905 -4.365
   100 2.3006937504 -4.348
   100 2.3007044792 -4.307
   100 2.3007168770 -4.288
   100 2.3007309437 -4.300
   100 2.3007311821 -4.316
   100 2.3007321358 -4.359
   100 2.3007340431 -4.163
   100 2.3007369041 -4.074
   100 2.3007411957 -4.167
   100 2.3007464409 -4.306
   100 2.3007531166 -4.358
   100 2.3007612228 -4.312
   100 2.3007707596 -4.272
   100 2.3007819653 -4.254
   100 2.3007946014 -4.270
   100 2.3007948399 -4.279
   100 2.3007957935 -4.353
   100 2.3007977009 -4.194
   100 2.3008005619 -4.110
   100 2.3008048534 -4.194
   100 2.3008100986 -4.318
   100 2.3008167744 -4.350
   100 2.3008248806 -4.285
   100 2.3008344173 -4.243
   100 2.3008456230 -4.224
   100 2.3008582592 -4.240
   100 2.3008584976 -4.245
   100 2.3008594513 -4.347
   100 2.3008613586 -4.221
   100 2.3008642197 -4.143
   100 2.3008682728 -4.220
   100 2.3008735180 -4.331
   100 2.3008799553 -4.338
   100 2.3008878231 -4.261
   100 2.3008973598 -4.216
   100 2.3009080887 -4.196
   100 2.3009204865 -4.206
   100 2.3009207249 -4.211
   100 2.3009216785 -4.339
   100 2.3009233475 -4.248
   100 2.3009262085 -4.175
   100 2.3009300232 -4.246
   100 2.3009350300 -4.341
   100 2.3009412289 -4.310
