# The relationship between age and the maximum initial-mass of stars that are alive at that age.
# Values from input_files/CMD3.3*.dat, originally from the PARSEC isochrones model (references are given in CMD3.3*.dat)
#   Read CMD3.3-thin1.dat
# iage Minidie  MRGst        MRGen
280 1.5228757858 1.4789351225 1.5228757858
285 1.5138717890 1.4704658985 1.5138717890
290 1.5051475763 1.4621913433 1.5051475763
295 1.4966473579 1.4541034698 1.4966473579
300 1.4883369207 1.4443318844 1.4883369207
#   Read CMD3.3-thin5.dat
305 1.4741604328 1.4249017239 1.4741604328
310 1.4669264555 1.4139391184 1.4669264555
315 1.4589082003 1.4032341242 1.4589082003
320 1.4501026869 1.3931424618 1.4501026869
325 1.4414856434 1.3842508793 1.4414856434
330 1.4330017567 1.3755503893 1.4330017567
335 1.4245580435 1.3670343161 1.4245580435
340 1.4162825346 1.3586959839 1.4162825346
345 1.4087777138 1.3505290747 1.4087777138
350 1.4019340277 1.3429362774 1.4019340277
355 1.3952200413 1.3362189531 1.3952200413
360 1.3886313438 1.3296285868 1.3886313438
365 1.3816667795 1.3231608868 1.3816667795
370 1.3748012781 1.3168120384 1.3748012781
375 1.3684380054 1.3105782270 1.3684380054
380 1.3623862267 1.3044558764 1.3623862267
385 1.3565491438 1.2984417677 1.3565491438
390 1.3509846926 1.2929781675 1.3509846926
395 1.3455134630 1.2880079746 1.3455134630
400 1.3401008844 1.2831189632 1.3401008844
405 1.3345959187 1.2797746658 1.3345959187
410 1.3291808367 1.2751181126 1.3291808367
415 1.3240469694 1.2705345154 1.3240469694
420 1.3190324306 1.2673928738 1.3190324306
425 1.3140958548 1.2630079985 1.3140958548
430 1.3092352152 1.2586894035 1.3092352152
435 1.3045407534 1.2544351816 1.3045407534
440 1.3000191450 1.2502437830 1.3000191450
445 1.2955639362 1.2461133003 1.2955639362
450 1.2910854816 1.2432616949 1.2910854816
455 1.2866563797 1.2392605543 1.2866563797
460 1.2823351622 1.2353157997 1.2823351622
465 1.2781355381 1.2314260006 1.2781355381
470 1.2739943266 1.2275898457 1.2739943266
475 1.2699100971 1.2238061428 1.2699100971
480 1.2658816576 1.2218196392 1.2658816576
485 1.2619073391 1.2181742191 1.2619073391
490 1.2579863071 1.2145768404 1.2579863071
495 1.2541089058 1.2110264301 1.2541089058
500 1.2502617836 1.2075219154 1.2502617836
#   Read CMD3.3-thin6.dat
