# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin1.dat
#0.01Gyr     Mini       MIc
     5 6.9708352089 -5.150
     5 6.9826579094 -5.072
     5 7.0000000000 -5.023
     5 7.0039653778 -5.012
     5 7.0155053139 -5.003
     5 7.0257472992 -5.054
     5 7.0348157883 -5.133
     5 7.0375833511 -5.207
     5 7.0388708115 -5.255
     5 7.0392951965 -5.274
     5 7.0395126343 -5.285
     5 7.0397248268 -5.295
     5 7.0398983955 -5.303
     5 7.0400581360 -5.310
     5 7.0402188301 -5.319
     5 7.0403847694 -5.330
     5 7.0405616760 -5.342
     5 7.0407524109 -5.356
     5 7.0409636497 -5.370
     5 7.0412006378 -5.385
     5 7.0414724350 -5.401
     5 7.0417900085 -5.416
     5 7.0421714783 -5.428
     5 7.0426468849 -5.440
     5 7.0432586670 -5.451
     5 7.0440664291 -5.460
     5 7.0451231003 -5.465
     5 7.0464305878 -5.444
     5 7.0479321480 -5.389
     5 7.0495805740 -5.340
     5 7.0513615608 -5.299
     5 7.0532679558 -5.256
     5 7.0553851128 -5.213
     5 7.0576686859 -5.172
     5 7.0600061417 -5.136
     5 7.0635867119 -5.092
     5 7.0680460930 -5.061
     5 7.0741286278 -5.038
     5 7.0787062645 -5.057
     5 7.0878205299 -5.096
     5 7.0947427750 -5.128
     5 7.1051435471 -5.174
     5 7.1136550903 -5.210
     5 7.1195530891 -5.238
     5 7.1233282089 -5.259
     5 7.1271963120 -5.284
     5 7.1302270889 -5.305
     5 7.1322460175 -5.321
     5 7.1345214844 -5.340
     5 7.1363000870 -5.357
     5 7.1379022598 -5.373
     5 7.1392989159 -5.389
     5 7.1405138969 -5.405
     5 7.1416134834 -5.388
     5 7.1418929100 -5.386
     5 7.1419916153 -5.385
     5 7.1420845985 -5.383
     5 7.1421618462 -5.381
     5 7.1422357559 -5.379
     5 7.1423096657 -5.376
     5 7.1423873901 -5.374
     5 7.1424746513 -5.371
     5 7.1425757408 -5.368
     5 7.1427512169 -5.364
     5 7.1434597969 -5.365
     5 7.1453051567 -5.386
     5 7.1489601135 -5.422
     5 7.1524062157 -5.460
     5 7.1553673744 -5.496
     5 7.1577043533 -5.528
     5 7.1593427658 -5.550
     5 7.1611838341 -5.581
     5 7.1627788544 -5.608
     5 7.1640133858 -5.624
     5 7.1651277542 -5.636
     5 7.1660938263 -5.646
     5 7.1669383049 -5.649
     5 7.1676759720 -5.648
     5 7.1684737206 -5.643
     5 7.1690311432 -5.635
     5 7.1695318222 -5.626
     5 7.1700048447 -5.616
     5 7.1704821587 -5.604
     5 7.1709947586 -5.585
     5 7.1716594696 -5.555
     5 7.1725206375 -5.513
     5 7.1733145714 -5.470
     5 7.1750698090 -5.400
     5 7.1864891052 -5.321
     5 7.1894254684 -5.390
     5 7.1897735596 -5.415
     5 7.1898074150 -5.420
     5 7.1901493073 -5.438
     5 7.1903643608 -5.460
     5 7.1904888153 -5.474
     5 7.1906833649 -5.494
     5 7.1909346581 -5.515
     5 7.1911792755 -5.530
     5 7.1914968491 -5.547
     5 7.1918601990 -5.563
     5 7.1922254562 -5.578
     5 7.1925673485 -5.592
     5 7.1928792000 -5.605
     5 7.1933455467 -5.619
     5 7.1947007179 -5.670
     5 7.1968727112 -5.814
     5 7.1998181343 -5.928
     5 7.2002973557 -5.935
     5 7.2006406784 -5.934
     5 7.2008929253 -5.931
     5 7.2014074326 -5.944
     5 7.2019934654 -5.971
     5 7.2042541504 -6.041
     5 7.2047157288 -6.056
     5 7.2065911293 -6.095
     5 7.2075004578 -6.123
     5 7.2131938934 -6.239
     5 7.2251992226 -6.444
    15 0.0900000036 12.409
    15 0.0945196077 12.313
    15 0.1000000015 12.195
    15 0.1034795120 12.131
    15 0.1134757176 11.847
    15 0.1199999973 11.630
    15 0.1276941746 11.456
    15 0.1399999857 11.191
    15 0.1599999964 10.824
    15 0.1772220433 10.570
    15 0.2000000030 10.272
    15 0.2500000000 9.752
    15 0.2521624863 9.733
    15 0.3000000119 9.348
    15 0.3098334670 9.271
    15 0.3500000238 8.962
    15 0.4000000358 8.573
    15 0.4500000179 8.168
    15 0.5000000000 7.733
    15 0.5293860435 7.455
    15 0.5500000119 7.281
    15 0.5683000088 7.143
    15 0.5843267441 7.050
    15 0.6000000238 6.965
    15 0.6072036624 6.917
    15 0.6499999762 6.563
    15 0.7000000477 6.166
    15 0.7323209047 5.918
    15 0.7500000000 5.788
    15 0.7668921351 5.674
    15 0.8000000119 5.462
    15 0.8500000238 5.162
    15 0.8999999762 4.885
    15 0.9499999285 4.631
    15 1.0000000000 4.384
    15 1.0499999523 4.154
    15 1.1000000238 3.937
    15 1.1499999762 3.734
    15 1.2000000477 3.537
    15 1.2500000000 3.351
    15 1.2999999523 3.173
    15 1.3095154762 3.141
    15 1.3500000238 3.009
    15 1.3999998569 2.856
    15 1.4500000477 2.719
    15 1.5000000000 2.592
    15 1.5499999523 2.480
    15 1.6000000238 2.375
    15 1.6499998569 2.279
    15 1.7000000477 2.189
    15 1.7500000000 2.104
    15 1.7999999523 2.023
    15 1.8170940876 1.996
    15 1.8500000238 1.946
    15 1.8999998569 1.870
    15 1.9500000477 1.797
    15 2.0000000000 1.726
    15 2.0499999523 1.657
    15 2.0999999046 1.589
    15 2.1226022243 1.558
    15 2.1500000954 1.521
    15 2.2000000477 1.456
    15 2.2500000000 1.391
    15 2.2517480850 1.388
    15 2.2999999523 1.326
    15 2.4000000954 1.200
    15 2.4052627087 1.194
    15 2.5999999046 0.956
    15 2.6209473610 0.930
    15 2.7826213837 0.734
    15 2.7999997139 0.713
    15 2.8210377693 0.688
    15 2.9743046761 0.504
    15 3.0000000000 0.473
    15 3.1220622063 0.326
    15 3.2000000477 0.231
    15 3.3041219711 0.102
    15 3.4000000954 -0.021
    15 3.4924442768 -0.142
    15 3.5765769482 -0.257
    15 3.5999999046 -0.290
    15 3.6460368633 -0.356
    15 3.7103257179 -0.454
    15 3.7946038246 -0.589
    15 3.7999997139 -0.598
    15 3.8740086555 -0.724
    15 3.9309973717 -0.832
    15 3.9874477386 -0.946
    15 4.0000000000 -0.973
