# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:25:50 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.00000 0.5000000000 2.2374541759    0.500 -1.471  3.5511  4.764    0  0.000  0.545     0.00     0.00 -1  -2.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.447 12.804 11.466 10.049 9.000 7.843 6.698 6.047 5.819
0.01471 0.00000 9.00000 0.5091509223 2.2466928959    0.509 -1.440  3.5547  4.756    0  0.000  0.545     0.00     0.00 -1 -2.68e-15      0.00 7.110e-01 2.743e-01 2.652e-03 7.156e-04 6.490e-03 -1.000 1.475e-02 8.370 12.679 11.340 9.927 8.890 7.758 6.631 5.977 5.753
0.01471 0.00000 9.00000 0.5500000119 2.2836582661    0.550 -1.310  3.5698  4.719    0  0.000  0.545     0.00     0.00 -1 -3.63e-15      0.00 7.130e-01 2.723e-01 2.634e-03 7.107e-04 6.446e-03 -1.000 1.467e-02 8.044 12.167 10.817 9.420 8.428 7.400 6.346 5.682 5.471
0.01471 0.00000 9.00000 0.5601863861 2.2919158936    0.560 -1.276  3.5747  4.712    0  0.000  0.545     0.00     0.00 -1 -3.92e-15      0.00 7.131e-01 2.722e-01 2.633e-03 7.105e-04 6.444e-03 -1.000 1.466e-02 7.959 12.026 10.672 9.280 8.301 7.307 6.274 5.607 5.402
0.01471 0.00000 9.00000 0.6000000238 2.3211214542    0.600 -1.148  3.5930  4.688    0  0.000  0.545     0.00     0.00 -1 -5.23e-15      0.00 7.134e-01 2.720e-01 2.631e-03 7.099e-04 6.439e-03 -1.000 1.461e-02 7.640 11.513 10.138 8.774 7.838 6.964 6.004 5.322 5.142
0.01471 0.00000 9.00000 0.6152634025 2.3311719894    0.615 -1.098  3.6010  4.681    0  0.000  0.545     0.00     0.00 -1 -5.84e-15      0.00 7.135e-01 2.718e-01 2.630e-03 7.096e-04 6.436e-03 -1.000 1.463e-02 7.514 11.308 9.923 8.575 7.659 6.830 5.897 5.211 5.044
0.01471 0.00000 9.00000 0.6377906799 2.3450000286    0.638 -1.025  3.6126  4.671    0  0.000  0.545     0.00     0.00 -1 -6.85e-15      0.00 7.137e-01 2.716e-01 2.629e-03 7.092e-04 6.433e-03 -1.000 1.465e-02 7.334 11.012 9.609 8.294 7.405 6.640 5.743 5.054 4.906
0.01471 0.00000 9.00000 0.6499999762 2.3520355225    0.650 -0.987  3.6190  4.666    0  0.000  0.545     0.00     0.00 -1 -7.45e-15      0.00 7.138e-01 2.716e-01 2.628e-03 7.091e-04 6.432e-03 -1.000 1.465e-02 7.238 10.848 9.440 8.145 7.271 6.539 5.661 4.974 4.836
0.01471 0.00000 9.00000 0.7000000477 2.3779268265    0.700 -0.833  3.6471  4.656    0  0.000  0.545     0.00     0.00 -1 -1.04e-14      0.00 7.141e-01 2.713e-01 2.626e-03 7.084e-04 6.426e-03 -1.000 1.464e-02 6.852 10.038 8.691 7.515 6.724 6.136 5.347 4.692 4.591
0.01471 0.00000 9.00000 0.7026700377 2.3791906834    0.703 -0.825  3.6486  4.656    0  0.000  0.544     0.00     0.00 -1 -1.05e-14      0.00 7.141e-01 2.713e-01 2.623e-03 7.083e-04 6.425e-03 -1.000 1.464e-02 6.832 9.987 8.649 7.480 6.696 6.115 5.330 4.679 4.580
