# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.0955969095 0.095 0.1329696865 2302.501915 5.168 10.989 10.4 10.104 12.851 11.016 10.183
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.1055120975 0.105 0.1438641701 2399.385334 5.141 10.639 10.052 9.754 12.501 10.666 9.832
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.1253425032 0.125 0.1647223938 2550.938568 5.099 10.081 9.496 9.195 11.944 10.108 9.273
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.145172894 0.145 0.1836760981 2662.563659 5.068 9.675 9.093 8.792 11.457 9.691 8.866
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.1650032997 0.165 0.2015360047 2747.2615 5.043 9.369 8.789 8.494 11.021 9.368 8.562
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.2046640813 0.204 0.2354250356 2873.425887 5.002 8.881 8.301 8.017 10.364 8.857 8.076
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.2542400956 0.254 0.2759005999 2979.888403 4.959 8.413 7.832 7.559 9.78 8.373 7.613
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.3091013432 0.309 0.3202968332 3071.142726 4.914 7.988 7.402 7.14 9.267 7.935 7.19
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.3351003528 0.335 0.343283275 3108.135903 4.889 7.798 7.21 6.953 9.048 7.74 7
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.3533920944 0.353 0.3596272937 3132.564342 4.871 7.67 7.08 6.825 8.902 7.609 6.872
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.4029681087 0.403 0.4009153133 3215.881224 4.834 7.347 6.747 6.502 8.518 7.272 6.545
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.4070539474 0.407 0.405091047 3223.294595 4.83 7.318 6.717 6.473 8.484 7.242 6.516
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.4525440931 0.452 0.4465320591 3310.548845 4.79 7.019 6.405 6.169 8.129 6.929 6.208
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.502120018 0.502 0.4968812912 3417.432931 4.744 6.685 6.054 5.826 7.735 6.578 5.861
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.5516960621 0.551 0.5516360561 3552.221185 4.694 6.332 5.683 5.464 7.314 6.207 5.493
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.601271987 0.601 0.599587603 3735.940923 4.659 5.997 5.326 5.125 6.893 5.85 5.146
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.650848031 0.651 0.6381938942 3977.406691 4.639 5.66 4.974 4.807 6.473 5.5 4.822
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.7004240751 0.7 0.6730582389 4249.129821 4.625 5.331 4.663 4.532 6.074 5.175 4.542
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.7179362774 0.718 0.680851886 4368.174709 4.625 5.218 4.568 4.451 5.931 5.069 4.459
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.75 0.75 0.6957490866 4587.752705 4.625 5.019 4.428 4.327 5.673 4.893 4.334
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.7733888626 0.773 0.719039328 4690.293284 4.61 4.881 4.322 4.227 5.508 4.768 4.233
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.8000000119 0.8 0.746195533 4807.286438 4.593 4.728 4.206 4.116 5.324 4.628 4.12
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.8344461918 0.834 0.78226274 4964.7799 4.57 4.531 4.052 3.969 5.089 4.447 3.973
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.8500000238 0.849 0.7991947915 5035.006088 4.559 4.444 3.983 3.904 4.986 4.366 3.907
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.8790724874 0.878 0.8333983664 5162.974737 4.537 4.281 3.852 3.777 4.793 4.214 3.78
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.8999999762 0.899 0.860305392 5254.120151 4.52 4.164 3.756 3.685 4.657 4.104 3.688
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.9041489363 0.903 0.8666677674 5271.084762 4.516 4.141 3.737 3.666 4.63 4.082 3.669
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.9229387641 0.922 0.8923857874 5349.337509 4.498 4.035 3.649 3.58 4.507 3.982 3.584
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.9500000477 0.949 0.934657822 5457.578611 4.471 3.884 3.519 3.455 4.334 3.837 3.458
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.9548222423 0.954 0.9426547165 5475.200153 4.466 3.856 3.495 3.432 4.302 3.81 3.435
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.969227314 0.969 0.9681722817 5528.406896 4.45 3.774 3.423 3.363 4.21 3.731 3.366
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.9834381342 0.983 0.9941516665 5579.560615 4.433 3.694 3.352 3.294 4.12 3.653 3.296
thin6 5 thin_disk 9.781755375 0.25 0.025095 0.9964202046 0.996 1.019653572 5624.70824 4.417 3.62 3.286 3.23 4.038 3.582 3.232
thin6 5 thin_disk 9.781755375 0.25 0.025095 1 1 1.027194404 5636.376558 4.412 3.599 3.268 3.212 4.015 3.562 3.215
thin6 5 thin_disk 9.781755375 0.25 0.025095 1.007365704 1.007 1.042443786 5659.785862 4.402 3.556 3.229 3.174 3.968 3.52 3.177
thin6 5 thin_disk 9.781755375 0.25 0.025095 1.020203829 1.02 1.071649202 5699.017624 4.384 3.481 3.161 3.107 3.885 3.447 3.11
thin6 5 thin_disk 9.781755375 0.25 0.025095 1.032891512 1.032 1.101419205 5735.879248 4.365 3.406 3.092 3.04 3.804 3.373 3.043
thin6 5 thin_disk 9.781755375 0.25 0.025095 1.044261336 1.043 1.129412642 5766.336733 4.348 3.339 3.03 2.979 3.732 3.308 2.982
thin6 5 thin_disk 9.781755375 0.25 0.025095 1.049999952 1.049 1.143806723 5779.629512 4.339 3.305 2.999 2.949 3.696 3.275 2.951
