# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.0955969095 0.095 0.3067980853 2420.471648 4.442 15.624 11.625 8.972 8.414 8.073
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.0971357375 0.097 0.3084982074 2427.727848 4.443 15.599 11.599 8.945 8.387 8.047
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.1055120975 0.105 0.319413042 2468.31169 4.448 15.454 11.452 8.798 8.24 7.9
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.1094898283 0.109 0.3239310993 2486.566051 4.452 15.391 11.389 8.735 8.176 7.836
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.1253425032 0.125 0.3428093391 2557.407886 4.462 15.152 11.146 8.491 7.933 7.593
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.1416968107 0.141 0.3607054007 2621.199039 4.472 14.88 10.902 8.277 7.718 7.38
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.145172894 0.145 0.3641268003 2634.510901 4.474 14.79 10.837 8.236 7.677 7.34
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.1650032997 0.165 0.3832239517 2698.360681 4.485 14.245 10.471 8.041 7.481 7.153
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.1877059489 0.187 0.4043455286 2761.849442 4.494 13.755 10.129 7.842 7.281 6.963
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.2046640813 0.204 0.4191337614 2804.787737 4.5 13.431 9.904 7.71 7.147 6.836
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.2302745283 0.23 0.4402026421 2860.882361 4.509 13.013 9.615 7.534 6.969 6.668
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.2542400956 0.254 0.4592536798 2909.376992 4.516 12.673 9.377 7.385 6.816 6.523
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.2823606431 0.282 0.4797916051 2960.056495 4.523 12.334 9.138 7.23 6.658 6.374
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.3152060211 0.315 0.5026349054 3014.393884 4.531 11.981 8.89 7.067 6.489 6.215
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.3364558518 0.336 0.5170739335 3046.491705 4.535 11.773 8.747 6.971 6.389 6.12
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.3533920944 0.353 0.5279011947 3071.142726 4.538 11.618 8.639 6.899 6.314 6.049
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.3566143215 0.356 0.5307043469 3075.388599 4.538 11.587 8.618 6.885 6.299 6.035
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.4029681087 0.403 0.560857646 3139.785648 4.542 11.218 8.35 6.694 6.099 5.844
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.4446270466 0.444 0.5890506572 3198.89511 4.543 10.903 8.12 6.527 5.921 5.675
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.4525440931 0.452 0.5940905508 3209.223768 4.543 10.848 8.08 6.498 5.89 5.645
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.493896842 0.494 0.6209443001 3271.899836 4.543 10.533 7.856 6.338 5.719 5.48
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.502120018 0.502 0.6259687388 3283.220116 4.543 10.476 7.816 6.31 5.688 5.45
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.5516960621 0.551 0.6529089845 3360.469825 4.547 10.138 7.579 6.144 5.509 5.277
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.5599967241 0.56 0.657737563 3375.20379 4.547 10.077 7.535 6.114 5.477 5.246
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.601271987 0.601 0.6866772273 3457.004939 4.541 9.745 7.298 5.942 5.292 5.067
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.6287013292 0.629 0.7054279205 3528.580258 4.537 9.482 7.12 5.819 5.159 4.94
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.6457768679 0.646 0.7185428047 3585.915075 4.532 9.277 6.986 5.727 5.059 4.845
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.650848031 0.651 0.722025681 3604.126286 4.531 9.214 6.946 5.7 5.03 4.817
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.6602239609 0.66 0.7280356479 3643.342501 4.531 9.083 6.866 5.65 4.974 4.765
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.6826167107 0.683 0.7415708411 3754.049545 4.529 8.74 6.663 5.519 4.83 4.634
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7004240751 0.701 0.7518871192 3859.224116 4.529 8.444 6.488 5.401 4.704 4.523
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7041601539 0.704 0.7480879251 3909.309006 4.535 8.333 6.432 5.372 4.673 4.499
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7181522846 0.718 0.7349412858 4099.208419 4.559 7.941 6.231 5.254 4.569 4.419
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7291504741 0.729 0.7265284825 4248.151535 4.576 7.655 6.086 5.165 4.493 4.363
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7382416129 0.738 0.7215270956 4367.169015 4.588 7.436 5.972 5.094 4.44 4.324
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7462276816 0.746 0.7183773732 4465.807513 4.596 7.258 5.877 5.034 4.407 4.299
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.75 0.75 0.716560138 4510.243611 4.599 7.182 5.834 5.007 4.393 4.288
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7621685266 0.762 0.7280356479 4581.418867 4.593 7.022 5.727 4.926 4.334 4.233
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7734338045 0.773 0.7373142794 4650.503762 4.588 6.876 5.629 4.851 4.281 4.183
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.7851142883 0.785 0.7465392478 4713.027784 4.584 6.748 5.541 4.785 4.234 4.14
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.8000000119 0.8 0.756750375 4792.918012 4.58 6.592 5.435 4.705 4.178 4.088
thin1 0 thin_disk 7.698970004 0.25 0.025095 0.8500000238 0.85 0.7811827503 5008.411453 4.579 6.215 5.171 4.507 4.039 3.958
