# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.0955969095 0.095 0.144129422 2331.846723 5.098 17.62 13.413 10.761 10.175 9.874
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.1055120975 0.105 0.1520381739 2413.237137 5.093 17.353 13.148 10.496 9.911 9.61
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.1087337136 0.108 0.1543308133 2435.566545 5.093 17.281 13.075 10.424 9.839 9.537
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.1253425032 0.125 0.169923187 2553.877136 5.071 16.854 12.659 10.008 9.424 9.121
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.145172894 0.145 0.1873926897 2661.950651 5.05 16.183 12.15 9.633 9.052 8.75
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.1584615856 0.158 0.1969031414 2717.690523 5.046 15.694 11.827 9.457 8.876 8.579
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.1650032997 0.165 0.202373035 2744.732343 5.039 15.46 11.668 9.362 8.782 8.486
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.1900484711 0.19 0.2233842991 2826.832007 5.015 14.745 11.172 9.048 8.469 8.181
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.2046640813 0.204 0.2355877177 2870.780582 5 14.37 10.914 8.88 8.3 8.016
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.2145562321 0.214 0.242858129 2893.343523 4.995 14.18 10.78 8.789 8.21 7.927
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.2542400956 0.254 0.273245265 2977.145088 4.967 13.497 10.286 8.436 7.855 7.582
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.3038160801 0.303 0.3097081577 3062.668558 4.936 12.815 9.793 8.071 7.486 7.223
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.3079197407 0.308 0.3130780678 3069.021988 4.932 12.759 9.752 8.04 7.454 7.192
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.3533920944 0.353 0.347898571 3144.850465 4.9 12.218 9.35 7.73 7.139 6.886
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.4029681087 0.403 0.3901688961 3229.981241 4.858 11.651 8.922 7.392 6.791 6.548
thin2 1 thin_disk 8.77815125 0.25 0.025095 0.4525440931 0.452 0.4366692848 3322.767852 4.811 11.088 8.5 7.058 6.443 6.208
