# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
NSD 9 NSD 9.84509804 0.25 0.025095 0.5538143516 0.553 0.5553319299 3562.870194 4.689 9.874 7.57 6.308 5.657 5.439
NSD 9 NSD 9.84509804 0.25 0.025095 0.601271987 0.601 0.6016620856 3740.24456 4.656 9.208 7.127 5.986 5.313 5.113
NSD 9 NSD 9.84509804 0.25 0.025095 0.650848031 0.651 0.6409920525 3984.740097 4.635 8.481 6.664 5.645 4.959 4.793
NSD 9 NSD 9.84509804 0.25 0.025095 0.7004240751 0.7 0.6755424504 4260.886836 4.621 7.786 6.227 5.312 4.644 4.515
NSD 9 NSD 9.84509804 0.25 0.025095 0.7061772943 0.706 0.6786606127 4300.312336 4.621 7.699 6.175 5.274 4.612 4.488
NSD 9 NSD 9.84509804 0.25 0.025095 0.75 0.75 0.7010558939 4599.387494 4.619 7.073 5.79 4.995 4.408 4.308
NSD 9 NSD 9.84509804 0.25 0.025095 0.7876986265 0.787 0.7402060746 4768.699981 4.593 6.68 5.507 4.769 4.236 4.144
NSD 9 NSD 9.84509804 0.25 0.025095 0.8000000119 0.8 0.7530999952 4823.918924 4.585 6.558 5.418 4.698 4.18 4.091
NSD 9 NSD 9.84509804 0.25 0.025095 0.8022063971 0.802 0.7551837649 4833.926025 4.583 6.536 5.401 4.684 4.17 4.081
NSD 9 NSD 9.84509804 0.25 0.025095 0.8334408998 0.833 0.7893191597 4979.663542 4.561 6.232 5.175 4.501 4.026 3.944
NSD 9 NSD 9.84509804 0.25 0.025095 0.8500000238 0.849 0.8091939831 5055.917748 4.549 6.077 5.057 4.406 3.95 3.871
NSD 9 NSD 9.84509804 0.25 0.025095 0.8743642569 0.874 0.8407224504 5164.163693 4.528 5.856 4.884 4.264 3.835 3.76
NSD 9 NSD 9.84509804 0.25 0.025095 0.8993965983 0.899 0.8744855646 5274.727157 4.505 5.636 4.709 4.118 3.715 3.644
NSD 9 NSD 9.84509804 0.25 0.025095 0.8999999762 0.899 0.875694546 5277.156818 4.505 5.63 4.705 4.115 3.712 3.641
NSD 9 NSD 9.84509804 0.25 0.025095 0.9205154181 0.92 0.9079305822 5361.669006 4.483 5.455 4.562 3.994 3.61 3.542
NSD 9 NSD 9.84509804 0.25 0.025095 0.9350830913 0.934 0.9320788316 5421.257051 4.467 5.333 4.461 3.908 3.535 3.47
NSD 9 NSD 9.84509804 0.25 0.025095 0.9494526982 0.949 0.9570897052 5477.722157 4.45 5.213 4.362 3.823 3.462 3.399
NSD 9 NSD 9.84509804 0.25 0.025095 0.9500000477 0.949 0.9584128873 5480.245322 4.45 5.209 4.359 3.819 3.459 3.396
NSD 9 NSD 9.84509804 0.25 0.025095 0.962040484 0.961 0.9823192275 5523.317389 4.434 5.11 4.276 3.746 3.394 3.333
NSD 9 NSD 9.84509804 0.25 0.025095 0.9745793939 0.974 1.007517608 5568.009916 4.417 5.008 4.19 3.671 3.326 3.268
NSD 9 NSD 9.84509804 0.25 0.025095 0.9862320423 0.986 1.033362375 5606.605516 4.401 4.913 4.11 3.599 3.262 3.205
