# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
bar 8 bar 10 0.25 0.025095 1.013619781 1.013 1.338297433 5640.271374 4.188 3.023 2.693 2.637 3.44 2.986 2.639
bar 8 bar 10 0.25 0.025095 1.021231651 1.02 1.392363548 5632.484432 4.156 2.94 2.608 2.551 3.358 2.902 2.554
bar 8 bar 10 0.25 0.025095 1.023643851 1.023 1.412708782 5627.29911 4.145 2.913 2.58 2.523 3.332 2.875 2.526
bar 8 bar 10 0.25 0.025095 1.02778101 1.027 1.450282628 5611.77177 4.124 2.862 2.526 2.469 3.284 2.824 2.471
bar 8 bar 10 0.25 0.025095 1.035920978 1.035 1.534449658 5566.727982 4.078 2.76 2.415 2.356 3.191 2.719 2.358
bar 8 bar 10 0.25 0.025095 1.044206142 1.043 1.651781679 5458.83541 4.018 2.65 2.283 2.22 3.103 2.602 2.223
bar 8 bar 10 0.25 0.025095 1.048593998 1.047 1.732018972 5361.669006 3.978 2.594 2.206 2.14 3.068 2.54 2.143
bar 8 bar 10 0.25 0.025095 1.049999952 1.049 1.766658653 5308.844442 3.961 2.577 2.178 2.11 3.063 2.52 2.112
bar 8 bar 10 0.25 0.025095 1.051544189 1.05 1.806977084 5249.283155 3.942 2.559 2.147 2.076 3.058 2.498 2.079
bar 8 bar 10 0.25 0.025095 1.0534482 1.052 1.875653643 5146.35807 3.911 2.533 2.097 2.022 3.056 2.464 2.025
bar 8 bar 10 0.25 0.025095 1.055146933 1.054 1.963146205 5047.775135 3.872 2.489 2.029 1.95 3.035 2.413 1.953
bar 8 bar 10 0.25 0.025095 1.056828141 1.055 2.08234481 4963.636849 3.822 2.41 1.928 1.845 2.976 2.326 1.848
bar 8 bar 10 0.25 0.025095 1.058292031 1.057 2.211325351 4903.430228 3.77 2.314 1.817 1.73 2.896 2.224 1.734
bar 8 bar 10 0.25 0.025095 1.058962941 1.057 2.283245681 4884.273784 3.742 2.256 1.753 1.666 2.843 2.165 1.669
bar 8 bar 10 0.25 0.025095 1.060261369 1.059 2.440352959 4854.002548 3.685 2.13 1.619 1.53 2.725 2.036 1.534
bar 8 bar 10 0.25 0.025095 1.061291695 1.06 2.583167957 4836.152643 3.636 2.019 1.502 1.413 2.619 1.922 1.416
