# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 9.95424 0.25 0.025095 1.047962546 1.047 1.423811987 5689.839292 4.148 4.134 3.363 2.868 2.547 2.493
bar 8 bar 9.95424 0.25 0.025095 1.049999952 1.049 1.43831048 5687.219627 4.14 4.114 3.342 2.847 2.525 2.471
bar 8 bar 9.95424 0.25 0.025095 1.050545573 1.049 1.442290174 5685.910247 4.138 4.108 3.336 2.841 2.519 2.465
bar 8 bar 9.95424 0.25 0.025095 1.057495952 1.056 1.505402541 5662.39289 4.104 4.04 3.261 2.76 2.433 2.378
bar 8 bar 9.95424 0.25 0.025095 1.064698338 1.063 1.580347686 5619.530077 4.064 3.975 3.182 2.672 2.337 2.28
bar 8 bar 9.95424 0.25 0.025095 1.072139621 1.071 1.681328772 5533.501092 4.014 3.929 3.108 2.577 2.225 2.165
bar 8 bar 9.95424 0.25 0.025095 1.07808888 1.076 1.784237426 5408.788506 3.964 3.93 3.068 2.507 2.129 2.064
bar 8 bar 9.95424 0.25 0.025095 1.081313133 1.08 1.861884107 5285.669448 3.929 3.974 3.069 2.476 2.072 2.002
bar 8 bar 9.95424 0.25 0.025095 1.083408833 1.082 1.93264748 5176.06832 3.897 4.023 3.077 2.454 2.024 1.95
bar 8 bar 9.95424 0.25 0.025095 1.085277915 1.084 2.021401785 5069.907083 3.859 4.054 3.067 2.413 1.958 1.88
bar 8 bar 9.95424 0.25 0.025095 1.087127209 1.085 2.146113294 4977.37085 3.808 4.043 3.018 2.336 1.859 1.776
bar 8 bar 9.95424 0.25 0.025095 1.088737011 1.087 2.283771478 4914.733802 3.754 3.993 2.939 2.238 1.744 1.658
bar 8 bar 9.95424 0.25 0.025095 1.08945632 1.088 2.360764386 4895.533198 3.726 3.947 2.886 2.179 1.679 1.593
bar 8 bar 9.95424 0.25 0.025095 1.090848327 1.089 2.523205629 4865.19218 3.669 3.844 2.77 2.053 1.545 1.457
bar 8 bar 9.95424 0.25 0.025095 1.091952801 1.09 2.667796171 4847.301126 3.62 3.746 2.664 1.941 1.428 1.339
bar 8 bar 9.95424 0.25 0.025095 1.092968464 1.091 2.820022964 4832.813101 3.572 3.645 2.559 1.831 1.313 1.223
bar 8 bar 9.95424 0.25 0.025095 1.093936205 1.092 2.98299582 4819.477976 3.524 3.541 2.45 1.717 1.196 1.106
bar 8 bar 9.95424 0.25 0.025095 1.094830751 1.093 3.153934319 4807.286438 3.476 3.437 2.341 1.604 1.079 0.988
bar 8 bar 9.95424 0.25 0.025095 1.095603585 1.094 3.317818656 4796.229986 3.432 3.341 2.241 1.5 0.973 0.881
bar 8 bar 9.95424 0.25 0.025095 1.096383572 1.094 3.509559784 4782.995805 3.384 3.237 2.131 1.386 0.856 0.763
bar 8 bar 9.95424 0.25 0.025095 1.097063184 1.095 3.702138353 4770.896554 3.338 3.139 2.028 1.278 0.744 0.65
bar 8 bar 9.95424 0.25 0.025095 1.097692847 1.096 3.904385083 4756.636893 3.291 3.043 1.926 1.171 0.633 0.538
bar 8 bar 9.95424 0.25 0.025095 1.098317504 1.096 4.138592295 4741.327996 3.241 2.94 1.815 1.054 0.513 0.417
bar 8 bar 9.95424 0.25 0.025095 1.098844528 1.097 4.364682375 4727.156712 3.196 2.846 1.715 0.949 0.403 0.306
bar 8 bar 9.95424 0.25 0.025095 1.099489331 1.097 4.687622659 4705.4374 3.134 2.722 1.581 0.807 0.256 0.157
bar 8 bar 9.95424 0.25 0.025095 1.100000024 1.098 4.997498182 4684.896492 3.078 2.613 1.462 0.681 0.124 0.024
bar 8 bar 9.95424 0.25 0.025095 1.100452662 1.098 5.319277467 4665.519404 3.024 2.507 1.347 0.559 -0.004 -0.106
bar 8 bar 9.95424 0.25 0.025095 1.100892425 1.099 5.689218909 4643.014073 2.966 2.396 1.224 0.427 -0.142 -0.245
bar 8 bar 9.95424 0.25 0.025095 1.101310611 1.099 6.104535798 4618.489919 2.905 2.281 1.097 0.291 -0.286 -0.391
bar 8 bar 9.95424 0.25 0.025095 1.10167706 1.099 6.53811635 4593.037593 2.845 2.171 0.974 0.158 -0.425 -0.532
bar 8 bar 9.95424 0.25 0.025095 1.102000475 1.1 6.991214786 4568.777412 2.788 2.065 0.855 0.03 -0.56 -0.669
bar 8 bar 9.95424 0.25 0.025095 1.102310896 1.1 7.49122161 4542.552967 2.728 1.957 0.733 -0.102 -0.7 -0.811
bar 8 bar 9.95424 0.25 0.025095 1.102588773 1.1 8.008527014 4516.479049 2.67 1.855 0.616 -0.229 -0.834 -0.948
bar 8 bar 9.95424 0.25 0.025095 1.102857709 1.1 8.551703697 4490.554794 2.613 1.755 0.502 -0.353 -0.966 -1.082
bar 8 bar 9.95424 0.25 0.025095 1.103216648 1.1 9.127516881 4465.807513 2.557 1.655 0.388 -0.476 -1.096 -1.214
bar 8 bar 9.95424 0.25 0.025095 1.103266001 1.1 9.178097033 4463.751406 2.552 1.647 0.378 -0.486 -1.108 -1.226
bar 8 bar 9.95424 0.25 0.025095 1.103527784 1.101 8.618915935 4493.657831 2.606 1.734 0.483 -0.371 -0.983 -1.099
bar 8 bar 9.95424 0.25 0.025095 1.103642702 1.101 8.231000818 4514.399613 2.646 1.797 0.558 -0.288 -0.894 -1.008
bar 8 bar 9.95424 0.25 0.025095 1.103722692 1.101 8.4655006 4502.979813 2.622 1.756 0.511 -0.339 -0.949 -1.064
bar 8 bar 9.95424 0.25 0.025095 1.103943348 1.101 9.068858899 4475.07172 2.562 1.654 0.393 -0.468 -1.086 -1.204
bar 8 bar 9.95424 0.25 0.025095 1.104158402 1.101 9.719695172 4446.312675 2.502 1.552 0.274 -0.598 -1.224 -1.344
bar 8 bar 9.95424 0.25 0.025095 1.104356527 1.101 10.40525301 4417.738449 2.443 1.454 0.156 -0.727 -1.361 -1.484
bar 8 bar 9.95424 0.25 0.025095 1.104533791 1.101 11.12122545 4390.358656 2.385 1.36 0.042 -0.852 -1.493 -1.62
bar 8 bar 9.95424 0.25 0.025095 1.104700685 1.101 11.91112123 4361.139714 2.325 1.264 -0.074 -0.98 -1.629 -1.759
bar 8 bar 9.95424 0.25 0.025095 1.104850054 1.101 12.74244139 4332.115231 2.267 1.174 -0.186 -1.104 -1.762 -1.895
bar 8 bar 9.95424 0.25 0.025095 1.104987502 1.101 13.61609726 4303.283913 2.208 1.083 -0.299 -1.229 -1.894 -2.031
bar 8 bar 9.95424 0.25 0.025095 1.105111718 1.101 14.55635521 4273.660315 2.151 0.995 -0.409 -1.351 -2.025 -2.166
bar 8 bar 9.95424 0.25 0.025095 1.105226159 1.101 15.55437785 4245.218029 2.093 0.91 -0.519 -1.473 -2.155 -2.299
bar 8 bar 9.95424 0.25 0.025095 1.105331421 1.101 16.636143 4215.023497 2.035 0.825 -0.629 -1.596 -2.286 -2.434
bar 8 bar 9.95424 0.25 0.025095 1.105425 1.101 17.7440456 4186.00748 1.978 0.742 -0.734 -1.714 -2.41 -2.563
bar 8 bar 9.95424 0.25 0.025095 1.105511785 1.1 18.95625948 4156.234088 1.921 0.658 -0.838 -1.832 -2.53 -2.691
bar 8 bar 9.95424 0.25 0.025095 1.105590105 1.1 20.22798602 4126.672463 1.865 0.579 -0.94 -1.949 -2.649 -2.818
bar 8 bar 9.95424 0.25 0.025095 1.105662823 1.1 21.60989441 4097.321098 1.808 0.498 -1.042 -2.066 -2.769 -2.945
