# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 9.95424 -0.5 0.0048313 0.9019685388 0.9 1.216333435 6163.111147 4.22 4.12 3.494 3.079 2.815 2.779
bar 8 bar 9.95424 -0.5 0.0048313 0.9035516381 0.902 1.227022834 6164.53042 4.213 4.099 3.474 3.06 2.795 2.76
bar 8 bar 9.95424 -0.5 0.0048313 0.9051130414 0.904 1.237806175 6165.950019 4.206 4.078 3.453 3.039 2.775 2.739
bar 8 bar 9.95424 -0.5 0.0048313 0.9144130945 0.913 1.315081429 6160.273583 4.157 3.95 3.325 2.91 2.645 2.609
bar 8 bar 9.95424 -0.5 0.0048313 0.922493577 0.921 1.400079333 6137.620052 4.107 3.832 3.201 2.782 2.515 2.478
bar 8 bar 9.95424 -0.5 0.0048313 0.9275075197 0.926 1.461681145 6115.049825 4.073 3.756 3.121 2.698 2.427 2.39
bar 8 bar 9.95424 -0.5 0.0048313 0.9302881956 0.928 1.505402541 6088.355458 4.048 3.712 3.07 2.642 2.367 2.329
bar 8 bar 9.95424 -0.5 0.0048313 0.9365808368 0.935 1.627993419 5997.910763 3.982 3.614 2.951 2.506 2.216 2.175
bar 8 bar 9.95424 -0.5 0.0048313 0.9412814975 0.939 1.751671423 5876.246425 3.921 3.555 2.86 2.392 2.083 2.039
bar 8 bar 9.95424 -0.5 0.0048313 0.9439284801 0.942 1.846089044 5763.681848 3.877 3.539 2.814 2.325 1.998 1.95
bar 8 bar 9.95424 -0.5 0.0048313 0.9448857307 0.943 1.885179224 5713.47064 3.859 3.538 2.8 2.3 1.965 1.914
bar 8 bar 9.95424 -0.5 0.0048313 0.946418345 0.944 1.966765787 5600.154388 3.823 3.551 2.78 2.257 1.902 1.847
bar 8 bar 9.95424 -0.5 0.0048313 0.9478257298 0.946 2.062778731 5484.032249 3.782 3.559 2.754 2.205 1.828 1.769
bar 8 bar 9.95424 -0.5 0.0048313 0.9492212534 0.947 2.190547348 5374.02893 3.731 3.541 2.704 2.129 1.729 1.666
bar 8 bar 9.95424 -0.5 0.0048313 0.9506963491 0.949 2.360764386 5282.019498 3.666 3.475 2.609 2.01 1.589 1.524
bar 8 bar 9.95424 -0.5 0.0048313 0.9514895678 0.949 2.469748014 5242.03601 3.627 3.421 2.543 1.934 1.503 1.437
bar 8 bar 9.95424 -0.5 0.0048313 0.9518342614 0.95 2.522624706 5228.775553 3.609 3.389 2.507 1.894 1.461 1.394
bar 8 bar 9.95424 -0.5 0.0048313 0.9530282617 0.951 2.722404443 5189.195108 3.543 3.268 2.373 1.749 1.306 1.238
bar 8 bar 9.95424 -0.5 0.0048313 0.9539880157 0.952 2.909729686 5162.974737 3.486 3.154 2.251 1.62 1.169 1.101
bar 8 bar 9.95424 -0.5 0.0048313 0.9547767639 0.953 3.083561715 5143.98863 3.436 3.049 2.14 1.503 1.049 0.979
bar 8 bar 9.95424 -0.5 0.0048313 0.9556077123 0.953 3.291945562 5123.892387 3.379 2.928 2.013 1.371 0.911 0.841
bar 8 bar 9.95424 -0.5 0.0048313 0.956232667 0.954 3.470185133 5109.754091 3.333 2.83 1.91 1.263 0.8 0.729
bar 8 bar 9.95424 -0.5 0.0048313 0.9568355083 0.955 3.669886601 5093.308711 3.286 2.728 1.803 1.152 0.685 0.613
bar 8 bar 9.95424 -0.5 0.0048313 0.9574975967 0.955 3.918795899 5075.74739 3.229 2.607 1.675 1.019 0.547 0.475
bar 8 bar 9.95424 -0.5 0.0048313 0.9581387639 0.956 4.204870691 5054.753714 3.168 2.478 1.54 0.878 0.401 0.328
bar 8 bar 9.95424 -0.5 0.0048313 0.9587093592 0.956 4.506637694 5033.846868 3.109 2.352 1.408 0.74 0.257 0.184
bar 8 bar 9.95424 -0.5 0.0048313 0.9592208266 0.957 4.824503712 5013.026495 3.049 2.228 1.277 0.603 0.115 0.041
bar 8 bar 9.95424 -0.5 0.0048313 0.959586978 0.957 5.09275337 4995.741982 3.002 2.132 1.175 0.495 0.002 -0.072
bar 8 bar 9.95424 -0.5 0.0048313 0.9599936008 0.957 5.438168311 4972.788632 2.945 2.017 1.051 0.364 -0.136 -0.211
